"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,116.2,64,73.89,6498.03,6498.03,100,431580.3372,431580.3372,0.048768578
2,162.01,68,137.47,16745.8,16745.8,100,1189456.459,1189456.459,0.13440858
3,159.88,69,126.03,15581.68,12216.13,78.40059608,1091960.8,856103.7762,0.096739727
4,156.25,56,86.59,9122.82,1747.35,19.15361697,595066.7361,113976.8034,0.012879379
5,270.01,135,174.31,30803.51,9663.39,31.37106778,4990290.198,1565507.32,0.176902327
6,151.53,106,129.39,14182.87,10855.52,76.53965664,1632281.592,1249342.726,0.141175728
7,138.25,97,124.33,13160.01,3491.03,26.52756343,1309491.517,347376.1927,0.03925351
8,164.71,96,143.56,16818.26,5425.09,32.25714194,1782848.875,575096.0922,0.064985858
9,262.17,110,193.27,33482.27,9407.98,28.09839357,4377538.832,1230018.09,0.138992044
10,198.71,130,173.93,23278.99,17692.43,76.00170798,3528803.325,2681950.799,0.30306044
11,104.72,62,80.54,5823.71,3850.91,66.12468684,410698.2286,271572.9176,0.03068774
12,109.71,78,93.24,7845.8,4012.87,51.14672819,626661.428,320516.8172,0.0362184
13,103.06,69,93.24,6312.51,3521.71,55.78937697,520752.5139,290524.583,0.032829278
14,112.73,74,111.97,9326.51,1879.25,20.14955219,733605.8508,147818.2938,0.016703467
15,200.52,93,125.42,16312.79,14147.8,86.72826659,1836949.945,1593154.845,0.180026498
16,142.95,64,89.76,8677,7144.39,82.33709808,644966.0565,531046.3345,0.060008236
17,178.76,85,137.51,17689.71,12875.24,72.78378221,1641018.342,1194395.216,0.134966659
18,109.67,60,96.51,7422.5,1705.78,22.98120579,498771.1108,114623.6154,0.012952469
19,213.22,108,150.81,19919.72,9538.16,47.88300237,2727543.69,1306029.81,0.147581369
20,186.47,126,167.73,21480.25,11158.47,51.94757975,3095138.906,1607849.751,0.181687022
21,199.92,107,142.95,18427.29,2183.67,11.8501961,2401674.03,284603.0821,0.032160148
22,152.02,93,127.84,12767.01,7354.42,57.60487381,1419516.092,817710.4535,0.092401281
23,192.67,110,164.11,21378.48,12059.36,56.40887472,2731691.866,1540916.642,0.174123581
25,259.16,132,185.26,29954.47,7866.31,26.26088861,4977524.927,1307142.277,0.147707077
26,257.34,129,153.98,29723.35,14019.79,47.16759719,4014682.488,1893629.265,0.213980107
27,214.21,110,202.34,27867.32,1899.92,6.817734895,3744588.105,255296.0899,0.028848458
28,129.05,78,107.74,9467.87,2765.01,29.2041399,851764.3602,248750.4553,0.028108801
30,167.13,117,165.32,19957.96,7107.92,35.6144616,2538958.212,904236.2973,0.102178702
31,257.39,115,237.34,37419.26,10990.91,29.37233393,5517601.483,1620648.332,0.183133262
32,247.07,133,166.52,27066.38,7670.76,28.34054646,4297619.285,1217968.79,0.137630473
33,150.2,83,139.93,15022.86,8575.36,57.08207359,1370088.877,782075.1411,0.088374491
34,207.93,110,150.05,19865.46,19865.46,100,2695477.555,2695477.555,0.304588964
35,195.24,74,137.96,17129.27,6294.42,36.74657472,1565465.806,575255.0621,0.065003822
36,243.89,156,202.04,31621.56,16482.64,52.12468961,6037342.766,3146946.177,0.355604918
37,113.94,60,105.17,8360.73,8360.73,100,564688.8608,564688.8608,0.063809841
38,97.92,58,77.97,5433.58,5433.58,100,347789.7785,347789.7785,0.039300245
39,141.14,72,120.89,12413.99,7306.15,58.85416373,964856.8146,567858.4094,0.064168
40,259.42,111,168.99,28106.18,28106.18,100,3821882.414,3821882.414,0.431872713
41,319.62,106,172.55,25907.64,25907.64,100,4591395.006,4591395.006,0.518827636
42,184.74,111,163.57,19475.56,5615.01,28.831058,2634374.132,759517.934,0.085825527
43,149.86,87,140.21,13641.1,2727.85,19.99728761,1435733.559,287107.769,0.032443178
44,171.87,78,99.91,12356.63,7921.96,64.11100761,1051946.178,674413.2943,0.076208702
45,147.94,90,137.36,13795.33,4556.74,33.03103297,1436409.562,474460.9158,0.053614083
46,85.53,34,80.09,4979.2,4979.2,100,182921.8412,182921.8412,0.020670168
47,153.23,77,127.69,12747.68,8737.74,68.5437664,1183263.029,811053.0463,0.091648994
48,108.04,56,100.19,7121.25,7121.25,100,476087.5895,476087.5895,0.053797898
49,180.73,70,107.44,13734.99,6865.75,49.98729522,1067540.032,533634.3873,0.060300686
50,143.09,85,130.84,12937.21,8141.1,62.92778737,1249852.106,786504.2756,0.088874983
51,149,80,98.98,10103.63,10103.63,100,926645.4259,926645.4259,0.104710933
52,81.75,59,78.73,4813.63,4813.63,100,298242.7573,298242.7573,0.033701432
53,152.17,100,122.7,13884.51,13884.51,100,1466437.253,1466437.253,0.16570741
54,173.48,105,139.17,16562.59,16562.59,100,1991013.575,1991013.575,0.224984534
55,105.02,68,95.96,7234.65,7234.65,100,538221.5063,538221.5063,0.06081903
56,139.93,70,104.42,10268.24,2244.18,21.85554681,803308.6518,175567.4984,0.019839127
57,136.15,88,122.1,11923.15,11923.15,100,1148962.523,1148962.523,0.129832765
58,199.62,103,161.24,20772.12,6354.52,30.59158141,2603777.962,796536.8549,0.090008665
59,255.83,104,145.97,25091.22,25091.22,100,3050270.114,3050270.114,0.344680523
60,188.13,117,174.08,19446.43,19446.43,100,3009419.126,3009419.126,0.340064361
61,122.1,75,103.81,9784.97,9784.97,100,746630.9691,746630.9691,0.0843693
62,225.91,94,132.52,19288.26,9888.03,51.26449975,2210215.488,1133055.913,0.128035318
64,267.76,146,181.02,32817.41,16948.43,51.64463009,5557954.628,2870385.108,0.324353517
65,153.23,95,140.53,14925.23,14925.23,100,1606668.705,1606668.705,0.181553564
66,162.44,119,131.32,17591.83,17591.83,100,1993704.08,1993704.08,0.225288561
67,111.67,69,93.39,7483.73,7483.73,100,565165.7874,565165.7874,0.063863734
68,102.6,66,95.2,6830.12,6830.12,100,506311.8898,506311.8898,0.057213244
69,204.6,114,149.6,21170.99,11674.64,55.14451615,2740513.562,1511242.944,0.170770453
70,210.2,108,114.24,16888.99,16888.99,100,2036875.775,2036875.775,0.230166963
71,140.53,74,97.62,9102.76,9102.76,100,797314.1117,797314.1117,0.090096495
72,330.03,120,159.41,35524.12,35524.12,100,4958383.442,4958383.442,0.560297329
