"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
2,210,539.53,269.77,228627.76,57980.43,25.36018811,32007305.38,8117112.852,0.917233752
3,225,743.15,371.57,433748.08,132828.16,30.62334247,65063003.05,19924466.25,2.251464686
4,270,628.34,314.17,310082.65,310082.65,100,55815112.18,55815112.18,6.307107676
5,257,571.06,285.53,256123.22,77917.74,30.42197424,43882890.65,13350041.69,1.508554711
6,250,469.91,234.96,173428.91,92449.29,53.30673531,28904669.33,15408135.57,1.74111932
7,210,613.1,306.55,295222.96,295222.96,100,41331441.22,41331441.22,4.670452858
8,280,682.02,341.01,365332.87,365332.87,100,68194739.46,68194739.46,7.706005559
9,437,1091.55,545.77,935783.1,935783.1,100,272626035,272626035,30.80674195
10,235,626.54,313.27,308313.8,308313.8,100,48301886.17,48301886.17,5.458113137
11,700,1336.23,668.12,2037149.8,2037149.8,100,654423819.6,654423819.6,73.94989161
12,390,1608.33,804.17,2031621.37,752125.84,37.02096518,528218436.2,195551563.3,22.09732666
13,372,789.45,394.72,489484.49,272527.6,55.67645259,121392210.7,67586876.62,7.637317058
14,310,645.54,322.77,327293.27,327293.27,100,67640472.39,67640472.39,7.64337338
15,494,1043.69,521.84,855521.22,855521.22,100,281753043.5,281753043.5,31.83809391
16,382,1053.72,416.32,873691.05,329185.76,37.67759324,222081525.3,83674973.78,9.455272037
17,230,652.64,326.32,334535.05,334535.05,100,51294858.29,51294858.29,5.796318987
18,163,425.26,212.63,142038.83,142038.83,100,15434597.07,15434597.07,1.744109469
19,388,1087.02,543.51,928042.55,928042.55,100,240052049,240052049,27.12588154
20,543,2031.84,1015.92,3242414.39,2643886.37,81.54066853,1173755023,957087692.3,108.1509092
21,438,1125.14,562.57,994271.16,994271.16,100,290325954.2,290325954.2,32.80683283
22,200,558.23,279.12,244750.48,244750.48,100,32632846.84,32632846.84,3.687511693
23,200,485.79,242.89,185344.29,185344.29,100,24713016.51,24713016.51,2.792570865
24,298,702.3,351.15,387373.74,112668.92,29.08532726,76959143.08,22383818.62,2.529371504
