"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"acamposi",1,32,181.47,90.74,25865.25,25865.25,100,206936.6478,206936.6478,0.023383841
"acamposi",2,30,210.36,105.18,34754.02,30739.64,88,260661.8475,230553.2239,0.026052514
"acamposi",3,36,224.35,112.18,39532.68,39532.68,100,355814.1815,355814.1815,0.040207003
"acamposi",4,14,99.77,49.88,7817.17,3870.46,50,27357.14717,13545.15046,0.001530602
"acamposi",5,26,162.49,81.25,20737.78,20737.78,100,145175.9418,145175.9418,0.016404881
"acamposi",6,22,121.46,60.73,11587.09,8043.04,69,69519.66735,48256.24599,0.005452956
"acamposi",7,32,146.22,73.11,16792.53,12788.87,76,83960.19622,63942.48125,0.0072255
"acamposi",8,36,143.32,71.66,16132.56,3043.37,19,96795.40266,18260.22805,0.002063406
"acamposi",9,38,182.3,91.15,26100.83,21292.46,82,234912.2844,191636.0675,0.021654876
"acamposi",10,30,116.77,58.39,10709.25,7727.16,72,80331.90882,57962.74366,0.00654979
"acamposi",11,32,134.07,67.03,14116.46,9179.82,65,141152.4145,91790.27589,0.010372301
"acamposi",12,20,141.11,70.55,15638.43,15638.43,100,93819.94182,93819.94182,0.010601653
"acamposi",13,30,177.25,88.62,24674.2,8872.97,36,185043.838,66542.72167,0.007519328
"acamposi",14,20,113.54,56.77,10125.38,2337.41,23,50624.14082,11686.41305,0.001320565
"acamposi",15,29,185.94,92.97,27152.78,8636.28,32,162924.6456,51820.21357,0.005855684
"acamposi",16,30,128.22,64.11,12911.28,12911.28,100,122666.2339,122666.2339,0.013861284
"acamposi",17,36,208.87,104.44,34265.14,8867.58,26,274140.7433,70945.71838,0.008016866
"acamposi",18,20,114.78,57.39,10346.76,2806.02,27,41388.75031,11224.54383,0.001268373
"acamposi",19,26,175.11,87.56,24083.87,9954.49,41,144514.9007,59731.76795,0.00674969
"acamposi",20,24,144.04,72.02,16294.97,9502.61,58,130360.5229,76021.32489,0.00859041
"acamposi",21,29,122.48,61.24,11782.79,11782.79,100,106038.2975,106038.2975,0.011982328
"acamposi",22,36,202.13,101.06,32088.28,8195.39,26,385025.6889,98336.08036,0.011111977
"acamposi",23,35,114.27,57.14,10256.23,3932.82,38,107700.9772,41298.66016,0.004666749
"acamposi",24,16,101.6,50.8,8157.49,5242.34,64,32429.27867,20840.39389,0.002354965
"acamposi",25,32,155.16,77.58,18907.63,12296.73,65,151265.3339,98376.63255,0.011116559
"acamposi",26,36,211.28,105.64,35059.41,29056.44,83,420714.9103,348678.9295,0.039400719
"acamposi",27,26,136.7,68.35,14676.37,8754.93,60,146766.4909,87550.96485,0.009893259
"acamposi",28,24,137.4,68.7,14827.45,5696.61,38,118618.7475,45572.55246,0.005149698
"acamposi",29,40,191.47,95.84,28854.95,26273.35,91,461703.8176,420396.0151,0.04750475
"acamposi",30,28,165.97,82.99,21635.42,15430.57,71,227190.7792,162034.4427,0.018309892
"acamposi",31,26,112.73,56.36,9980.76,9980.76,100,99791.10729,99791.10729,0.011276395
"acamposi",32,24,128.48,64.24,12964.65,10104.94,78,90752.57935,70734.60288,0.00799301
"acamposi",33,38,230.76,115.38,41824.13,9176.94,22,397314.6211,87177.72345,0.009851083
"acamposi",34,20,130.15,65.08,13304.69,5368.66,40,53223.68653,21476.62794,0.002426859
"acamposi",35,26,118.98,59.49,11117.64,8836.13,79,61150.56867,48601.53543,0.005491974
"acamposi",36,16,86.23,43.11,5839.46,5839.46,100,23354.24919,23354.24919,0.00263903
"acamposi",37,32,154.42,77.21,18728.86,18728.86,100,149825.924,149825.924,0.016930329
"acamposi",38,30,169.51,84.76,22567.36,18319.71,81,169275.0818,137413.9646,0.015527778
"acamposi",39,30,156.7,76.35,19284.68,8653.05,45,183133.5674,82172.16546,0.009285455
"acamposi",40,20,123.13,61.56,11906.66,2287.05,19,71432.91047,13720.94592,0.001550467
"acamposi",41,36,104.04,52.02,8501.97,5416.7,64,102016.8277,64996.05979,0.007344555
"acamposi",42,64,242.98,121.49,46370.74,21733.69,47,788278.8208,369461.5942,0.04174916
"acamposi",43,26,206.08,103.04,33356.59,5037.51,15,333550.4822,50372.7716,0.005692123
"acamposi",44,27,102.97,51.48,8327.01,2764.01,33,49954.91215,16581.68739,0.001873731
"acamposi",45,38,142.99,71.5,16059.46,12879.11,80,152575.7669,122360.2839,0.013826712
"acamposi",46,28,136.04,68.02,14535.69,14535.69,100,87211.62492,87211.62492,0.009854914
"acamposi",47,42,199.28,99.64,31188.7,10373.06,33,280711.2512,93361.84744,0.010549889
"acamposi",48,22,126.76,63.38,12619.07,5302.13,42,63099.27173,26512.29779,0.00299589
"acamposi",49,28,99.45,49.73,7768.39,3439.71,44,54385.71359,24081.06221,0.00272116
"acamposi",50,32,152.87,76.43,18353.75,18353.75,100,146814.0364,146814.0364,0.016589986
"acamposi",51,34,149.24,74.62,17493.48,14243.85,81,148689.1531,121068.3062,0.013680719
"acamposi",52,16,102.36,51.18,8229.73,6399.68,78,24687.19177,19197.48611,0.002169316
"acamposi",53,24,130.14,65.07,13301.82,13301.82,100,73160.08068,73160.08068,0.008267089
"acamposi",54,32,168.95,84.47,22417.78,16883.55,75,179326.6552,135056.6626,0.015261403
"acamposi",55,28,176.86,88.43,24566.31,18399.76,75,208818.0561,156401.2713,0.017673344
"acamposi",56,22,178.82,89.41,25113.73,25113.73,100,163243.3201,163243.3201,0.018446495
"acamposi",57,18,93.58,46.79,6877.63,4205.1,61,27511.60671,16821.06443,0.00190078
"acamposi",58,34,139.14,69.57,15204.57,15204.57,100,144449.9796,144449.9796,0.016322848
"acamposi",59,48,176.22,88.11,24390.69,24390.69,100,390229.6442,390229.6442,0.04409595
"acamposi",60,40,228.24,114.12,40912.99,40912.99,100,511426.7168,511426.7168,0.057791219
"acamposi",61,32,131.1,65.55,13498.38,13498.38,100,107990.4254,107990.4254,0.012202918
"acamposi",62,24,129.72,64.86,13216.02,8757.26,66,105728.9084,70058.57592,0.007916619
"acamposi",63,18,103.49,51.74,8411.3,5015.89,60,63075.97682,37613.94331,0.004250376
"acamposi",64,24,140.2,70.1,15438.36,8463.34,55,92626.90631,50778.25632,0.005737943
"acamposi",65,32,143.7,71.85,16217.28,5868.64,36,129745.8288,46951.86621,0.005305561
"acamposi",66,20,117.03,58.51,10756.09,4643.6,43,53774.95719,23215.62865,0.002623366
"acamposi",67,38,226.86,113.43,40422.39,17893.4,44,485050.5294,214712.7655,0.024262542
"acamposi",68,20,184.67,92.34,26785.49,26785.49,100,133936.7071,133936.7071,0.015134848
"acamposi",69,27,165.61,82.8,21540.73,17265.92,80,172306.0526,138111.4995,0.015606599
"acamposi",70,42,198.32,99.16,30889.91,30889.91,100,370684.2682,370684.2682,0.041887322
"acamposi",71,12,135.39,67.69,14396.31,14396.31,100,57578.30717,57578.30717,0.006506349
"acamposi",72,36,191.09,95.55,28679.99,12264.83,43,344185.4456,147188.893,0.016632345
"acamposi",73,28,121.15,60.58,11527.91,11527.91,100,69176.67141,69176.67141,0.007816964
"acamposi",75,28,97.04,48.52,7396.43,1176.16,16,51771.35087,8232.538135,0.000930277
"acamposi",76,34,150.3,75.15,17742.12,4880.84,28,133066.614,36606.49642,0.004136534
"acamposi",77,16,116.06,58.03,10578.68,10568.78,100,52896.26629,52846.76361,0.005971684
"acamposi",78,38,152.63,76.31,18295.78,10309.89,56,219530.0751,123707.8127,0.013978983
"acamposi",79,34,131.37,65.68,13553.83,9789.51,72,142300.1835,102778.9982,0.011614027
"acamposi",80,35,151.37,75.68,17995.42,17995.42,100,179933.538,179933.538,0.02033249
"acamposi",81,29,183.71,91.85,26505.5,22680.89,86,198778.5221,170095.7837,0.019220824
"acamposi",82,38,117.73,58.87,10886,10886,100,103433.5784,103433.5784,0.011687994
"acamposi",83,26,118.96,59.48,11113.84,8102.91,73,72244.55979,52672.26863,0.005951966
"acamposi",84,34,124.91,62.45,12254.1,6373.62,52,91891.64403,47794.81318,0.005400814
"acamposi",85,40,206.38,103.19,33452.64,33452.64,100,334522.3181,334522.3181,0.037801022
"acamposi",86,32,179.13,89.57,25202.75,12462.07,49,201634.5769,99702.77891,0.011266414
"acamposi",87,28,132.19,66.1,13724.78,13724.78,100,75494.52922,75494.52922,0.008530882
"acamposi",89,38,131.29,65.65,13538.91,7009.21,52,128630.1982,66592.95849,0.007525004
"acamposi",90,20,86.32,43.46,5851.51,4908.94,84,29668.75492,24889.66741,0.002812532
"acamposi",91,29,149.17,74.59,17476.98,17476.98,100,104872.673,104872.673,0.011850612
"acamposi",92,36,187.31,93.66,27555.73,27555.73,100,275586.6526,275586.6526,0.031141292
"acamposi",93,51,223.89,111.94,39368.36,39368.36,100,610171.8616,610171.8616,0.06894942
"acamposi",94,39,142.75,71.37,16004.29,16004.29,100,200028.2241,200028.2241,0.022603189
"acamposi",95,30,125.91,62.95,12450.73,12450.73,100,93368.97798,93368.97798,0.010550695
"acamposi",96,28,110.52,55.26,9593.59,4870.44,51,76747.0376,38962.66588,0.004402781
"acamposi",97,32,160.09,80.05,20129.16,14478.53,72,241576.003,173761.121,0.019635007
"acamposi",98,27,126.12,63.06,12492.62,12492.62,100,93695.57245,93695.57245,0.0105876
"acamposi",99,30,147.12,73.56,17000.21,17000.21,100,169993.8907,169993.8907,0.01920931
"acamposi",100,24,175.85,87.92,24286.17,18023.39,74,133563.54,99120.93058,0.011200665
"acamposi",101,44,214.45,107.22,36117.88,36117.88,100,505626.1354,505626.1354,0.057135753
"acamposi",102,30,127.53,63.76,12773.55,12773.55,100,95787.26055,95787.26055,0.01082396
"acamposi",103,30,143.01,71.51,16063.4,16063.4,100,144585.8985,144585.8985,0.016338207
"acamposi",104,40,195.52,97.76,30024.48,30024.48,100,300242.5629,300242.5629,0.03392741
"acamposi",105,46,226.12,113.06,40157.82,22492.94,56,401576.0791,224928.212,0.025416888
"acamposi",106,36,151.19,75.6,17953.88,17953.88,100,161597.9969,161597.9969,0.018260574
"acamposi",107,44,192.63,96.31,29142.69,29142.69,100,349682.4888,349682.4888,0.039514121
"acamposi",108,20,140.06,70.03,15406.86,15406.86,100,77035.00761,77035.00761,0.008704956
"acamposi",109,24,95.56,47.78,7171.68,3398.42,47,43032.18655,20391.51822,0.002304242
"acamposi",110,42,198.6,99.3,30976.72,30976.72,100,294287.608,294287.608,0.0332545
"acamposi",111,52,197.75,98.87,30712.36,30712.36,100,353164.2881,353164.2881,0.039907565
"acamposi",112,40,170.41,85.21,22808.11,22808.11,100,285128.7541,285128.7541,0.032219549
"acamposi",113,34,146.56,73.28,16869.44,16869.44,100,143396.8858,143396.8858,0.016203848
"acamposi",114,24,144.95,72.47,16501.57,16501.57,100,98995.99972,98995.99972,0.011186548
"acamposi",115,50,220.6,110.3,38220.06,38220.06,100,477761.2371,477761.2371,0.05398702
"acamposi",116,20,159.28,79.64,19924.57,19924.57,100,79702.5776,79702.5776,0.009006391
"acamposi",117,22,149.66,74.83,17592.47,10579.31,60,105548.6331,63472.13951,0.007172352
"acamposi",118,32,154.6,77.3,18770.97,8557.92,46,187719.2717,85583.56386,0.009670943
"acamposi",119,24,119.18,59.59,11156.02,11156.02,100,66934.17179,66934.17179,0.007563561
"acamposi",120,42,203.71,101.86,32593.81,32593.81,100,456336.5473,456336.5473,0.05156603
"acamposi",121,40,160.41,80.2,20208.14,20208.14,100,252585.6202,252585.6202,0.028542175
"acamposi",122,32,166.68,83.34,21821.01,21821.01,100,174560.8516,174560.8516,0.019725376
"acamposi",123,24,171.54,85.77,23109.9,23109.9,100,138666.6243,138666.6243,0.015669329
"acamposi",124,38,157.97,78.98,19598.88,14510.67,74,186169.159,137836.4085,0.015575514
"acamposi",125,36,135.82,67.91,14489.21,11872.56,82,130394.6711,106846.3053,0.012073633
"acamposi",126,42,204.34,102.17,32793.09,32793.09,100,344338.7976,344338.7976,0.038910284
"acamposi",127,40,153.91,76.96,18605.18,18605.18,100,186071.5566,186071.5566,0.021026086
"acamposi",128,32,110.69,55.34,9622.3,9622.3,100,96211.76512,96211.76512,0.010871929
"acamposi",129,28,145.93,72.96,16724.6,16724.6,100,133785.643,133785.643,0.015117778
"acamposi",130,28,127.66,63.83,12799.66,12799.66,100,89597.85273,89597.85273,0.010124557
"acamposi",131,23,118.59,59.29,11044.69,11044.69,100,66261.92122,66261.92122,0.007487597
"acamposi",132,24,99.61,49.81,7793.57,7793.57,100,46766.42872,46766.42872,0.005284606
"acamposi",133,34,153.78,76.89,18574.48,18574.48,100,139299.9171,139299.9171,0.015740891
"acamposi",134,42,162.51,81.25,20741.87,20741.87,100,290351.8836,290351.8836,0.032809763
"acamposi",135,22,126.52,63.26,12572.68,12572.68,100,75432.67314,75432.67314,0.008523892
"acamposi",136,45,153.62,76.81,18534.88,18534.88,100,213148.9724,213148.9724,0.024085834
"acamposi",137,32,154.85,77.42,18832.09,18832.09,100,150642.0419,150642.0419,0.017022551
"acamposi",138,35,139.54,69.77,15292.16,15292.16,100,137635.2982,137635.2982,0.015552789
"acamposi",139,29,127.07,63.53,12680.79,12680.79,100,101437.2742,101437.2742,0.011462412
"acamposi",140,29,113,56.5,10028.89,10028.89,100,85244.36777,85244.36777,0.009632614
"acamposi",141,38,149.58,74.79,17572.46,17572.46,100,193299.0076,193299.0076,0.021842788
"acamposi",142,32,140.13,70.07,15422.93,12237.16,79,92547.64204,73430.94362,0.008297697
"acamposi",143,22,117.33,58.66,10811.18,10811.18,100,70266.34225,70266.34225,0.007940097
"acamposi",144,30,134.23,67.11,14150.03,14150.03,100,106117.1588,106117.1588,0.011991239
"acamposi",145,32,186.94,93.47,27447.26,27447.26,100,274469.6687,274469.6687,0.031015073
"acamposi",146,40,204.75,102.37,32925.81,32925.81,100,329226.8747,329226.8747,0.037202637
"acamposi",147,22,116.86,58.43,10725.89,10725.89,100,53628.00605,53628.00605,0.006059965
"acamposi",148,28,171.48,85.74,23094.19,23094.19,100,138569.6377,138569.6377,0.015658369
"acamposi",149,36,194.36,97.18,29670.17,29670.17,100,356028.6178,356028.6178,0.040231234
"acamposi",150,38,184.49,92.25,26732.69,26732.69,100,334189.3729,334189.3729,0.037763399
"acamposi",151,40,159.25,79.62,19917.68,19917.68,100,199156.378,199156.378,0.022504671
"acamposi",152,34,115.53,57.77,10483.42,10483.42,100,78634.9964,78634.9964,0.008885755
"acamposi",153,30,148.46,74.23,17310.76,17310.76,100,129828.5053,129828.5053,0.014670621
"acamposi",154,35,129.52,64.76,13174.63,13174.63,100,105403.1378,105403.1378,0.011910555
"acamposi",155,36,147.59,73.8,17109.11,17109.11,100,153994.4631,153994.4631,0.017401374
"acamposi",156,30,95.19,47.6,7117.12,7117.12,100,42708.56983,42708.56983,0.004826068
"acamposi",157,24,125.88,62.94,12445.85,12445.85,100,74671.45268,74671.45268,0.008437874
"acamposi",158,36,189.67,94.84,28254.66,28254.66,100,254317.0474,254317.0474,0.028737826
"acamposi",159,42,191.01,95.5,28654.59,14975.13,52,300847.1592,157225.2585,0.017766454
"acamposi",160,20,113.62,56.81,10138.22,10138.22,100,50695.50524,50695.50524,0.005728592
"acamposi",161,19,105.83,52.92,8797.24,8797.24,100,48389.62241,48389.62241,0.005468027
"acamposi",162,26,205.81,102.9,33266.7,33266.7,100,249483.5331,249483.5331,0.028191639
"acamposi",163,32,164.14,82.07,21159.66,21159.66,100,169281.1991,169281.1991,0.019128775
