"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,167.73,53,135.7,16962.52,11891.56,70.1049136566972,631633.399567628,442806.049393747,0.0500370835814934
2,171.96,66,138.72,17719.12,12538.14,70.7605118087129,824345.126003265,583310.830230089,0.0659141238160001
3,118.02,39,105.32,9281.5,3073.94,33.1190001616118,253822.250320869,84063.3914939754,0.00949916323881922
4,142.2,60,126.33,13419.2,10437.35,77.7792267795398,564359.662771304,438954.581959138,0.0496018677613826
5,186.27,96,154.48,19756.08,19756.08,100,1446388.73514058,1446388.73514058,0.163441927070886
6,141.74,59,112.43,11807.55,6971.31,59.0411219939784,492294.827950506,290656.389940305,0.0328441720632544
7,136.76,44,112.43,10500.89,10500.89,100,354235.923677693,354235.923677693,0.0400286593755793
8,197.2,78,169.7,25337.02,25337.02,100,1366727.64164671,1366727.64164671,0.154440223506078
9,144.01,50,134.34,13317.73,5295.93,39.7660111745771,506485.038695794,201408.89708533,0.0227592053706423
10,144.01,54,118.47,13199.12,13199.12,100,482384.584911671,482384.584911671,0.0545094580950189
