"species","ind","d_one","altura","d_two","ar","arp","prot","volume","biov","biomassa"
"bbrevior",1,213.37,36,100.49,14163.93,8317.06,58.72000215,86838.23558,50991.41379,0.00576203
"bbrevior",2,186.47,36,110.31,13364.16,13364.16,100,80937.78264,80937.78264,0.009145969
"bbrevior",3,128.6,32,85.98,7922.42,7922.42,100,37980.70436,37980.70436,0.00429182
"bbrevior",4,188.85,48,82.68,11687.53,11687.53,100,85112.78258,85112.78258,0.009617744
"bbrevior",5,179.22,36,88.4,10756.25,10756.25,100,63854.79228,63854.79228,0.007215592
"bbrevior",6,181.64,50,129.8,16434.1,11342.76,69.01966034,125155.1078,86381.63028,0.009761124
"bbrevior",7,168.19,40,79.33,10058.87,3040.89,30.23093051,60102.06516,18169.41356,0.002053144
"bbrevior",8,140.84,40,131.01,10810.63,4635.14,42.8757621,74090.9707,31767.06833,0.003589679
"bbrevior",9,197.5,46,89,12846.05,3319.69,25.84210711,91504.05232,23646.57521,0.002672063
"bbrevior",10,194.93,40,90.82,13163.73,7705.86,58.53857531,79807.68282,46718.28051,0.005279166
"bbrevior",11,302.61,52,138.24,26673.11,26673.11,100,245558.8171,245558.8171,0.027748146
"bbrevior",12,135.24,28,106.68,9960.52,9960.52,100,42023.1373,42023.1373,0.004748615
"bbrevior",13,144.16,32,114.54,10172.45,3271.51,32.16049231,54899.65384,17655.99895,0.001995128
"bbrevior",14,190.25,45,96.26,13747.11,8882.02,64.61008896,92043.36012,59469.29685,0.006720031
"bbrevior",15,181.18,33,93.84,12185.8,1460.41,11.98452297,62424.1476,7481.236308,0.00084538
"bbrevior",16,198.71,39,98.68,12080.5,7557.36,62.55833782,85542.62982,53514.04734,0.006047087
"bbrevior",17,160.48,28,81.15,9591.11,3932.32,40.99963404,40685.7723,16681.01775,0.001884955
"bbrevior",18,229.54,45,118.62,19271.79,12225.51,63.43733509,136391.4648,86523.11056,0.009777111
"bbrevior",19,221.68,51,112.12,16182.54,11715.48,72.39580437,141564.4082,102486.692,0.011580996
"bbrevior",20,211.15,41,100.04,15211.62,7913.05,52.01977173,97403.9478,50669.3113,0.005725632
"bbrevior",21,168.76,43.5,101.13,12234.92,7224.32,59.04672854,81091.5502,47881.90752,0.005410656
"bbrevior",22,198.71,27,110.76,12441.05,4277.25,34.38013672,65445.8693,22500.37935,0.002542543
"bbrevior",24,164.26,28.5,155.04,12975.02,2987.47,23.02478146,72439.73302,16679.09022,0.001884737
"bbrevior",25,263.18,45,100.83,19108.6,3792.23,19.84567158,137162.3367,27220.78687,0.003075949
"bbrevior",26,169.55,29,86.59,10151.11,4983.12,49.08940993,47444.99353,23290.46736,0.002631823
"bbrevior",27,144.16,24,74.5,8091.66,4925.35,60.86946313,28679.66414,17457.15759,0.001972659
"bbrevior",28,166.52,28.5,84.77,9865.98,8925.43,90.46673518,44848.95049,40573.38127,0.004584792
"bbrevior",29,159.88,38,86.13,9524.62,6082.11,63.85672079,57984.75274,37027.16166,0.004184069
"bbrevior",30,161.08,30.5,82.36,9559.04,3307.77,34.60357944,45096.47377,15604.99413,0.001763364
"bbrevior",31,163.05,28,78.88,10020.71,7477.67,74.62215751,40391.15361,30140.75027,0.003405905
"bbrevior",32,129.05,38,123.61,8730.88,5882.08,67.37098666,60415.78631,40702.71133,0.004599406
"bbrevior",33,203.55,33,102.3,14010.95,9136.88,65.21242314,76715.5121,50028.04437,0.005653169
"bbrevior",34,201.13,33,106.08,14261.23,10103.31,70.84459054,78136.78392,55355.68463,0.006255192
"bbrevior",35,135.7,26,94.44,8603.38,8603.38,100,35484.26976,35484.26976,0.004009722
"bbrevior",36,184.2,26.5,90.82,11492.56,8119.9,70.65353585,49594.35284,35040.16386,0.003959539
"bbrevior",37,238.24,40.5,100.74,16838.44,10628.54,63.12069289,110609.3638,69817.39682,0.007889366
"bbrevior",38,164.11,27.5,109.71,11788.32,9352.31,79.335393,53073.62412,42106.16827,0.004757997
"bbrevior",39,142.59,31,114.54,9720.18,5134.27,52.82072966,52481.33893,27721.02616,0.003132476
"bbrevior",40,263.39,53.5,117.56,21703.78,14206.04,65.45422042,187561.7134,122767.0573,0.013872677
"bbrevior",41,195.69,24,97.01,12312.01,3790.74,30.78896135,50924.7953,15679.21554,0.001771751
"bbrevior",42,189.04,33,153.83,16366.47,5763.42,35.21480197,99133.38991,34909.62694,0.003944788
"bbrevior",43,173.93,26,92.63,11357.87,11357.87,100,46420.08781,46420.08781,0.00524547
"bbrevior",44,139.93,30,86.59,8693.38,4207.98,48.40441807,39478.94825,19109.55516,0.00215938
"bbrevior",45,123,29,82.96,7151.9,2873.41,40.17687607,31709.51964,12739.89441,0.001439608
"bbrevior",48,192.67,40,95.65,12624.28,8217.73,65.09464302,82476.1227,53687.53765,0.006066692
"bbrevior",49,174.53,34,87.34,10653.11,10653.11,100,57919.06822,57919.06822,0.006544855
"bbrevior",50,168.49,33,109.56,12407.63,4712.43,37.98009773,65625.91187,24924.78546,0.002816501
"bbrevior",51,199.16,37.5,92.63,13419.8,7195.74,53.62032221,77960.0131,41802.41022,0.004723672
"bbrevior",53,156.55,37.5,97.32,9381.11,4075.54,43.44411269,62037.58146,26951.6768,0.003045539
"bbrevior",54,141.29,30,93.24,8503.46,3475.62,40.87300934,42485.8009,17365.22537,0.00196227
"bbrevior",55,196.6,24,95.35,13620.13,9096.57,66.78768852,50415.53108,33671.36786,0.003804865
"bbrevior",56,213.97,44,90.67,14676.58,10923.55,74.42844314,97171.9681,72323.58303,0.008172565
"bbrevior",57,174.53,25,88.7,10802.99,10802.99,100,43138.15329,43138.15329,0.004874611
"bbrevior",58,119.98,30,113.94,9087.61,3322.92,36.56538958,40923.92438,14963.99238,0.001690931
"bbrevior",59,187.83,39,123.31,15521.98,4997.72,32.19769643,97178.92454,31289.37512,0.003535699
"bbrevior",60,152.02,27.5,91.27,9418.96,4672.67,49.60919252,41606.56558,20640.68122,0.002332397
"bbrevior",61,185.87,33,95.96,13117.77,13117.77,100,65508.57726,65508.57726,0.007402469
"bbrevior",62,172.57,30,89.31,10755.76,10755.76,100,51441.80261,51441.80261,0.005812924
"bbrevior",63,168.64,24.5,80.09,10345.2,5403.4,52.23098635,37180.36257,19419.6701,0.002194423
"bbrevior",64,159.42,32.5,83.11,9682.19,7132.78,73.66907693,47886.9451,35277.87042,0.003986399
"bbrevior",65,183.9,24,81.9,11559.73,9812.76,84.88744979,40894.89011,34714.62931,0.003922753
"bbrevior",66,174.68,35,84.32,10414.94,10414.94,100,57861.18845,57861.18845,0.006538314
