"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,155.06,52,84.75,9624.86,9624.86,100,357800.9197,357800.9197,0.040431504
2,205.75,52,84.9,13049.05,13049.05,100,475608.3822,475608.3822,0.053743747
3,222.44,56,131.01,16007.25,9425.96,58.88556748,854484.0931,503167.8073,0.056857962
4,181.09,45,78.32,10036.77,10036.77,100,334178.3295,334178.3295,0.037762151
5,181.95,48,80.56,11206.1,6285.59,56.09078984,368393.0066,206634.5471,0.023349704
6,199.92,56,174.99,18508.57,18508.57,100,1025784.479,1025784.479,0.115913646
7,181.64,42,127.39,11948.63,11948.63,100,508855.8171,508855.8171,0.057500707
8,134.04,42,121.8,9020.84,9020.84,100,359029.075,359029.075,0.040570285
9,153.68,48,131.01,10313.56,6354.11,61.60927943,506012.9811,311750.9515,0.035227858
10,126.78,44,98.68,8525.16,8525.16,100,288224.6942,288224.6942,0.03256939
11,212.16,72,198.71,19994.59,9990.15,49.96426533,1589330.98,794097.5477,0.089733023
12,138.27,40,80.54,7363.15,7363.15,100,233237.4055,233237.4055,0.026355827
13,158.36,58,124.97,10902.24,10902.24,100,601004.7146,601004.7146,0.067913533
14,228.48,76,95.05,16820.03,8739.52,51.95900364,864196.5455,449027.9145,0.050740154
15,167.73,40,122.4,11321.31,11321.31,100,429982.4981,429982.4981,0.048588022
16,231.96,64,102.4,17101.64,9902.77,57.90538217,795960.7509,460904.1148,0.052082165
17,173.17,26,122.4,10823.78,8373.52,77.36225237,288553.2998,223231.332,0.025225141
18,219.87,70,117.56,15822.3,12527.07,79.17350828,947375.646,750070.5355,0.084757971
19,150.81,56,76.92,8507.84,8507.84,100,340138.7136,340138.7136,0.038435675
20,217.63,63,88.87,14925.71,14925.71,100,637988.8872,637988.8872,0.072092744
21,206.87,45,82.91,13027.22,13027.22,100,404124.8587,404124.8587,0.045666109
22,252.78,76,101.08,17525.66,17525.66,100,1016763.992,1016763.992,0.114894331
23,192.52,58,78.12,8902.99,8902.99,100,456735.4315,456735.4315,0.051611104
24,165.32,54,96.41,10348.88,10348.88,100,450650.5046,450650.5046,0.050923507
25,176.95,35,108.35,10693.15,10693.15,100,351355.009,351355.009,0.039703116
26,169.09,36,79.94,8414.71,8414.71,100,254790.4766,254790.4766,0.028791324
27,231.96,56,88.4,14934.61,14934.61,100,601245.743,601245.743,0.067940769
28,210.8,56,95.05,14479.92,12508.24,86.38335018,587502.0375,507503.9424,0.057347945
29,195.69,64,136.91,15056.85,12288.41,81.61341848,897805.7863,732729.9934,0.082798489
30,206.57,53,85.98,12975.83,10024.4,77.25440299,492877.7149,380769.7361,0.04302698
31,125.42,38,115,7577.93,4872.6,64.29988137,286976.8444,184525.7705,0.020851412
32,246.46,72,129.05,16057.88,16057.88,100,1199045.247,1199045.247,0.135492113
33,188.89,66,123.61,13747.56,12111.24,88.09737873,806872.903,710833.8773,0.080324228
34,193.72,64,167.73,13893.66,11681.65,84.07899718,1088839.34,915485.1982,0.103449827
35,220.47,70,169.55,17011.79,12359.22,72.65090858,1370073.791,995371.0575,0.112476929
36,196.75,68,168.34,15963.52,15963.52,100,1179260.085,1179260.085,0.13325639
37,258.55,63,124.82,17337.55,10445.27,60.24651695,1064554.481,641356.9956,0.072473341
38,213.22,66,174.53,15218.99,3811.02,25.04121496,1285998.866,322029.7404,0.036389361
39,177.56,60,104.87,16418.87,10418.87,63.45668125,584987.0837,371213.389,0.041947113
40,183.6,60,90.97,12623.15,12623.15,100,524711.6953,524711.6953,0.059292422
41,201.73,48,73.89,11347.75,11347.75,100,374624.3607,374624.3607,0.042332553
42,227.12,64,93.84,13217.07,13217.07,100,714203.5014,714203.5014,0.080704996
43,149.6,64,116.36,10277.85,10277.85,100,583329.4495,583329.4495,0.065916228
44,188.89,76,181.18,17347.09,17347.09,100,1361856.778,1361856.778,0.153889816
45,201.13,44,78.73,11843.16,11843.16,100,364811.4023,364811.4023,0.041223688
46,200.52,50,93.99,12108.28,10098.74,83.40358829,493410.0285,411521.6688,0.046501949
47,138.12,48,73.89,7518.35,7518.35,100,256496.8854,256496.8854,0.028984148
48,296.43,79,119.51,24021.75,19434.35,80.90313986,1465386.256,1185543.493,0.133966415
49,297.07,84,99.27,21181.5,21181.5,100,1297044.052,1297044.052,0.146565978
50,164.71,62,138.12,12997.45,12997.45,100,738527.8015,738527.8015,0.083453642
51,238.6,59,90.21,16558.46,16558.46,100,664929.7374,664929.7374,0.07513706
52,151.41,53,94.44,8133.84,8133.84,100,396812.2126,396812.2126,0.04483978
53,187.82,75,166.02,16129.11,12135.32,75.23862135,1224509.423,921304.0081,0.104107353
54,174.53,58,108.95,11553.24,8461.42,73.23850279,577462.7028,422925.0377,0.047790529
55,233.77,75,190.25,20657.06,13938.78,67.47707563,1746519.054,1178499.983,0.133170498
56,234.37,76,96.86,15407.9,15407.9,100,903355.5131,903355.5131,0.102079173
57,173.78,55,104.12,11538.03,4707.08,40.79621911,521069.0333,212576.4646,0.02402114
58,138.72,32,72.68,6109.41,6109.41,100,168928.3731,168928.3731,0.019088906
59,240.72,84,103.06,17178.89,17178.89,100,1091139.358,1091139.358,0.123298747
60,197.5,74,107.89,14479.46,14479.46,100,825617.0159,825617.0159,0.093294723
61,162.14,54,76.16,8925.67,8925.67,100,349147.9418,349147.9418,0.039453717
62,168.79,66,139.48,12928.99,12928.99,100,813581.772,813581.772,0.09193474
63,218.81,56,87.8,13335.43,13335.43,100,563311.129,563311.129,0.063654158
64,202.94,53,87.04,11409.37,11409.37,100,490186.1433,490186.1433,0.055391034
65,231.96,66,87.34,15090.97,15090.97,100,700114.1344,700114.1344,0.079112897
66,158.82,60,70.87,8042.24,8042.24,100,353604.2671,353604.2671,0.039957282
67,166.83,48,72.68,8427.55,8427.55,100,304739.6246,304739.6246,0.034435578
68,175.29,32,84.17,10305.55,10305.55,100,247208.3119,247208.3119,0.027934539
69,131.32,70,103.81,8638.25,4084.77,47.28700836,499650.9615,236269.992,0.026698509
70,207.63,79,102,13236.98,13236.98,100,876023.9695,876023.9695,0.098990709
71,185.56,46,90.97,11730.4,11730.4,100,406573.4478,406573.4478,0.0459428
72,197.8,73,91.72,13490.56,9375.66,69.4979304,693444.6722,481929.6957,0.054458056
73,274.24,86,117.94,19951.27,19951.27,100,1456427.925,1456427.925,0.164576356
74,213.24,80,130.53,13643.1,11187.3,81.99969215,1165916.964,956048.3211,0.10803346
75,229.24,64,89.54,13905.04,13905.04,100,687837.8752,687837.8752,0.07772568
76,170.3,68,87.95,10874.87,10874.87,100,533283.3529,533283.3529,0.060261019
77,167.88,70,95.8,8921.74,8921.74,100,589469.219,589469.219,0.066610022
78,198.56,72,110.61,13617.47,3086.87,22.66845457,827975.0981,187689.1589,0.021208875
