"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,161.69,63,122.4,13003.08,13003.08,100,326417.7411,326417.7411,0.036885205
2,241.63,42,106.68,16787.88,13479.13,80.29084077,283433.8905,227571.4537,0.025715574
3,172.12,48,168.34,14257.08,8889.76,62.35330096,364106.5774,227032.47,0.025654669
4,183,78,125.27,14293.07,7444.41,52.08405192,468124.5273,243818.2219,0.027551459
5,141.72,36,107.74,8815.65,8815.65,100,143906.1129,143906.1129,0.016261391
6,362.87,108,176.76,41727.98,16932.65,40.57864771,1813541.256,735910.5174,0.083157888
7,319.97,119,181.86,39472.58,39472.58,100,1812850.69,1812850.69,0.204852128
8,154.44,66,98.83,10581.78,10581.78,100,263730.9812,263730.9812,0.029801601
9,165.32,66,139.32,13100.79,6369.55,48.61958706,397970.9984,193491.8561,0.02186458
10,218.66,54,120.59,13837.63,13837.63,100,372771.7783,372771.7783,0.042123211
11,141.14,69,90.36,9628.26,9628.26,100,230379.6175,230379.6175,0.026032897
12,195.08,56,142.35,16892.24,4997.46,29.58435353,407124.1568,120445.0498,0.013610291
13,155.64,84,112.12,11398.77,11398.77,100,383753.3891,383753.3891,0.043364133
14,160.48,50,91.57,9402.16,9402.16,100,192359.1108,192359.1108,0.02173658
15,194.48,56,140.53,16235.79,5554.15,34.20929933,400682.75,137070.7613,0.015488996
16,411.14,170,212.76,58505.82,31340.65,53.56843131,3893115.256,2085480.772,0.235659327
17,247.22,80,144.76,23819.29,5884.55,24.70497651,749533.0548,185171.9651,0.020924432
18,118.62,38,104.87,8193.63,4545.88,55.48065998,123754.6172,68659.87836,0.007758566
19,185.87,75,181.03,20602.91,14776.63,71.72108212,660677.8403,473845.2964,0.053544518
20,175.14,74,110.76,12983.29,4062.7,31.29176041,375810.2654,117597.6479,0.013288534
21,123.61,54,98.22,7818.19,4604.7,58.89726394,171638.9791,101090.6626,0.011423245
22,239.21,104,143.86,23146.98,15751.86,68.05146935,936960.6522,637615.4911,0.07205055
23,185.87,60,100.04,12917.64,12917.64,100,292080.6989,292080.6989,0.033005119
24,255.35,154,237.56,43454.04,43454.04,100,2445673.773,2445673.773,0.276361136
25,144.16,72,111.82,10793.58,10793.58,100,303854.2986,303854.2986,0.034335536
26,171.06,92,111.22,12651.57,12651.57,100,458234.5304,458234.5304,0.051780502
27,162.44,64,92.78,9691.36,9691.36,100,252520.0983,252520.0983,0.028534771
28,165.47,64,117.87,12551,12551,100,326791.8005,326791.8005,0.036927473
29,206.42,54,98.98,14389.85,14389.85,100,288842.8422,288842.8422,0.032639241
30,247.37,119,169.7,29769.81,29769.81,100,1307809.415,1307809.415,0.147782464
31,239.51,46,96.41,15673.53,4494.35,28.67477843,278081.5606,79739.27135,0.009010538
32,332.33,108,177.07,38487.25,9223.87,23.9660407,1663822.209,398752.3078,0.045059011
33,331.6,110,178.19,38547.26,38547.26,100,1701606.601,1701606.601,0.192281546
34,171.66,60,129.5,14633.13,14633.13,100,349187.5523,349187.5523,0.039458193
35,133.13,55,108.04,8838.71,8838.71,100,207105.5912,207105.5912,0.023402932
36,241.17,90,201.58,30756.29,30756.29,100,1145465.097,1145465.097,0.129437556
37,116.05,56,161.84,11734.46,11734.46,100,275351.6405,275351.6405,0.031114735
38,286.16,89,217.86,29298.34,29298.34,100,1452596.722,1452596.722,0.16414343
39,266.26,93,155.64,27055.55,27055.55,100,1008971.096,1008971.096,0.114013734
40,130.11,75,99.58,9064.55,1837.84,20.27502744,254397.412,51579.1451,0.005828443
41,330.04,140,250.85,49946.15,29655.77,59.3754874,3034431.557,1801708.527,0.203593064
