"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"cadvenum",1,112,232.18,116.09,42337.89,28909.45,68.28268957,3276748.032,2237451.687,0.252832041
"cadvenum",2,88,186.47,93.24,27310.57,11725.57,42.93418263,1697444.327,728783.8474,0.082352575
"cadvenum",3,39,127,63.5,12667.59,12667.59,100,536265.4154,536265.4154,0.060597992
"cadvenum",4,44,118.66,59.33,11058.39,6762.3,61.15085469,437402.9006,267475.6122,0.030224744
"cadvenum",5,50,138.08,69.04,14974.43,6875.76,45.91667262,689224.9044,316469.143,0.035761013
"cadvenum",6,44,133.66,66.83,14030.95,3985.34,28.40392133,625133.8229,177562.5193,0.020064565
"cadvenum",7,77,191.84,95.92,28904.95,14935.46,51.67094217,1848358.138,955064.0647,0.107922239
"cadvenum",8,47,127.67,63.84,12802.6,12802.6,100,544797.6202,544797.6202,0.061562131
"cadvenum",9,92,192.29,96.15,29040.54,8387.54,28.88217643,1861395.78,537611.6133,0.060750112
"cadvenum",10,92,193.51,96.75,29409.26,7495.41,25.48656444,1897050.384,483492.9685,0.054634705
"cadvenum",11,58,122.76,61.38,11835.21,6335.26,53.52891922,484327.6529,259255.3581,0.029295855
"cadvenum",12,58,97.54,48.77,7472.89,7472.89,100,242949.9872,242949.9872,0.027453349
"cadvenum",13,90,171.02,85.51,22970.16,9112.23,39.66985863,1309511.549,519481.3803,0.058701396
"cadvenum",14,76,162.67,81.33,20782.61,12609.59,60.67375561,1126914.655,683741.4436,0.077262783
"cadvenum",15,66,150.37,75.18,17757.61,17757.61,100,890127.5151,890127.5151,0.100584409
"cadvenum",16,50,119.38,59.69,11192.39,8387.63,74.94047295,445413.4738,333794.9639,0.037718831
"cadvenum",17,58,130.34,65.17,13343.42,10437.88,78.22492285,579697.9662,453468.2868,0.051241916
"cadvenum",18,48,112.07,56.03,9863.68,2557.43,25.92774705,368499.3639,95543.58294,0.010796425
"cadvenum",19,55,158.69,79.35,19779.3,12148.68,61.42118275,1046206.243,642592.2483,0.072612924
"cadvenum",20,56,131.97,65.98,13678.22,4321.21,31.59190304,601719.7644,190094.7245,0.021480704
"cadvenum",21,75,189.8,94.9,28293.68,15008.29,53.04467287,1790017.393,949508.8707,0.107294502
"cadvenum",22,39,101.32,50.66,8062.8,6224.62,77.20171653,272304.0935,210223.4343,0.023755248
"cadvenum",23,77,138.22,69.11,15005.07,3266.99,21.7725742,691323.4564,150518.9125,0.017008637
"caknerianus",1,58,173.04,86.52,23516.51,23516.51,100,1356463.60565463,1356463.60565463,0.153280387438973
"caknerianus",2,90,184.57,92.29,26756.43,15935.11,59.5561889235597,1646083.88547494,980344.828673725,0.110778965640131
"caknerianus",3,48,124.04,62.02,12084.87,3039.1,25.1479742852012,499636.203154571,125648.383888867,0.014198267379442
"caknerianus",4,83,205.24,102.62,33082.34,9336.46,28.2218851508086,2263365.25458534,638764.342692379,0.0721803707242389
"caknerianus",5,83,165.39,82.69,21483.55,10911.11,50.788207721722,1184394.462696,601532.719958619,0.0679731973553239
"caknerianus",6,99,195.15,97.58,29912.14,7136.81,23.859242434677,1945692.89745377,464227.585437786,0.0524577171544698
"caknerianus",7,70,137.24,68.62,14791.94,8641.5,58.4203289088517,676722.715807883,395343.636375879,0.0446738309104744
"cdispars",1,230.44,68,187.68,32188.13,32188.13,100,1730703.25717074,1730703.25717074,0.195569468060293
"cdispars",2,150.2,52,149.6,15705.02,6209.06,39.5355115752797,876523.183266763,346537.924580442,0.0391587854775899
"crefulgens",1,84,181.25,90.63,25802.12,12601.22,48.8379249457021,1558844.06002616,761307.092056114,0.0860277014023409
"crefulgens",2,70,134.75,67.38,14261.66,4932.86,34.5882597117026,640552.82116438,221556.073374973,0.025035836291372
"cvariabilis",1,40,139.58,69.79,15302.63,6130.06,40.0588656982493,711931.499329588,285191.683179972,0.0322266601993368
"cvariabilis",2,70,163.73,81.86,21053.42,10002.76,47.5113307006653,1149088.32508892,545947.154175731,0.0616920284218576
"cvariabilis",3,58,144.73,72.36,16451.07,16451.07,100,793677.946607037,793677.946607037,0.0896856079665952
