"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"cibicidoides sp. a",1,38,100.95,50.47,8003.33,8003.33,100,269331.777,269331.777,0.030434491
"cibicidoides sp. a",2,44,101.11,50.56,8029.73,953.4,11.87337557,270614.4344,32131.06814,0.003630811
"cibicidoides sp. a",3,48,120.58,60.29,11418.79,11418.79,100,458980.7437,458980.7437,0.051864824
"cibicidoides sp. a",4,60,128.86,64.43,13041.77,13041.77,100,560174.0776,560174.0776,0.063299671
"cibicidoides sp. a",5,47,136.84,68.42,14706.07,14706.07,100,670822.8127,670822.8127,0.075802978
"cibicidoides sp. a",6,50,117.16,58.58,10780.62,2717.4,25.20634249,421023.8669,106124.7179,0.011992093
"cibicidoides sp. a",7,54,167.76,83.88,22103.94,10248.49,46.36499194,1236043.853,573091.6328,0.064759355
"cibicidoides sp. a",8,40,119.58,59.79,11231.49,3117.9,27.76034168,447655.86,124270.7963,0.0140426
"cibicidoides sp. a",9,56,123.66,61.83,12010.55,7933.87,66.05750777,495058.308,327023.1803,0.036953619
"cibicidoides sp. a",10,48,106.1,53.05,8840.57,4145.59,46.89279085,312690.5659,146629.3331,0.016569115
"cibicidoides sp. a",11,40,100.52,50.26,7935.82,4966.27,62.58042647,265904.7323,166404.3155,0.018803688
"cibicidoides sp. a",12,36,102.64,51.32,8273.63,3430.62,41.46450832,283086.1075,117380.2626,0.01326397
"cibicidoides sp. a",13,39,119.19,59.6,11158.39,6864.5,61.51873164,443290.1548,272706.4808,0.030815832
"cibicidoides sp. a",14,48,120.3,60.15,11366,11366,100,455790.7516,455790.7516,0.051504355
"cibicidoides sp. a",15,44,114.93,57.46,10373.52,10373.52,100,397437.5041,397437.5041,0.044910438
"cibicidoides sp. a",16,50,134.56,67.28,14219.76,10961.16,77.08400142,637847.0658,491678.0413,0.055559619
"cibicidoides sp. a",17,39,95.29,47.65,7131.58,7131.58,100,226522.1148,226522.1148,0.025596999
"cibicidoides sp. a",18,60,149.35,74.67,17518.51,2979.88,17.00989411,872136.1885,148349.4421,0.016763487
"cibicidoides sp. a",19,40,106.41,53.21,8893.44,8893.44,100,315439.4133,315439.4133,0.035644654
"cibicidoides sp. a",20,63,134.24,67.12,14153.55,14153.55,100,633307.2462,633307.2462,0.071563719
"cibicidoides sp. a",21,54,134.67,67.33,14243.87,6534.96,45.87910448,639412.6251,293356.7863,0.033149317
"cibicidoides sp. a",22,66,157.88,78.94,19577.43,4576.94,23.37865593,1030267.452,240862.6828,0.027217483
"cibicidoides sp. a",23,36,84.53,42.27,5612.48,4586.79,81.72483465,158125.2531,129227.6016,0.014602719
"cibicidoides sp. a",24,52,117.77,58.89,10894.04,10894.04,100,427634.4179,427634.4179,0.048322689
"cibicidoides sp. a",25,50,101.61,50.8,8108.64,6889.21,84.96134987,274648.9739,233345.4756,0.026368039
"cibicidoides sp. a",26,42,102.21,51.11,8205.63,8205.63,100,279543.1094,279543.1094,0.031588371
"cibicidoides sp. a",27,35,91.47,45.73,6570.67,3274.88,49.84088381,200357.0663,99859.73261,0.01128415
"cibicidoides sp. a",28,36,96.66,48.33,7337.97,6123.24,83.44596666,236433.4934,197294.2141,0.022294246
"cibicidoides sp. a",29,63,96.84,48.42,7364.87,7364.87,100,237756.8121,237756.8121,0.02686652
"cibicidoides sp. a",30,82,158.54,79.27,19741.78,5652.45,28.63191668,1043242.301,298700.2663,0.03375313
"cibicidoides sp. a",31,53,122.55,61.12,11737.67,7133.82,60.7771389,481846.3499,292852.4254,0.033092324
"cibicidoides sp. a",32,36,81.72,40.86,5245.4,3416.35,65.13039997,142874.1635,93054.51412,0.01051516
"cibicidoides sp. a",33,48,108.4,54.2,9228.02,3003.57,32.54836899,333469.7726,108538.972,0.012264904
"cibicidoides sp. a",34,40,90.53,45.27,6436.95,6436.95,100,194243.3627,194243.3627,0.0219495
"cibicidoides sp. a",35,48,125.62,62.81,12393.05,4038.35,32.58560241,518973.2748,169110.568,0.019109494
"cibicidoides sp. a",36,48,129.72,64.86,13217.1,8836.42,66.85596689,571464.75,382058.2841,0.043172586
"cibicidoides sp. a",37,48,125.5,62.75,12371.03,12371.03,100,517487.4289,517487.4289,0.058476079
"cibicidoides sp. a",38,70,131.06,65.53,13491.2,5763.1,42.71747509,589357.9111,251758.8189,0.028448747
"cibicidoides sp. a",39,42,91.24,45.62,6537.96,2985.91,45.67036201,198849.4786,90815.27672,0.010262126
"cibicidoides sp. a",40,48,95.26,47.63,7126.78,7126.78,100,226308.2354,226308.2354,0.025572831
"cibicidoides sp. a",41,52,104.41,52.21,8562.52,5993.54,69.99738395,297985.3506,208581.9499,0.02356976
"cibicidoides sp. a",42,42,126.02,63.01,12473.69,10047.55,80.54994152,523946.6314,422038.7052,0.047690374
"cibicidoides sp. a",43,56,173.87,86.93,23742.41,20294.13,85.47628484,1376076.534,1176219.098,0.132912758
"cibicidoides sp. a",44,47,121.78,60.89,11647.28,8605.73,73.88617772,472820.7591,349349.1863,0.039476458
"cibicidoides sp. a",45,36,106.34,53.17,8881.6,5842.6,65.78319222,314817.3034,207096.8718,0.023401947
"cibicidoides sp. a",46,44,115.17,57.58,10417.35,10417.35,100,399932.5269,399932.5269,0.045192376
"cibicidoides sp. a",47,62,113.95,56.98,10198.12,10198.12,100,387357.1843,387357.1843,0.043771362
"cibicidoides sp. a",48,52,120.57,60.28,11416.64,11416.64,100,458866.5599,458866.5599,0.051851921
"cibicidoides sp. a",49,59,123.75,61.88,12027.77,8205.16,68.21846444,496140.0082,338459.0951,0.038245878
"cibicidoides sp. a",50,56,140.84,70.42,15579.89,10101.74,64.83832684,731386.0555,474218.4812,0.053586688
"cibicidoides sp. a",51,42,108.12,54.06,9181.82,9181.82,100,330892.3585,330892.3585,0.037390837
"cibicidoides sp. a",52,60,127.61,63.81,12789.9,8879.1,69.42274764,544029.8793,377680.4901,0.042677895
"cibicidoides sp. a",53,56,144.32,72.16,16357.45,16357.45,100,786951.8982,786951.8982,0.088925565
"cibicidoides sp. a",54,40,92.11,46.05,6663.28,6663.28,100,204592.1535,204592.1535,0.023118913
"cibicidoides sp. a",55,56,130.91,65.45,13459.14,13459.14,100,587336.6412,587336.6412,0.06636904
"cibicidoides sp. a",56,24,83.03,41.51,5414.13,5414.13,100,149855.8635,149855.8635,0.016933713
"cibicidoides sp. a",57,70,110.83,55.41,9647.18,9647.18,100,356402.4053,356402.4053,0.040273472
"cibicidoides sp. a",58,36,95.07,47.54,7099.08,7099.08,100,224956.7911,224956.7911,0.025420117
"cibicidoides sp. a",59,36,103.04,51.52,8338.2,8338.2,100,286408.6807,286408.6807,0.032364181
"cibicidoides sp. a",60,42,105.52,52.96,8811.59,8811.59,100,307590.5398,307590.5398,0.034757731
"cibicidoides sp. a",61,77,163.11,81.55,20894.67,20894.67,100,1136083.86,1136083.86,0.128377476
"cibicidoides sp. a",62,52,132.73,66.36,13835.54,13835.54,100,612175.451,612175.451,0.069175826
"cibicidoides sp. a",63,60,129.62,64.81,13195.07,8039.83,60.93055967,570144.1572,347392.0259,0.039255299
"cibicidoides sp. a",64,45,109.46,54.73,9409.73,9409.73,100,343348.3448,343348.3448,0.038798363
"cibicidoides sp. a",65,59,96.47,48.23,7308.63,7308.63,100,235041.9937,235041.9937,0.026559745
"cibicidoides sp. a",66,42,92.48,46.21,6717.52,6717.52,100,207067.5714,207067.5714,0.023398636
"cibicidoides sp. a",67,48,94.37,47.19,6994.71,6994.71,100,220024.2209,220024.2209,0.024862737
"cibicidoides sp. a",68,52,126.08,63.04,12484.33,10122.68,81.08308576,524695.3642,425439.1921,0.048074629
"cibicidoides sp. a",69,52,112.68,56.34,9972.38,9972.38,100,374549.431,374549.431,0.042324086
"cibicidoides sp. a",70,52,123.39,61.69,11957.68,11957.68,100,491822.6431,491822.6431,0.055575959
"cibicidoides sp. a",71,52,126.82,63.41,12632.08,9231.57,73.08036365,533988.462,390240.7099,0.0440972
"cibicidoides sp. a",72,40,120.5,53.68,11405.09,11405.09,100,458067.8036,458067.8036,0.051761662
"cibicidoides sp. a",73,40,107.36,60.25,9053.34,9053.34,100,323963.5394,323963.5394,0.03660788
"cibicidoides sp. a",74,32,76.46,38.23,4591.16,4591.16,100,117023.0755,117023.0755,0.013223608
"cibicidoides sp. a",75,48,111.13,55.56,9698.83,9698.83,100,359304.4283,359304.4283,0.0406014
"cibicidoides sp. a",76,67,131.78,65.89,13638.98,6387.79,46.83480729,599124.5783,280598.8417,0.031707669
"cibicidoides sp. a",77,38,91.69,45.85,6603.6,6603.6,100,201806.2187,201806.2187,0.022804103
"cibicidoides sp. a",78,50,105.41,52.7,8726.77,3143.81,36.0248981,306629.5931,110462.9985,0.012482319
"cibicidoides sp. a",79,50,126.41,63.21,12551.16,8242.49,65.67114115,528826.1478,347286.166,0.039243337
"cibicidoides sp. a",80,58,121.21,60.6,11538.81,11538.81,100,466212.5717,466212.5717,0.052682021
"cibicidoides sp. a",81,46,102.06,51.03,8180.95,5291.98,64.68661952,278314.1702,180032.0283,0.020343619
"cpseudoungerianus",1,60,149.23,74.61,17489.6,17489.6,100,870035.6406,870035.6406,0.098314027
"cpseudoungerianus",2,58,164.19,82.09,21171.93,7409.06,34.99473123,1158800.664,405519.1778,0.045823667
"cpseudoungerianus",3,59,161.81,80.91,20564.75,20564.75,100,1109135.741,1109135.741,0.125332339
"cpseudoungerianus",4,53,157.08,78.9,19556.2,5194.8,26.5634428,1014685.15,269535.3094,0.03045749
"cpseudoungerianus",5,64,146.72,73.36,16907.67,5116.34,30.26046759,826868.7554,250214.3517,0.028274222
"cpseudoungerianus",6,64,156.97,78.48,19350.74,14534.01,75.10829043,1012554.951,760512.7134,0.085937937
"cpseudoungerianus",7,93,218.09,109.05,37357.28,25526.97,68.33198241,2715663.056,1855666.402,0.209690303
"cpseudoungerianus",8,113,261.32,130.66,53634.68,9614,17.92496944,4671825.096,837423.2208,0.094628824
"cpseudoungerianus",9,69,159.52,79.76,19985.39,12703.79,63.56538451,1062708.244,675514.5815,0.076333148
"cpseudoungerianus",10,117,266.85,133.43,55928.44,17571.28,31.41743271,4974738.401,1562935.089,0.176611665
"cpseudoungerianus",11,92,226.88,113.44,40428.91,15002.36,37.10800019,3057435.242,1134553.075,0.128204498
"cpseudoungerianus",12,88,176.34,88.17,24421.32,9727.34,39.83134409,1435559.297,571802.5631,0.06461369
"cpseudoungerianus",13,62,165.47,82.78,21503.28,5137.57,23.8920295,1186113.987,283386.7037,0.032022698
"cpseudoungerianus",14,52,181.29,90.64,25811.59,12223.84,47.35795044,1559876.35,738725.4688,0.083475978
"cpseudoungerianus",15,45,127.14,63.57,12696.18,12696.18,100,538040.8474,538040.8474,0.060798616
