"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"cinvolvens",1,40,130.82,65.41,13441.34,13441.34,100,537648.158133333,537648.158133333,0.0607542418690667
"cinvolvens",2,36,130.02,65.01,13276.78,13276.78,100,477983.280519341,477983.280519341,0.0540121106986855
"cinvolvens",3,79,211.36,105.68,35084.59,10124.8,28.8582537233583,2771804.35798897,799894.33434356,0.0903880597808223
"cinvolvens",4,32,109.86,54.93,9478.45,9478.45,100,303332.573078983,303332.573078983,0.034276580757925
"cinvolvens",5,34,89.76,44.88,6328.49,6328.49,100,215146.599529115,215146.599529115,0.02431156574679
"cinvolvens",6,42,112.15,56.08,9879.11,9879.11,100,414894.547733244,414894.547733244,0.0468830838938565
"cinvolvens",7,28,102.02,51.01,8173.78,8173.78,100,228885.64248817,228885.64248817,0.0258640776011632
"cinvolvens",8,35,98.98,49.49,7694.36,7694.36,100,269310.213826336,269310.213826336,0.0304320541623759
"cinvolvens",9,66,176.53,88.27,24475.56,24475.56,100,1615365.70881198,1615365.70881198,0.182536325095753
"cinvolvens",10,51,110.09,55.04,9518.7,9518.7,100,485462.626209334,485462.626209334,0.0548572767616547
"cinvolvens",11,26,89.49,44.75,6290.47,6290.47,100,163535.576230079,163535.576230079,0.0184795201139989
"cinvolvens",12,34,133.65,66.83,14029.59,8706.48,62.0579788860544,476987.199769721,296008.615722276,0.0334489735766171
"cplanorbis",1,48,152.11,76.05,18170.96,7926.79,43.6233968926243,872261.394595643,380510.050105597,0.0429976356619324
"cplanorbis",2,40,122.28,61.14,11743.69,1556.38,13.2529043256421,469743.449731214,62254.6499688485,0.00703477544647988
"cplanorbis",3,24,104.25,52.13,8536.26,851.68,9.97720313111363,204858.151879277,20439.1139436408,0.00230961987563141
"cplanorbis",4,35,143.32,71.66,16133.63,6995.6,43.3603596958651,564639.848853744,244829.869449172,0.0276657752477565
"cplanorbis",5,28,135.43,67.71,14404.56,9926.35,68.9111642424343,403345.921347328,277950.370324817,0.0314083918467043
"cplanorbis",6,32,117.78,58.89,10894.97,2571.93,23.6065817528639,348644.613414278,82303.075692598,0.00930024755326357
