"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"cribroelphidium sp. a",1,54,120.05,60.02,11318.72,11318.72,100,407489.770650867,407489.770650867,0.0460463440835479
"cribroelphidium sp. a",2,39,115.26,57.63,10433.99,10433.99,100,271281.675999897,271281.675999897,0.0306548293879884
"cribroelphidium sp. a",3,40,101.85,50.93,8147.59,8147.59,100,217260.452818922,217260.452818922,0.0245504311685382
"cribroelphidium sp. a",4,44,101.85,50.93,8147.59,5080.21,62.352302950934,238986.498100814,149013.585307648,0.0168385351397642
"cribroelphidium sp. a",5,60,144.47,72.24,16393.39,10415.03,63.5318869373571,655700.052328067,416578.615893259,0.0470733835959382
"cribroelphidium sp. a",6,36,104.63,52.32,8598.17,8598.17,100,206354.324071011,206354.324071011,0.0233180386200243
"cribroelphidium sp. a",7,63,150.3,75.15,17742.33,17742.33,100,745173.038370588,745173.038370588,0.0842045533358765
"cribroelphidium sp. a",8,48,113.21,56.61,10066.84,10066.84,100,322113.881044167,322113.881044167,0.0363988685579909
"cpoeyanum",1,163,397.2,198.6,123233.88,47364.99,38.4350391304729,13464948.8017627,5175258.34085562,0.584804192516685
"cpoeyanum",2,116.666666666667,350.64,175.32,94697.61,63313.89,66.859015766079,7510490.95261778,5021440.33012066,0.567422757303634
"cpoeyanum",3,137,262.83,131.42,53597.57,22816.4,42.5698403864205,4955289.81416939,2109458.96457646,0.23836886299714
"cpoeyanum",1,106,206.79,103.39,33584.42,33584.42,100,2373359.6472792,2373359.6472792,0.268189640142549
"cpoeyanum",2,19,235.93,117.96,43717.12,4997.64,11.4317686068982,553756.145160716,63304.1211612522,0.0071533656912215
"cpoeyanum",3,86,201.01,100.51,31734.4,5064.64,15.9594635474438,1819417.63874265,290369.294830895,0.0328117303158912
"cpoeyanum",4,138,281.23,140.61,62116.67,18530.47,29.8317182810991,5714799.55821163,1704822.90453519,0.192644988212476
"cpoeyanum",5,87,178.32,89.16,24974.2,24974.2,100,1448498.28696173,1448498.28696173,0.163680306426675
"cpoeyanum",6,64,147.79,73.89,17154.45,17154.45,100,731928.561472847,731928.561472847,0.0827079274464317
"cpoeyanum",7,118,239.53,119.76,45061.45,45061.45,100,3544871.18839434,3544871.18839434,0.40057044428856
"cpoeyanum",8,116,206.02,103.01,33335.61,33335.61,100,2577955.26767483,2577955.26767483,0.291308945247256
"cpoeyanum",9,195,366.84,183.42,105689.53,37143.01,35.143509484809,13739995.904638,4828716.76395882,0.545644994327346
