"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,50,147.3,73.65,17041.39,17041.39,100,491475.1399,491475.1399,0.055536691
2,28,124.79,62.39,12230.41,5705.37,46.64904938,182695.6642,85225.7906,0.009630514
3,36,120.55,60.28,11414.28,6104.76,53.48353116,229908.6971,122963.2896,0.013894852
4,32,96.42,48.21,7302.03,7302.03,100,133984.5251,133984.5251,0.015140251
5,40,132.77,66.39,13845.3,13845.3,100,310450.0142,310450.0142,0.035080852
6,36,129.46,64.73,13163.22,2682.4,20.37799262,261366.41,53261.22773,0.006018519
7,42,143.01,71.5,16062.76,11112.48,69.18163504,376065.134,260168.0085,0.029398985
8,30,113.15,56.57,10055,6659.31,66.22884137,164941.3851,109238.7683,0.012343981
9,24,93.88,46.94,6922.61,4604.58,66.51508607,90303.08027,60065.17157,0.006787364
10,34,98.75,49.37,7658.2,2663.82,34.78389178,150753.7656,52438.02668,0.005925497
11,56,159.43,79.71,19961.94,7967.87,39.91530883,650851.5668,259789.4129,0.029356204
12,20,99.62,49.81,7794.22,4503.55,57.78063745,82132.83807,47456.87739,0.005362627
13,20,103.61,51.81,8432.03,3762.2,44.6179627,88517.81098,39494.84388,0.004462917
14,42,127.78,63.89,12823.19,5418.38,42.25454041,308091.512,130182.6524,0.01471064
15,54,151.97,75.98,18137.92,6582.64,36.29214375,572127.7872,207637.439,0.023463031
16,36,133.14,66.57,13922.06,4172.58,29.97099567,275028.1157,82428.66466,0.009314439
17,72,169.43,84.71,22545.48,10195.43,45.22161427,1006994.258,455379.059,0.051457834
18,74,201.61,100.8,31923,11689.57,36.61801836,1393236.694,510175.6682,0.057649851
19,32,164.88,82.44,21350.7,4376.88,20.49993677,358779.2774,73549.52501,0.008311096
20,66,202.63,101.31,32247.53,20158.56,62.51195053,1214598.252,759269.0584,0.085797404
21,54,155.17,77.58,18909.42,6434.71,34.02912411,592968.4594,201781.973,0.022801363
22,44,147.89,73.95,17178.41,4550.92,26.49209094,422564.9098,111946.2802,0.01264993
23,54,171.97,85.98,23225.9,13396.89,57.68082184,709507.1207,409249.5382,0.046245198
24,44,142.33,71.16,15910.24,9812.9,61.6766309,394583.2096,243365.6298,0.027500316
25,28,118.7,59.35,11066.78,7313.44,66.08462443,166418.2734,109976.891,0.012427389
26,42,107.65,53.82,9100.83,6097.69,67.00147129,229890.5676,154030.0627,0.017405397
27,72,213.95,106.98,35952.96,4661.87,12.96658189,1489799.579,193176.0824,0.021828897
28,80,241.22,120.61,45701.08,24514.66,53.64131438,2096083.868,1124366.937,0.127053464
29,18,109.23,54.61,9370.13,3472.57,37.0599981,87374.81967,32381.10651,0.003659065
30,15,115.44,57.72,10467.06,5914.96,56.51023305,80266.08381,45358.55103,0.005125516
31,62,212.52,106.26,35471.61,14959.45,42.17302231,1224429.922,516379.104,0.058350839
32,36,138.18,69.09,14996.82,10206.21,68.05582784,294360.0242,200329.1513,0.022637194
33,42,131.13,65.57,13505.62,6519.33,48.2712382,322440.2614,155645.9066,0.017587987
34,28,97.99,48.99,7541.27,3271.13,43.3763809,117052.4375,50773.11116,0.005737362
35,36,112.15,56.07,9878.33,2731.99,27.65639536,202209.2653,55923.79386,0.006319389
36,18,118.03,59.01,10941.31,2992.77,27.35294037,101509.9509,27765.95633,0.003137553
37,24,124.56,62.28,12185.67,4256.49,34.93029107,153465.4842,53605.94032,0.006057471
38,48,164.55,82.27,21264.84,12394.81,58.28781218,568227.6218,331207.449,0.037426442
39,24,140.43,70.22,15489.55,9654.99,62.33228209,193126.8348,120380.3635,0.013602981
40,48,127.64,63.82,12795.71,6419.42,50.16853305,365002.2279,183116.2633,0.020692138
41,36,148.73,74.36,17372.53,10089.66,58.07824191,337109.7709,195787.4283,0.022123979
42,30,112.76,56.38,9986.09,4258.66,42.64592048,163930.0828,69909.49276,0.007899773
43,30,108.83,54.41,9301.61,3921.92,42.16388346,153644.997,64782.69747,0.007320445
44,34,140.65,70.32,15536.78,3109.06,20.01096752,284672.3002,56965.68154,0.006437122
45,64,178.16,89.08,24929.68,3732.47,14.97199322,934996.255,139987.5759,0.015818596
