"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"ddiasbritoi",1,28,103.44,51.72,8403.05,8403.05,100,58825.40761,58825.40761,0.006647271
"ddiasbritoi",2,10,98.8,49.4,7665.88,7665.88,100,19166.54262,19166.54262,0.002165819
"ddiasbritoi",3,16,105.38,52.69,8721.06,8721.06,100,34887.21175,34887.21175,0.003942255
"ddiasbritoi",4,30,108.67,54.34,9275.44,3937.59,42.45178665,92766.06629,39380.85255,0.004450036
"ddiasbritoi",5,26,101.08,52.04,8508.71,8508.71,100,68063.52471,68063.52471,0.007691178
"ddiasbritoi",6,32,93.48,46.74,6862.71,6862.71,100,68632.1002,68632.1002,0.007755427
"ddiasbritoi",7,36,92.97,46.49,6788.75,6788.75,100,61109.88614,61109.88614,0.006905417
"ddiasbritoi",8,28,127.52,63.76,12770.96,12770.96,100,89401.44318,89401.44318,0.010102363
"ddiasbritoi",9,26,96.86,48.43,7368.31,7368.31,100,58947.9624,58947.9624,0.00666112
"ddiasbritoi",10,22,91.71,45.85,6605.32,6605.32,100,39625.96058,39625.96058,0.004477734
"ddiasbritoi",13,28,118.2,59.1,10972.38,4763.76,43.41592253,115216.3555,50022.24364,0.005652514
"ddiasbritoi",14,44,121.05,60.52,11507.89,7411.19,64.40094579,138079.4211,88924.45311,0.010048463
"ddiasbritoi",15,27,97.89,48.94,7525.63,7525.63,100,67720.52436,67720.52436,0.007652419
"ddiasbritoi",16,32,104.05,52.03,8503.48,6765.69,79.56377859,68037.36906,54133.10168,0.00611704
"ddiasbritoi",17,29,103.61,51.8,8403.67,8430.67,100.3212882,80081.64719,80338.94007,0.0090783
"ddiasbritoi",18,35,109.55,54.77,9424.87,9424.87,100,98952.01758,98952.01758,0.011181578
"ddiasbritoi",19,42,116.94,58.47,10741.1,8074.7,75.17572688,112773.0586,84777.96655,0.00957991
"ddiasbritoi",20,38,104.15,52.08,8519.83,8519.83,100,106512.8087,106512.8087,0.012035947
"ddiasbritoi",21,38,104.26,52.13,8537.55,8537.55,100,106717.4245,106717.4245,0.012059069
"ddiasbritoi",22,30,104.15,67.6,14357.5,9862.27,68.69071914,107672.4333,73960.96878,0.008357589
"dmourai",1,26,159.28,79.64,19924.57,19924.57,100,119553.8664,119553.8664,0.013509587
"dmourai",2,30,195.77,97.88,30099.95,17473.97,58.05315291,300980.1083,174728.4425,0.019744314
"dmourai",3,50,192.35,96.18,29058.76,29058.76,100,508577.8798,508577.8798,0.0574693
"dmourai",4,45,272.19,136.09,58188.06,58188.06,100,727297.867,727297.867,0.082184659
"dmourai",5,30,224.58,112.29,39613.7,32721.7,82.60197861,396124.8032,327206.9252,0.036974383
"dmourai",6,46,222.94,111.47,39034.64,39034.64,100,566022.7373,566022.7373,0.063960569
"dmourai",7,54,243.19,121.6,46450.27,46450.27,100,882613.6172,882613.6172,0.099735339
"dmourai",8,26,179.4,89.7,25277,19699.37,77.93397159,202220.2979,157598.3095,0.017808609
"dmourai",9,36,220.46,110.23,38171.21,15999.2,41.91431186,343551.617,143997.2962,0.016271694
"dmourai",10,46,216.96,108.48,36970.98,36970.98,100,536064.7226,536064.7226,0.060575314
"dmourai",11,32,141.79,70.89,15789.84,10114.62,64.05777386,157877.349,101132.7152,0.011427997
"dmourai",12,48,185.39,92.7,26994.5,26994.5,100,323959.4009,323959.4009,0.036607412
"dmourai",13,42,199.77,99.89,31345.16,20265.56,64.65291611,376162.1942,243199.8278,0.027481581
"dmourai",14,32,151.9,75.95,18122.2,5371.95,29.64292415,181219.7092,53718.82094,0.006070227
"dmourai",15,39,190.85,95.42,28606.17,28606.17,100,400457.7776,400457.7776,0.045251729
"dmourai",16,42,211.52,105.76,35140.33,10329.68,29.39551222,316253.446,92964.32038,0.010504968
"dmourai",17,46,211.73,105.87,35209.19,35209.19,100,404942.6674,404942.6674,0.045758521
"dmourai",18,20,102.14,51.07,8194.44,5844.46,71.32226241,40968.64429,29219.76399,0.003301833
"dmourai",19,40,219.54,109.77,37855.64,26987.25,71.28990555,567817.0907,404796.2677,0.045741978
"dmourai",20,38,196.26,98.13,30252.96,30252.96,100,287393.5889,287393.5889,0.032475476
"dmourai",21,66,251.73,125.87,49770.57,22535.93,45.27963011,895915.0709,405667.0302,0.045840374
"dmourai",22,44,254.93,127.47,51043.83,51043.83,100,408371.8818,408371.8818,0.046146023
"dmourai",23,47,217.83,108.91,37267.04,31804.13,85.34117547,540322.921,461117.9321,0.052106326
"dmourai",24,50,189.58,94.79,28228.26,28228.26,100,493984.0972,493984.0972,0.055820203
"dmourai",25,44,207.02,103.51,33660.39,33660.39,100,538560.4691,538560.4691,0.060857333
"dmourai",26,48,209.68,104.84,34530.85,34530.85,100,414366.9831,414366.9831,0.046823469
"dmourai",27,52,251.03,125.52,49494.02,42683.49,86.23969118,767197.9471,661629.1403,0.074764093
"dmourai",28,50,231.6,115.8,42127.5,35074.62,83.25825174,631914.3978,526120.88,0.059451659
"dmourai",29,29,153.13,76.56,18416.59,18416.59,100,147313.8939,147313.8939,0.01664647
"dmourai",30,31,217.24,108.62,37066.25,18331.37,49.45569082,389187.3975,192475.3161,0.021749711
"dmourai",31,50,155.86,77.93,19078.07,19078.07,100,333885.2809,333885.2809,0.037729037
"dmourai",32,54,155.86,130.88,53816.08,35180.7,65.37209696,807212.1765,527691.5267,0.059629143
"dmourai",33,33,230.18,115.09,41614.18,9606.73,23.08523201,374513.5734,86457.3273,0.009769678
"dmourai",34,42,273.24,136.62,58639.07,58639.07,100,615697.9872,615697.9872,0.069573873
"dmourai",35,48,273.28,118.64,44219.29,44219.29,100,530631.9488,530631.9488,0.05996141
"dmourai",36,45,257.28,128.64,51987.39,51987.39,100,649848.2422,649848.2422,0.073432851
"dmourai",37,45,244.34,122.17,46889.94,19609.59,41.82046298,586123.364,245119.5045,0.027698504
"dmourai",38,24,177.46,88.73,24734.91,24734.91,100,148402.7969,148402.7969,0.016769516
"dmourai",39,36,179.58,89.79,25328.94,25328.94,100,227954.5816,227954.5816,0.025758868
"dmourai",40,38,156.88,78.44,19329.51,19329.51,100,144972.7263,144972.7263,0.016381918
"dmourai",41,51,230.41,115.2,41694.62,41694.62,100,604536.9257,604536.9257,0.068312673
"dmourai",42,45,215.36,107.68,36427.52,36427.52,100,473547.2499,473547.2499,0.053510839
"dmourai",43,30,194.1,97.05,29588.39,29588.39,100,221922.9494,221922.9494,0.025077293
"dmourai",44,44,232.98,116.49,42630.16,23476.21,55.06948602,596836.2582,328674.6598,0.037140237
"dmourai",45,56,173.88,86.94,23746.71,23746.71,100,284951.1346,284951.1346,0.032199478
"dmourai",46,58,211.36,110.68,38484.05,38484.05,100,634997.6498,634997.6498,0.071754734
"dmourai",47,50,227.35,113.67,40594.84,40594.84,100,507401.3352,507401.3352,0.057336351
"dmourai",48,44,171.14,85.57,23002.3,23002.3,100,230034.4796,230034.4796,0.025993896
"dmourai",49,19,106.1,53.05,8841.57,4575.97,51.7551747,44206.9603,22879.38953,0.002585371
"dmourai",50,48,185.46,92.73,27014.47,27014.47,100,324169.1172,324169.1172,0.03663111
"dmourai",51,56,224.49,112.24,39580.41,39580.41,100,633235.3797,633235.3797,0.071555598
"dmourai",52,46,183.53,91.76,26453.42,26453.42,100,304196.7171,304196.7171,0.034374229
"dmourai",53,45,193.77,96.89,29489.32,29489.32,100,250684.0545,250684.0545,0.028327298
"dmourai",54,56,251.24,125.62,49576.3,49576.3,100,793208.6353,793208.6353,0.089632576
"dmourai",55,42,190.13,95.07,28392.46,28392.46,100,298144.0589,298144.0589,0.033690279
"dmourai",56,47,152.2,76.1,18192.62,18192.62,100,145548.9824,145548.9824,0.016447035
"dmourai",57,42,144.59,72.3,16420.65,16420.65,100,229908.2221,229908.2221,0.025979629
"dmourai",58,45,224.48,112.24,39576.78,39576.78,100,356194.9011,356194.9011,0.040250024
