"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,58,171,85.64,23039.38,15177.89,65.8780314400822,770352.275383307,507492.914176403,0.0573466993019335
2,66,154.66,77.33,18787.32,5205.93,27.7098064013388,770487.07683058,213500.477337088,0.0241255539390909
3,34,125.11,62.55,12293.12,2619.26,21.3067146501458,229534.841195665,48906.3336362257,0.0055264157008935
4,48,133.26,66.63,13946.87,5127.07,36.7614382295096,392640.540055848,144340.309596643,0.0163104549844207
5,44,114.24,57.12,10249.27,1920.66,18.739480958156,270103.486810702,50615.991478207,0.00571960703703739
6,47,112.43,56.21,9927.31,1575.78,15.8731821611292,287624.08479649,45655.0949190277,0.00515902572585013
7,70,167.24,83.62,21968.21,6996.01,31.846063015603,948438.404868682,302040.292078661,0.0341305530048886
8,79,164.36,82.18,21215.83,5252.85,24.7591067613193,1096222.58578156,271414.920355351,0.0306698860001546
9,32,110.77,55.38,9636.35,5538.09,57.4708266096603,171318.724637308,98458.2871861889,0.0111257864520393
10,60,138.57,69.29,15081.47,5241.62,34.7553653589471,565590.736693479,196573.126974179,0.0222127633480822
11,52,135.84,67.92,14493.44,10789.14,74.4415404486443,450428.840914489,335306.167801719,0.0378895969615942
12,76,176.63,88.31,24502.03,12673.68,51.7250203350498,1160854.92331068,600452.445142875,0.0678511263011448
13,48,140.65,70.32,15535.99,10908.02,70.2112964799797,430742.693108615,302430.029324339,0.0341745933136503
14,36,109.24,54.62,9372.07,6822.88,72.8001391368182,193133.175802561,140601.22070362,0.015887937939509
