"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"dperuvianus",1,84,199.62,99.81,31296.64,31296.64,100,1624798.785,1624798.785,0.183602263
"dperuvianus",2,36,123.64,61.82,12005.33,8007.85,66.70245633,240541.7693,160447.2686,0.018130541
"dperuvianus",3,42,120.89,60.44,11477.34,6979.47,60.81086733,279792.9611,170144.5264,0.019226331
"dperuvianus",4,36,156.48,78.24,19230.99,19230.99,100,370591.5585,370591.5585,0.041876846
"dperuvianus",5,30,127.42,63.71,12751.7,12751.7,100,205411.3439,205411.3439,0.023211482
"dperuvianus",6,45,209.81,104.91,34574.59,5739.12,16.59924239,825688.8764,137058.098,0.015487565
"dperuvianus",7,54,186.1,93.05,27199.8,15499.29,56.98310282,816871.1649,465478.5358,0.052599075
"dperuvianus",8,75,227.91,113.95,40794.33,40794.33,100,1750605.677,1750605.677,0.197818442
"dperuvianus",9,50,163.52,81.76,20999.55,10379.64,49.42791631,590464.7688,291854.4318,0.032979551
"dperuvianus",10,42,118.52,59.26,11032.52,7376.6,66.86233064,270474.4758,180845.5383,0.020435546
"dperuvianus",11,42,121.04,60.52,11506.6,7001.8,60.85029461,280431.373,170643.3166,0.019282695
"dperuvianus",12,28,126.99,63.5,12666.16,4697.31,37.08550974,188841.658,70032.89147,0.007913717
"dperuvianus",13,80,240.08,120.04,45270,19791.1,43.71791473,2078846.514,908828.3467,0.102697603
"dperuvianus",14,63,172.12,86.06,23268.58,23268.58,100,863855.3352,863855.3352,0.097615653
"dperuvianus",15,58,153.52,76.76,18509.92,12228.32,66.06360265,638966.9499,422124.5868,0.047700078
"dperuvianus",16,20,110.69,55.34,9622.22,3845.47,39.96447805,100400.5553,40124.5579,0.004534075
"dperuvianus",17,50,155.65,77.82,19027.57,13950.57,73.31766484,541083.2363,396709.5937,0.044828184
"dperuvianus",18,63,197.77,98.88,30718.68,11801.7,38.41864299,1098483.047,422022.2801,0.047688518
"dperuvianus",19,36,112.42,56.21,9925.88,6369.61,64.17174094,203098.1651,130331.6284,0.014727474
"dperuvianus",22,96,259.46,129.73,52873.69,6002.35,11.35224343,3001131.73,340695.7797,0.038498623
"dperuvianus",23,56,189.09,94.55,28082.56,12041.44,42.87871191,878329.6263,376616.4301,0.042557657
"dperuvianus",24,44,133.97,66.98,14095.59,5266.1,37.35991186,354674.4448,132506.06,0.014973185
