"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,30,135.43,67.72,14406.03,14406.03,100,230247.2502,230247.2502,0.026017939
2,30,132.98,66.49,13889.32,13889.32,100,222468.1186,222468.1186,0.025138897
3,30,134.36,67.18,14178.52,14178.52,100,226814.4633,226814.4633,0.025630034
4,20,153.26,76.63,18446.82,18446.82,100,188668.04,188668.04,0.021319489
5,34,123.33,61.66,11945.2,8176.26,68.44807956,223630.8546,153071.0253,0.017297026
6,18,119.58,59.79,11231.42,11231.42,100,104129.9637,104129.9637,0.011766686
7,22,130.01,65,13274.92,13274.92,100,151580.7984,151580.7984,0.01712863
8,30,107.63,53.82,9098.82,9098.82,100,150635.868,150635.868,0.017021853
9,36,114.51,57.25,10298.34,10298.34,100,209770.8174,209770.8174,0.023704102
10,24,102.4,51.2,8235.76,8235.76,100,106064.1892,106064.1892,0.011985253
11,22,106.97,53.49,8987.56,8987.56,100,104450.566,104450.566,0.011802914
12,26,128.23,64.11,12913.58,12913.58,100,177061.829,177061.829,0.020007987
13,26,120.1,60.05,11329.05,11329.05,100,156474.4546,156474.4546,0.017681613
14,24,96.87,48.43,7369.39,4575.83,62.09238485,95660.17308,59397.68282,0.006711938
15,30,126.02,63.01,12473.69,12473.69,100,201231.2664,201231.2664,0.022739133
16,24,146.2,73.1,16787,16787,100,208687.5805,208687.5805,0.023581697
17,20,107.66,53.83,9103.03,4528.18,49.74365678,95221.7435,47366.77727,0.005352446
18,30,118.28,59.14,10987.94,10987.94,100,178954.8377,178954.8377,0.020221897
19,18,116.54,58.27,10666.76,10666.76,100,99056.10059,99056.10059,0.011193339
20,26,111.68,55.84,9795.72,9795.72,100,136548.4015,136548.4015,0.015429969
21,28,117.72,58.86,10883.71,10883.71,100,163870.6912,163870.6912,0.018517388
22,32,130.79,65.39,13434.93,13434.93,100,232085.0534,232085.0534,0.026225611
23,22,98.48,49.24,7617.31,7617.31,100,89362.66671,89362.66671,0.010097981
24,26,119.85,59.92,11280.63,11280.63,100,155837.4989,155837.4989,0.017609637
25,24,102.17,51.08,8198.17,8198.17,100,105601.4854,105601.4854,0.011932968
26,40,136.83,68.42,14704.63,5065.28,34.44683749,327644.8493,112863.2888,0.012753552
27,24,177.83,88.91,24835.68,16074.47,64.72329326,305249.26,197567.3737,0.022325113
28,27,126.53,63.27,12574.98,8960.92,71.25991453,180083.1725,128327.1148,0.014500964
29,40,143.19,71.59,16102.71,16102.71,100,355531.6174,355531.6174,0.040175073
30,38,106.83,53.42,8963.81,8963.81,100,199068.7933,199068.7933,0.022494774
31,34,101.29,50.65,8058.42,6244.82,77.49434753,157591.2384,122124.302,0.013800046
32,28,82.15,41.07,5300.07,5300.07,100,85680.95574,85680.95574,0.009681948
33,34,122.32,61.16,11750.65,11750.65,100,220351.1261,220351.1261,0.024899677
34,44,143.2,71.6,16104.94,16104.94,100,398924.6293,398924.6293,0.045078483
35,34,122.07,61.04,11703.45,11703.45,100,219567.9648,219567.9648,0.02481118
36,36,118.84,59.42,11091.39,11091.39,100,224087.4642,224087.4642,0.025321883
37,25,118.28,59.14,10987.94,10987.94,100,145529.2898,145529.2898,0.01644481
38,30,116.1,58.05,10585.64,10585.64,100,172935.3686,172935.3686,0.019541697
39,34,112.46,56.23,9933.05,9933.05,100,189442.7053,189442.7053,0.021407026
40,30,116.02,58.01,10571.73,10571.73,100,172716.6007,172716.6007,0.019516976
41,29,114.24,57.12,10250.34,10250.34,100,161395.8735,161395.8735,0.018237734
42,44,111.85,55.93,9825.8,9825.8,100,260805.4753,260805.4753,0.029471019
43,42,116.79,58.39,10712.62,10712.62,100,263721.7308,263721.7308,0.029800556
44,40,108.12,54.06,9181.89,9181.89,100,217135.3818,217135.3818,0.024536298
45,26,156.92,78.46,19338.91,7950.4,41.11090025,260616.9891,107141.9904,0.012107045
46,40,105.68,52.84,8770.99,8770.99,100,208940.9772,208940.9772,0.02361033
