"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,171.21,44,91.57,10363.27,10363.27,100,361188.2722,361188.2722,0.040814275
2,231.2,59,121.34,19512.04,19512.04,100,866647.4318,866647.4318,0.09793116
3,123.16,35,120.13,9465.93,9465.93,100,271136.3991,271136.3991,0.030638413
4,232.56,72,137.66,21945.41,21945.41,100,1206907.268,1206907.268,0.136380521
5,219.11,56,99.43,16913,8599.35,50.84461657,638802.0301,324796.4428,0.036701998
6,193.57,59,71.02,10693.37,10693.37,100,424687.3764,424687.3764,0.047989674
7,182.69,56,105.02,12737.35,12737.35,100,562565.9457,562565.9457,0.063569952
8,206.42,42,143.86,15745.2,8385.26,53.25597642,653039.9383,347782.7956,0.039299456
9,219.11,48,99.43,12317.1,12317.74,100.005196,547544.5972,547573.0478,0.061875754
10,169.85,42,103.81,11988.1,5888.76,49.12171236,387750.7576,190469.8118,0.021523089
11,165.16,44,104.42,11357.54,11357.54,100,397319.4832,397319.4832,0.044897102
12,180.73,54,103.81,13523.61,13523.61,100,530471.2139,530471.2139,0.059943247
13,182.09,30,86.59,11926.55,8421.19,70.60876783,247670.1759,174876.8595,0.019761085
14,343.45,88,173.04,46171.68,46171.68,100,2738364.914,2738364.914,0.309435235
15,208.23,42,123.91,17296.28,11423.34,66.04506865,567410.7622,374746.8274,0.042346391
16,215.84,60,151.56,19754.64,14773.9,74.78698675,1027700.107,768585.9428,0.086850212
17,187.8,36,96.11,13519.58,13519.58,100,340224.268,340224.268,0.038445342
18,166.22,36,102.6,10828.11,7065.6,65.25238477,321463.5689,209762.6448,0.023703179
19,136.15,40,106.23,8846.03,7206.3,81.46366223,302916.8562,246767.1646,0.02788469
20,203.24,34,102.6,14734.31,14734.31,100,371222.325,371222.325,0.041948123
21,275.8,79,192.21,29221.06,29221.06,100,2192784.508,2192784.508,0.247784649
22,178.46,47,84.92,10954.66,10954.66,100,372947.203,372947.203,0.042143034
23,205.81,54,95.35,14872.01,14872.01,100,554855.0617,554855.0617,0.062698622
24,159.88,50,102.6,11489.69,11489.69,100,429447.5477,429447.5477,0.048527573
25,158.82,36,96.56,10698.2,10698.2,100,289070.3657,289070.3657,0.032664951
26,249.62,72,135.02,24733,24733,100,1270599.269,1270599.269,0.143577717
27,203.78,78,170.41,22986.81,22986.81,100,1418240.422,1418240.422,0.160261168
28,179.52,50,98.98,11712.66,11712.66,100,465188.442,465188.442,0.052566294
29,180.12,42,78.88,10746.22,10746.22,100,312447.2834,312447.2834,0.035306543
30,216.84,83,180.73,22622.71,22622.71,100,1703124.365,1703124.365,0.192453053
31,228.48,62,106.23,17289.86,17289.86,100,787926.4569,787926.4569,0.08903569
32,170.91,40,86.13,10735.64,8535.63,79.50741642,308304.9766,245125.3216,0.027699161
33,198.56,64,114.09,16523.68,16523.68,100,759133.1219,759133.1219,0.085782043
34,187.88,56,85.53,12265.57,12265.57,100,471178.7253,471178.7253,0.053243196
35,188.74,58,102,14281.47,14281.47,100,584642.9788,584642.9788,0.066064657
36,160.63,45,114.24,11545.34,11545.34,100,432370.4352,432370.4352,0.048857859
37,135.18,40,111.69,10211.15,10211.15,100,316217.0966,316217.0966,0.035732532
38,185.42,48,137.35,17328.39,17328.39,100,640066.504,640066.504,0.072327515
39,222.89,48,130.11,17353.63,17353.63,100,728854.9722,728854.9722,0.082360612
40,201.41,60,144.16,18304.67,18304.67,100,912169.7712,912169.7712,0.103075184
41,161.15,36,94.9,10469.51,10469.51,100,288268.8034,288268.8034,0.032574375
