"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"eadvenum",1,70,184.33,92.17,26686.42,26686.42,100,1245342.21,1245342.21,0.14072367
"eadvenum",2,62,161.28,80.64,20429.09,5442.27,26.63980628,844406.0599,224948.1386,0.02541914
"eadvenum",3,70,200.01,100.08,31419.69,5443.64,17.32556878,1466223.183,254031.506,0.02870556
"eadvenum",4,68,187.88,93.94,27724.06,3891.55,14.03672478,1256807.137,176414.5588,0.019934845
"eadvenum",5,116,253.29,126.64,50386.36,32744.15,64.98613911,3896661.67,2532289.974,0.286148767
"eadvenum",6,85,235.93,117.96,43717.12,20245.2,46.30954647,2477330.123,1147240.344,0.129638159
"eadvenum",7,63,153.05,76.53,18398.22,18398.22,100,772690.9749,772690.9749,0.08731408
"eadvenum",8,32,111.12,55.56,9697.11,4329.78,44.65021022,206886.9352,92375.4515,0.010438426
"eadvenum",9,62,152.92,76.46,18367.02,7447.2,40.5465884,759134.7823,307803.2556,0.034781768
"eadvenum",10,54,123.99,62,12075.12,2404.94,19.91648944,434676.0403,86572.20768,0.009782659
"eadvenum",11,80,165.05,82.52,21394.31,2841.77,13.28283081,1141089.389,151568.9729,0.017127294
"eadvenum",12,62,169.03,84.52,22440.53,7656.32,34.11826726,927508.4925,316449.8263,0.03575883
"eadvenum",13,42,138.94,69.47,15161.45,8584.19,56.61852923,424524.2485,240359.3857,0.027160611
"eadvenum",14,40,129.88,64.94,13249.31,7369.33,55.62048137,353299.6227,196506.9508,0.022205285
"eadvenum",15,64,131.35,65.68,13550.89,6771.51,49.97096132,578147.6312,288905.9292,0.03264637
"eadvenum",16,60,165.46,82.73,21502.49,9500.38,44.18269698,860074.1853,380003.9711,0.042940449
"eadvenum",17,64,155.23,77.62,18925.99,11419.27,60.33644739,807476.5361,487202.6554,0.0550539
"eadvenum",18,132,282.42,141.21,62643.99,38805.45,61.94600631,5512688.475,3414890.351,0.38588261
"eadvenum",19,60,191.29,95.65,28740.11,24448.03,85.06588875,1149567.315,977889.6529,0.110501531
"eadvenum",20,30,108.55,54.27,9254.21,9254.21,100,185088.5413,185088.5413,0.020915005
"esagrum",1,146,248.69,124.34,48573.73,48573.73,100,4727898.26502873,4727898.26502873,0.534252503948247
"esagrum",2,78,140.74,70.37,15557.44,4226.63,27.1679016599132,808962.3665818,219778.10021865,0.0248349253247074
