"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,34,103.63,51.82,8434.68,8434.68,100,163994.2073,163994.2073,0.018531345
2,26,77.18,38.59,4678.75,4678.75,100,70022.26322,70022.26322,0.007912516
3,42,136.88,68.44,14715.32,14715.32,100,347814.2226,347814.2226,0.039303007
4,32,103.65,51.82,8437.19,8437.19,100,152135.808,152135.808,0.017191346
5,30,77.73,38.86,4745.32,4745.32,100,85298.9341,85298.9341,0.00963878
6,53,149.46,74.73,17544.7,17544.7,100,542879.8247,542879.8247,0.06134542
7,50,127.29,63.64,12725.05,3240.81,25.46795494,383539.9988,97679.79406,0.011037817
8,46,152.99,76.49,18381.94,5686.79,30.93683257,473718.334,146553.4478,0.01656054
9,28,91.34,45.67,6552.23,6552.23,100,103230.0682,103230.0682,0.011664998
10,29,96.72,48.36,7347.65,3662.5,49.84586909,119304.5965,59468.41299,0.006719931
11,42,119.65,59.83,11244.04,5895.5,52.43222187,274952.8391,144163.8826,0.016290519
12,39,88.18,44.09,6106.53,6106.53,100,150146.4454,150146.4454,0.016966548
13,20,71.63,35.81,4029.68,4029.68,100,44475.19524,44475.19524,0.005025697
14,32,96.46,48.23,7307.55,7307.55,100,134081.4772,134081.4772,0.015151207
15,30,102.53,51.26,8256.06,4319.14,52.31478453,137959.3155,72173.11863,0.008155562
16,44,126.86,63.43,12640.04,12640.04,100,322677.2576,322677.2576,0.03646253
17,36,102.58,51.29,8264.45,8264.45,100,173189.5747,173189.5747,0.019570422
18,35,107.53,53.76,9081.1,2623.36,28.88813029,181342.9109,52386.57639,0.005919683
19,40,121.51,60.75,11595.63,6280.72,54.16454302,265395.2024,143750.0986,0.016243761
20,42,109.64,54.82,9440.94,9440.94,100,237057.9228,237057.9228,0.026787545
21,40,124.13,62.07,12101.87,12101.87,100,275581.6532,275581.6532,0.031140727
22,35,104.03,52.01,8499.39,5494.7,64.64816887,171166.6444,110656.1013,0.012504139
23,34,86.47,43.23,5871.88,4130.31,70.34050423,120388.4254,84681.82543,0.009569046
24,40,98.4,49.2,7604.11,4821.39,63.40505332,185603.6185,117682.0733,0.013298074
25,38,91.69,45.85,6603.6,6603.6,100,154213.1205,154213.1205,0.017426083
26,40,100.7,50.35,7964.59,5701.1,71.58058356,192796.7661,138005.0503,0.015594571
27,45,117.55,58.78,10853.08,10853.08,100,291938.746,291938.746,0.032989078
28,20,81.22,40.61,5180.7,5180.7,100,55999.05975,55999.05975,0.006327894
29,39,73.74,36.87,4271.22,3143.85,73.60543358,114337.4464,84158.57317,0.009509919
30,42,108.17,54.09,9189.86,5590.54,60.83378855,231812.7501,141020.4782,0.015935314
