"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,327.41,150,298.15,73745.4,41989.07,56.93788358,7666844.147,4365338.795,0.493283284
2,350.17,140,279.9,74967.76,74967.76,100,7184697.584,7184697.584,0.811870827
3,146.88,70,125.12,14563.44,7362.47,50.55447065,673575.1585,340522.3558,0.038479026
4,139.02,80,128.14,13049.09,13049.09,100,746192.0422,746192.0422,0.084319701
5,345.35,156,313.88,75975.08,49237.02,64.80680244,8854138.783,5738084.229,0.648403518
6,201.28,98,147.03,22728.69,15044.55,66.19189227,1518557.633,1005162.032,0.11358331
7,385.5,150,348.99,108123.98,108123.98,100,10566404.85,10566404.85,1.194003748
8,432.05,210,369.61,126375.09,74671.07,59.08685802,17558832.64,10374962.51,1.172370764
9,421.12,206,369.66,111897.96,65304.52,58.36077798,16790907.51,9799304.255,1.107321381
10,724.59,290,599.65,300292.49,158916.63,52.92061417,65976123.48,34914969.75,3.945391581
11,261.68,127,222.84,46529.01,18875.24,40.56660565,3877626.942,1573021.63,0.177751444
12,400.3,220,397.53,113700.64,25864.33,22.74774355,18330605.12,4169799.045,0.471187292
13,236.27,130,268.92,47544.96,21140.54,44.46431336,4324875.984,1923026.41,0.217301984
14,152.77,82,126.48,15127.46,12512.7,82.71514187,829607.0047,686210.6109,0.077541799
15,190.55,110,188.74,26191.14,12458.03,47.56581806,2071401.142,985278.8985,0.111336516
16,438.02,200,366.92,126228.42,126228.42,100,16830380.85,16830380.85,1.901833036
