genus,model
ammonia,10hl
amphistegina,5hl
angulogerina,12v
archaias,3hl
articulina,14hl
asterotrochammina,6fs
astrononion,10hl
bolivina,13hlsl
buliminella,10hl
cancris,10hl
caronia,11fs
cassidulina,10hl
cibicides,2sl
cibicidoides,2sl
cornuspira,8hl
cribroelphidium,3hl
cymbaloporetta,7fs
deuterammina,6fs
disconorbis,7fs
discorbia,7fs
discorbinella,7fs
discorbis,7fs
discorbitina,7fs
edentostomina,10hl
elphidium,3hl
eoeponidella,7fs
eponides,10hl
fissurina,10hl
fursenkoina,10hl
glabratella,7fs
globocassidulina,10hl
hanzawaia,7fs
hauerina,10hl
heronallenia,7fs
heterostegina,3hl
laevipeneroplis,3hl
lepidodeuterammina,6fs
loxostomina,14hl
miliolinella,10hl
mullinoides,7fs
mychostomina,7fs
neoconorbina,7fs
nonionella,15hl
nonioninoides,15hl
pararotalia,10hl
paratrochammina,6fs
patellina,4hl
planispirillina,8hl
planorbulina,7fs
planulina,7fs
pyrgo,1hl
quinqueloculina,17fs
rectocibicides,axh
remaneicella,6fs
reophax,11fs
rosalina,10hl
rotaliammina,6fs
rotorbinella,7fs
rotorbis,4hl
sahulia,11fs
sigmavirgulina,13hlsl
siphonina,3hl
sorites,axh
spirillina,8hl
spiroloculina,10hl
spirorbina,7fs
tetrataxiella,11fs
textularia,11fs
triloculina,17fs
triloculinella,3hl
trochammina,7fs
webbinella,axh
wiesnerella,axh
