"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"gglobigeriniformis",1,117,173.66,86.83,23684.73,10748.46,45.3813913,2224226.427,1009384.898,0.114060493
"gglobigeriniformis",2,78,125.19,62.59,12309.05,12309.05,100,728456.2183,728456.2183,0.082315553
"gglobigeriniformis",3,130,196.3,98.15,30263.94,10221.27,33.77375847,3117525.318,1052905.471,0.118978318
"gglobigeriniformis",4,113,150.79,75.39,17857.68,17857.68,100,1764347.265,1764347.265,0.199371241
"gglobigeriniformis",5,95,126.73,63.37,12614.29,12614.29,100,1048174.438,1048174.438,0.118443712
"gglobigeriniformis",6,63,102,51,8171.26,8171.26,100,388319.7016,388319.7016,0.043880126
"gglobigeriniformis",7,97,164.08,82.04,21145.82,21145.82,100,1503391.585,1503391.585,0.169883249
"gglobigeriniformis",8,69,107.26,53.63,9035.69,9035.69,100,483741.1898,483741.1898,0.054662754
"gglobigeriniformis",9,79,120.74,60.37,11449.57,7086.32,61.89158195,710415.8057,439687.5806,0.049684697
"gglobigeriniformis",10,100,169.46,84.73,22555.3,15249.19,67.60801231,1651300.618,1116411.525,0.126154502
"gglobigeriniformis",11,127,189.61,94.8,28235.43,6327.4,22.40943382,2865365.628,642112.214,0.07255868
"gglobigeriniformis",12,70,121.64,60.82,11620.88,11620.88,100,586328.6338,586328.6338,0.066255136
"gglobigeriniformis",13,76,126.78,63.39,12624.33,12624.33,100,709553.1,709553.1,0.0801795
"gglobigeriniformis",14,108,151.56,75.78,18041.69,18041.69,100,1633794.225,1633794.225,0.184618747
"gglobigeriniformis",15,130,181.46,90.73,25862.68,19786.17,76.50471645,2831336.205,2166105.736,0.244769948
"gglobigeriniformis",16,115,179.67,89.84,25353.6,25353.9,100.0011833,2254327.214,2254353.888,0.254741989
"gglobigeriniformis",17,118,159.21,79.61,19908.21,19908.21,100,2035017.035,2035017.035,0.229956925
"gglobigeriniformis",18,100,155.41,77.7,18967.96,18967.96,100,1471934.071,1471934.071,0.16632855
"gglobigeriniformis",19,77,141.9,70.5,15814.4,4606.53,29.12870548,840198.4041,244738.9186,0.027655498
"gglobigeriniformis",20,124,174.03,87.02,23787.39,23787.39,100,2473264.217,2473264.217,0.279478857
"gglobigeriniformis",21,72,129.13,64.57,13096.65,8565.46,65.40191576,666967.2091,436209.3322,0.049291655
"gglobigeriniformis",22,123,175.32,87.66,24142.19,10387.18,43.0250114,2459010.805,1057989.679,0.119552834
"gglobigeriniformis",23,129,187.74,93.87,27681,9967.83,36.00964561,2909517.581,1047706.97,0.118390888
"gglobigeriniformis",24,70,125.81,62.91,12432.01,12432.01,100,614762.7161,614762.7161,0.069468187
"gcarinata",1,39,106.38,53.19,8887.49,8887.49,100,115545.545084221,115545.545084221,0.013056646594517
"gcarinata",2,29,105.96,52.98,8818.55,8818.55,100,85241.3901712003,85241.3901712003,0.00963227708934563
"gcarinata",3,34,98.52,49.26,7622.84,4933.27,64.7169558852082,86396.5399670684,55913.2106568339,0.00631819280422223
"gcarinata",4,54,124.32,62.16,12139.1,12139.1,100,218496.452130059,218496.452130059,0.0246900990906967
"gcarinata",5,42,100.08,50.04,7866.53,7866.53,100,110131.742450299,110131.742450299,0.0124448868968838
"gcarinata",6,32,99.99,49.99,7852.32,7852.32,100,83759.0497836034,83759.0497836034,0.00946477262554718
