"species","ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
"gcrassa",1,114.54,44,108.35,9289.47,9289.47,100,285915.2981,285915.2981,0.032308429
"gcrassa",2,92.03,60,84.17,5989.76,5989.76,100,243352.9537,243352.9537,0.027498884
"gcrassa",3,105.93,48,96.26,7755.6,7755.6,100,256274.0837,256274.0837,0.028958971
"gcrassa",4,111.52,52,99.88,8153.22,8153.22,100,303272.66,303272.66,0.034269811
"gcrassa",5,113.6,66,95.45,7971.75,7971.75,100,374711.3275,374711.3275,0.04234238
"gcrassa",6,119.08,54,102,8551.5,8551.5,100,343424.5833,343424.5833,0.038806978
"gcrassa",7,121.34,52,106.23,8979.44,8979.44,100,350956.377,350956.377,0.039658071
"gcrassa",8,95.8,63,80.09,5714.81,3475.79,60.8207447,253094.6556,153934.0543,0.017394548
"gcrassa",9,97.77,56,81.3,5705.27,4160.06,72.91609337,233068.0863,169944.1434,0.019203688
"gcrassa",10,137.06,64,116.51,11827.67,6483.99,54.82051833,535121.655,293356.4649,0.033149281
"gcrassa",11,105.63,70,91.12,6989.16,6989.16,100,352774.8804,352774.8804,0.039863561
"gcrassa",12,132.37,90,126.93,12572.36,4075.86,32.41921167,791762.5951,256683.1916,0.029005201
"gcrassa",13,131.11,77,131.11,12647.2,12647.12,99.99936745,693044.2782,693039.8943,0.078313508
"gcrassa",14,101.4,60,86.13,6707.2,6707.2,100,274373.5705,274373.5705,0.031004213
"gcrassa",15,120.28,63,109.4,9654.72,9654.72,100,434060.1471,434060.1471,0.049048797
"gcrassa",16,136.15,64,117.26,12013.84,9773.94,81.35566979,534990.576,435245.1664,0.049182704
"gcrassa",17,133.73,64,115.45,11279.37,11279.37,100,517370.1619,517370.1619,0.058462828
"gcrassa",18,150.81,94,125.27,14636.89,14636.89,100,929830.298,929830.298,0.105070824
"gcrassa",19,110.46,56,88.55,7461.45,7461.45,100,286800.7309,286800.7309,0.032408483
"gcrassa",20,92.78,59,74.5,5447.83,5447.83,100,213531.1677,213531.1677,0.024129022
"gcarinata",1,168.09,68,157.29,20198.65,20198.65,100,941348.694605463,941348.694605463,0.106372402490417
"gcarinata",2,145.97,72.5,142.95,15746.65,15746.65,100,792107.994761872,792107.994761872,0.0895082034080915
"gcarinata",3,128.44,48,112.12,10614.99,10614.99,100,361928.885703926,361928.885703926,0.0408979640845436
"gcarinata",4,108.95,48,107.89,8795.46,6755.49,76.8065570191895,295425.709643156,226906.316126416,0.025640413722285
"gcarinata",5,139.32,54,109.56,11852.77,11852.77,100,431576.582383048,431576.582383048,0.0487681538092845
"gcarinata",6,132.98,66,111.67,11102.2,3603.35,32.4561798562447,513174.895633031,166556.967103753,0.0188209372827241
"gcarinata",7,122.7,50,119.53,10945.41,3372.23,30.8095356866486,383963.647756104,118297.417079174,0.0133676081299467
"gcarinata",8,154.74,72,129.96,15110.82,2523.36,16.6990275842079,758129.531334043,126600.259561498,0.0143058293304492
"gcarinata",9,122.7,69,106.84,10078.34,4720.41,46.837177551065,473615.770553349,221828.259363916,0.0250665933081225
"gcarinata",10,94.69,66,83.35,5579.32,4380.54,78.5138690736506,272742.161898196,214140.423901394,0.0241978679008575
"gcarinata",11,103.21,48,92.78,7175.28,7175.28,100,240666.701648627,240666.701648627,0.0271953372862948
"gcarinata",12,136.91,60,117.26,11863.09,11863.09,100,504353.376973868,504353.376973868,0.056991931598047
