"species","ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
"hpacifica",1,140.53,54,130.71,14800.49,9556.18,64.5666461,519362.0868,335334.6806,0.037892819
"hpacifica",2,190.85,78,142.35,19592.25,19592.25,100,1109539.737,1109539.737,0.12537799
"hpacifica",3,268.45,118,242.1,46830.1,20091.32,42.90257762,4015492.577,1722749.82,0.19467073
"hpacifica",4,177.86,60,141.44,18202.08,18202.08,100,790315.3341,790315.3341,0.089305633
"hpacifica",5,223.95,116,207.63,34769.15,27770.63,79.87146652,2824215.176,2255742.078,0.254898855
"hpacifica",6,253.11,96,236.64,45535.66,45535.66,100,3010698.844,3010698.844,0.340208969
"hpacifica",7,106.23,40,79.64,6253.3,6253.3,100,177189.1181,177189.1181,0.02002237
"hpacifica",8,222.74,104,177.25,30117.69,25039.88,83.14010802,2149890.897,1787421.614,0.201978642
"hpacifica",9,157.76,83,138.42,17427.75,12564.57,72.09519301,949013.646,684193.2198,0.077313834
"hpacifica",10,177.86,84,151.11,20586.58,20586.58,100,1182086.893,1182086.893,0.133575819
"hpacifica",11,195.03,96,176.14,26442.55,11608.59,43.90117443,1726749.219,758063.1865,0.08566114
"hpacifica",12,146.58,64,116.51,12439.13,12439.13,100,572290.4727,572290.4727,0.064668823
"hpacifica",13,129.5,74,117.26,11699.67,11699.67,100,588369.2951,588369.2951,0.06648573
"hpacifica",14,113.64,55,90.97,7976.38,7976.38,100,297708.1552,297708.1552,0.033641022
"hpacifica",15,261.89,147,223.88,46213.53,46213.53,100,4512842.44,4512842.44,0.509951196
"hpacifica",16,149,68,120.28,13877.7,13877.7,100,638097.7642,638097.7642,0.072105047
"hpacifica",17,103.21,54,78.12,6062.49,3636.62,59.98558348,227969.3153,136748.7239,0.015452606
"hpacifica",18,339.14,125,303.89,77804.08,45900.38,58.99482392,6745343.341,3979403.427,0.449672587
"hpacifica",19,216.01,110,169.14,27793.47,27793.47,100,2104318.584,2104318.584,0.237788
"hpacifica",20,218.66,97,163.05,26470.73,26470.73,100,1810758.379,1810758.379,0.204615697
"hpacifica",21,153.38,86,130.11,14214.72,14214.72,100,898620.8354,898620.8354,0.101544154
"hpacifica",22,185.11,92,148.39,20203.68,20203.68,100,1323186.208,1323186.208,0.149520041
"hpacifica",23,247.65,86,172.09,32126.53,32126.53,100,1919070.991,1919070.991,0.216855022
"hpacifica",24,262.3,167,218.26,44541.18,44541.18,100,5005961.843,5005961.843,0.565673688
"hpacifica",25,106.23,45,83.11,6639.72,6639.72,100,208023.1172,208023.1172,0.023506612
"hpacifica",26,120.44,71,100.19,9362.86,9362.86,100,448592.589,448592.589,0.050690963
"hpacifica",27,136.76,58,86.74,8513.39,8513.39,100,360250.9426,360250.9426,0.040708357
"hpacifica",28,181.48,80,120.89,14533.99,14533.99,100,918983.5924,918983.5924,0.103845146
"hpacifica",29,167.28,60,109.25,12837.94,12837.94,100,574136.7389,574136.7389,0.064877451
"hatlantica",1,246.46,72,216.84,42073.6,42073.6,100,2014730.50231763,2014730.50231763,0.227664546761893
"hatlantica",2,136.6,64,128.14,13573.44,5483.32,40.3974232029611,586562.123248792,236955.983277089,0.026776026110311
"hatlantica",3,248.82,80,217.3,41594.68,41594.68,100,2264819.63453023,2264819.63453023,0.255924618701916
"hatlantica",4,232.71,79,202.79,36361.77,28579.76,78.5983740615487,1952033.62792309,1534266.69268221,0.17337213627309
"hatlantica",5,218.88,88,169.41,29416.15,29416.15,100,1708544.98109115,1708544.98109115,0.1930655828633
