"species","ind","altura","d1","ar","arp","prot","volume","biov","biomassa","d2"
"lproteus",1,126,347.6,94894.05,45689.95,48.14838233,7971291.721,3838048.014,0.433699426,NA
"lproteus",2,232,527.44,218494.77,218494.77,100,33793465.66,33793465.66,3.818661619,NA
"lproteus",3,107,293.82,67802.77,67802.5,99.99960179,4836654.986,4836635.725,0.546539837,NA
"lproteus",4,108,232.77,42555.12,31210.96,73.34243212,3063912.73,2247148.114,0.253927737,NA
"lproteus",5,108,272.25,58212.4,58212.4,100,4191390.79,4191390.79,0.473627159,NA
"lproteus",6,132,275.32,59532.77,59532.77,100,5238996.102,5238996.102,0.59200656,NA
"lproteus",7,60,143.78,16236.93,16236.93,100,649451.6602,649451.6602,0.073388038,NA
"lproteus",8,145,311.67,76293.32,76293.32,100,7374908.333,7374908.333,0.833364642,NA
"lproteus",9,112,236.07,43769.33,23118.01,52.81782929,3268121.884,1726151.038,0.195055067,NA
"lproteus",10,140,271.46,57875.64,24911.19,43.04261689,5401798.097,2325075.26,0.262733504,NA
"lproteus",11,353,624.2,306012.45,123640.82,40.40385285,72014650.35,29096693.36,3.287926349,NA
"lproteus",12,52,123.02,11885.73,5783.64,48.66036836,412053.314,200506.6604,0.022657253,NA
"lproteus",13,116,271.73,57992.99,45597.55,78.62596841,4484683.401,3526125.754,0.39845221,NA
"lproteus",14,88,182.59,26184.83,12561.17,47.97117262,1536155.824,736911.9621,0.083271052,NA
"lproteus",15,120,245.79,47448.87,24145.16,50.8866913,3795843.405,1931579.115,0.21826844,NA
"lproteus",16,110,264.96,55136.23,14784.98,26.8153626,4043448.702,1084265.431,0.122521994,NA
"lproteus",18,88,222.43,38855.94,9981.91,25.68953421,2279649.183,585631.2568,0.066176332,NA
"lproteus",19,157,423.96,141170.93,46737,33.1066743,14775699.22,4891742.615,0.552766915,NA
"lproteus",20,136,277.62,60532.58,19436.31,32.10884122,5488315.011,1762234.353,0.199132482,NA
"lproteus",21,58,142.71,15995.9,7643.78,47.78587013,618493.9107,295552.6969,0.033397455,NA
"lproteus",22,120,259.36,52833.22,31242.06,59.13336344,4226548.563,2499300.323,0.282420936,NA
"lproteus",23,315,502.49,198307,198307,100,41645110.89,41645110.89,4.70589753,NA
"lproteus",24,173,330.78,85935.81,85935.81,100,9911130.881,9911130.881,1.11995779,NA
"lproteus",25,120,280.2,61665.41,30482.46,49.43202356,4933056.962,2438509.88,0.275551616,NA
"lproteus",26,127,213.47,35790.16,16714.7,46.70194266,3030233.14,1415177.743,0.159915085,NA
"lproteus",27,200,417.18,136687.46,136687.46,100,18225337.42,18225337.42,2.059463129,NA
"lproteus",28,40,106.01,8827.08,8827.08,100,235370.637,235370.637,0.026596882,NA
"lproteus",29,140,281.85,62390.48,12882.87,20.64877526,5823213.81,1202422.333,0.135873724,NA
"lproteus",30,95,195.98,30157.34,30157.34,100,1910494.247,1910494.247,0.21588585,NA
