"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,24,112.88,56.44,10007.66,6690.31,66.8518914511484,60044.7627676256,40141.0596275126,0.00453593973790893
2,14,142.05,71.02,15847.83,15847.83,100,31691.3838971768,31691.3838971768,0.00358112638038098
3,16,112.93,56.47,10016.91,10016.91,100,40072.4079122713,40072.4079122713,0.00452818209408666
4,20,140.23,70.12,15444.45,15444.45,100,61786.5120004857,61786.5120004857,0.00698187585605488
5,16,116.96,58.48,10744.61,10744.61,100,53719.826949891,53719.826949891,0.00607034044533768
6,26,122.06,61.03,11700.65,11700.65,100,93610.9385766483,93610.9385766482,0.0105780360591613
7,28,126.2,63.1,12508.19,12508.19,100,75051.5803625577,75051.5803625577,0.00848082858096902
8,20,81.08,40.54,5162.55,5162.55,100,25815.9056873535,25815.9056873535,0.00291719734267095
9,28,125.15,62.57,12301.23,12301.23,100,104544.480390819,104544.480390819,0.0118135262841626
10,29,101.95,50.98,8163.66,8163.66,100,65318.9992054152,65318.9992054152,0.00738104691021192
11,23,122.7,61.35,11825.11,11825.11,100,70946.3827017595,70946.3827017595,0.00801694124529882
12,27,120.62,60.31,11426.97,11426.97,100,85701.7703113714,85701.7703113714,0.00968430004518497
13,24,133.06,66.53,13904.98,13904.98,100,69527.2294813717,69527.2294813717,0.00785657693139501
