"ind","d1","altura","d2","ar","arp","prot","volume","biov","biomassa"
1,189.49,48,127.99,18308.86,8753.7,47.81127826,914309.9661,437143.282,0.049397191
2,132.37,30,95.35,8763.19,3157.94,36.03642053,297386.6046,107167.4874,0.012109926
3,138.42,37.5,91.57,9480.34,6599.56,69.61311514,373313.0812,259874.8651,0.02936586
4,305.54,69.5,261.17,48758.09,21316.33,43.71855009,4355781.132,1904284.356,0.215184132
5,280.76,48,159.87,27148.72,9677.5,35.64624778,1692128.45,603180.3002,0.068159374
6,247.07,52,154.74,26216.74,5498.52,20.97331705,1561405.96,327478.6224,0.037005084
7,228.18,42.5,125.72,21573.08,5340.83,24.75691927,957548.4544,237059.4978,0.026787723
8,124.97,28,103.81,9414.52,5300.13,56.29740019,285294.1547,160613.192,0.018149291
9,374.93,48,187.35,47785.62,30747.32,64.34429437,2648103.822,1703903.718,0.19254112
10,181.14,45,168.44,22437.6,12548.32,55.92541092,1078355.583,603074.7912,0.068147451
11,178.03,48,135.86,18374.53,8951.97,48.71945024,911834.2918,444240.6541,0.050199194
12,154.79,42,147.12,15147.45,15147.45,100,751196.9022,751196.9022,0.08488525
13,294.43,45,127.47,28327.51,16674.34,58.86270978,1326454.752,780787.2111,0.088228955
15,237.4,40,155.34,23110.15,10755.01,46.53803632,1158547.617,539165.3107,0.06092568
16,101.4,30.5,89.76,6635.75,6635.75,100,218027.1208,218027.1208,0.024637065
17,172.42,37.5,114.09,13913.3,1374.74,9.880761573,579370.489,57246.21664,0.006468822
18,253.26,35.5,127.24,21520.91,8015.1,37.2433136,898480.1722,334623.7881,0.037812488
19,534.59,62,184.73,76089.27,23792.45,31.26912638,4808834.512,1503680.541,0.169915901
20,416.45,76.5,214.54,60900.64,40073.35,65.80119683,5368123.012,3532289.19,0.399148678
21,316.89,57,164.4,38439,11317.06,29.44160878,2332249.909,686651.8941,0.077591664
22,237.09,60.5,117.87,19962.8,3202.41,16.04188791,1327889.009,213018.4664,0.024071087
23,353.4,68,176.39,46016.96,46016.96,100,3329195.505,3329195.505,0.376199092
24,236.34,64.5,128.29,21678.66,12649.37,58.34940905,1535959.033,896223.019,0.101273201
25,277.87,60,172.95,33885.51,23061.53,68.05720203,2264661.824,1541265.473,0.174162998
26,227.27,51.5,152.62,24349.8,24349.88,100.0003285,1402977.388,1402981.998,0.158536966
27,259.61,44,143.4,25084.54,21340.88,85.07582758,1286509.882,1094508.929,0.123679509
28,428.62,55,213.81,57674.51,38937.32,67.51218172,3958703.877,2672607.355,0.302004631
29,295.79,80,163.68,33677.23,33677.23,100,3041998.336,3041998.336,0.343745812
30,165.46,35,112.31,13748.55,13748.55,100,510821.7411,510821.7411,0.057722857
31,248.58,50,186.92,28595.87,8280.16,28.95578977,1824659.539,528344.58,0.059702938
