"species","ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
"msubrortunda",1,234.37,144,181.79,30533.31,16663.82,54.5758714007751,3212425.93999453,1753209.44985656,0.198112667833791
"msubrortunda",2,155.95,64,149.9,18025.06,7743.81,42.9613549136591,783367.605560063,336545.337303292,0.0380296231152719
"msubrortunda",3,111.07,48,110.61,8914.49,3814.75,42.7926892060006,308767.103627076,132129.747025504,0.014930661413882
"msubrortunda",4,216.69,112,206.42,33770.86,18749.46,55.5196403052809,2623054.34405178,1456310.3368296,0.164563068061745
"msubrortunda",5,132.98,52,127.99,13309.42,13309.42,100,463408.860846451,463408.860846451,0.052365201275649
"msubrortunda",6,243.89,108,208.93,38337.2,26821.13,69.9611082708179,2881490.39200803,2015922.61296595,0.227799255265153
"msubrortunda",7,197.2,78,191.91,28111.76,16743.08,59.5589888359889,1545602.24931302,920545.071117137,0.104021593036237
"msubrortunda",8,124.36,62,106.84,10136.24,10136.24,100,431325.271725889,431325.271725889,0.0487397557050255
"msubrortunda",9,177.86,75,171.06,23280.9,16214.04,69.645245673492,1194776.41618102,832104.970298215,0.0940278616436983
"msubrortunda",10,155.95,70,149.9,17657.46,17657.46,100,856808.318581319,856808.318581319,0.096819339999689
"msubrortunda",11,207.32,120,205.96,33575.57,33575.57,100,2682896.70280117,2682896.70280117,0.303167327416533
"msubrortunda",12,260.83,113,258.8,51055.88,51055.88,100,3993915.56471677,3993915.56471677,0.451312458812995
"msubrortunda",13,189.8,74,167.28,23835.62,23835.62,100,1230185.40437363,1230185.40437363,0.13901095069422
"mdilatata",1,121.95,48,92.18,8936.62,6556.55,73.3672238497329,282525.965781084,207281.457748228,0.0234228047255498
"mdilatata",2,130.41,53,95.96,8997.71,6122.64,68.0466474247336,347276.684176273,236310.140869734,0.02670304591828
"mdilatata",3,132.22,56,96.56,9449.21,3559.32,37.6679108623896,374352.777134365,141010.870401853,0.0159342283554093
"mdilatata",4,139.63,80,118.32,12470.77,2427.89,19.4686454805918,692030.934601804,134729.049273651,0.0152243825679226
"mdilatata",5,170.91,66,136.76,17776.14,17776.14,100,807735.413800869,807735.413800869,0.0912741017594982
"mlutea",1,131.01,72,103.21,10261.68,4010.48,39.0820996172167,509750.127985341,199221.05281812,0.0225119789684476
"mlutea",2,202.04,60,174.23,24524.95,3340.49,13.6207821014926,1105885.51385021,150630.256133509,0.0170212189430865
"mlutea",3,160.33,64,124.36,14897.16,14897.16,100,668150.199304953,668150.199304953,0.0755009725214597
"mlutea",4,151.26,64,108.65,12530.31,12530.31,100,550721.996493919,550721.996493919,0.0622315856038129
"mlutea",5,158.82,69,113.48,13492.81,7591.3,56.2618164785541,651136.786582212,366341.383891239,0.04139657637971
"mlutea",6,152.77,55,104.42,12334.37,12334.37,100,459391.631235717,459391.631235717,0.051911254329636
"mlutea",7,204,83,158.06,24279.84,13307.85,54.8102870529625,1401292.70066308,768052.551685644,0.0867899383404778
"mlabiosa",1,194.63,79,152.32,21967.28,14720.78,67.0123019326926,1226287.85572472,821763.720442193,0.0928593004099678
"mlabiosa",2,131.24,70,126.78,12813.47,12813.47,100,609836.805110301,609836.805110301,0.068911558977464
"mlabiosa",3,130.71,52,95.35,9144.68,9144.68,100,339337.204725513,339337.204725513,0.038345104133983
"mlabiosa",4,172.77,82,164.86,20751.58,20751.58,100,1222914.525583,1222914.525583,0.138189341390878
"mlabiosa",5,132.52,56,97.16,9190.21,9190.21,100,377533.576864687,377533.576864687,0.0426612941857097
"mlabiosa",6,160.37,50,125.56,13994.36,13994.36,100,527160.744833699,527160.744833699,0.0595691641662079
"mlabiosa",7,196.72,95,146.87,21666.9,21666.9,100,1437155.75476114,1437155.75476114,0.162398600288009
