"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,10,93.03,46.52,6797.86,6797.86,100,34517.36545,34517.36545,0.003900462
2,6,58.39,29.2,2677.94,2677.94,100,8149.040017,8149.040017,0.000920842
3,12,94.93,47.47,7078.21,7078.21,100,43380.38497,43380.38497,0.004901984
4,18,84.53,46.26,5611.75,5611.75,100,63560.35197,63560.35197,0.00718232
5,20,85.25,42.63,5707.96,5707.96,100,61281.48444,61281.48444,0.006924808
6,14,78.39,39.2,4826.46,4826.46,100,35229.23359,35229.23359,0.003980903
7,36,129.86,64.93,13245.07,6846.34,51.68972304,262832.83,135857.5619,0.015351904
8,38,114.12,57.06,10229.4,8280.65,80.94951806,223073.0644,180576.5706,0.020405152
9,20,123.74,61.87,12026.12,12026.12,100,124445.718,124445.718,0.014062366
10,18,120.21,60.1,11348.85,11348.85,100,105180.8048,105180.8048,0.011885431
11,20,111.17,55.58,9706.29,5951.12,61.31199459,101236.8724,62070.34574,0.007013949
12,22,113.25,56.63,10073.66,5176.29,51.38440249,116399.7544,59811.31829,0.006758679
13,30,107.5,53.75,9075.94,9075.94,100,150281.0298,150281.0298,0.016981756
14,24,106.59,53.3,8923.64,8923.94,100.0033619,114337.2593,114341.1032,0.012920545
15,24,102.6,51.3,8267.32,6509.85,78.74196233,106450.6051,83821.29539,0.009471806
16,28,80.46,40.23,5085.07,3294.82,64.79399497,82677.3167,53569.93643,0.006053403
17,30,65.39,32.69,3358.22,3358.22,100,64495.45677,64495.45677,0.007287987
18,24,104.7,52.35,8608.79,2189.99,25.43899898,110553.4937,28123.70214,0.003177978
19,20,99.82,49.91,7826.28,7826.28,100,82446.11769,82446.11769,0.009316411
20,16,61.17,30.59,2938.99,2244.57,76.37215506,25662.57544,19599.06191,0.002214694
21,32,107.26,53.63,9036.12,5694.98,63.02461676,161729.7042,101929.5263,0.011518036
22,32,113.48,56.74,10114.4,4571.17,45.19467294,178983.3663,80890.947,0.009140677
23,22,75.19,37.6,4440.37,3050.63,68.7021577,54431.3181,37395.49,0.00422569
24,38,119.57,59.79,11228.91,6531.38,58.16575251,242114.2873,140827.5972,0.015913518
31,30,109.14,54.57,9355.93,7061.9,75.48047067,154466.6868,116592.1823,0.013174917
32,24,99.2,49.6,7728.15,7728.15,100,99984.07648,99984.07648,0.011298201
33,41,104.3,52.15,8543.59,8543.59,100,211237.8456,211237.8456,0.023869877
38,24,91.34,45.67,6552.23,6552.23,100,85869.11054,85869.11054,0.009703209
39,20,96.48,48.24,7310.35,3591.74,49.13225769,77296.71746,37977.62241,0.004291471
40,30,104.38,52.19,8556.85,2738.04,31.99822365,142493.0342,45595.23977,0.005152262
41,28,106.87,53.43,8969.48,4556.76,50.8029451,137053.1585,69627.04085,0.007867856
42,20,94.53,47.26,7017.74,3530.75,50.31178129,74356.50089,37410.0801,0.004227339
43,20,63.14,31.57,3131.32,3131.32,100,35499.94149,35499.94149,0.004011493
44,20,58.86,29.43,2720.62,2720.62,100,31398.90644,31398.90644,0.003548076
45,36,82.27,41.13,5315.78,5315.78,100,120091.0995,120091.0995,0.013570294
46,35,65.61,32.81,3381.18,1931.05,57.11171839,81632.7617,46621.87298,0.005268272
47,18,73.46,36.73,4237.79,4237.79,100,41198.33116,41198.33116,0.004655411
48,20,75.47,37.74,4473.59,4473.59,100,48934.73314,48934.73314,0.005529625
49,40,94.13,47.07,6959.2,1868.43,26.84834464,172719.6266,46372.3606,0.005240077
50,27,102.78,51.39,8297.38,4417.44,53.23897423,122311.8886,65117.59488,0.007358288
51,24,100.86,50.48,7990.06,7990.06,100,103304.2523,103304.2523,0.011673381
52,30,101.92,50.96,8159.21,3229.22,39.57760617,136514.2143,54029.05808,0.006105284
53,18,100.67,50.33,7959.07,7959.07,100,74675.59487,74675.59487,0.008438342
54,24,114.79,57.39,10348.77,7060.38,68.2243397,131404.4804,89649.83911,0.010130432
55,27,117.29,58.65,10805.44,4062.61,37.5978211,156194.0295,58725.55178,0.006635987
56,60,155.59,77.79,19012.07,19012.07,100,683417.4258,683417.4258,0.077226169
57,40,113.26,56.63,10075.09,10075.09,100,235009.3664,235009.3664,0.026556058
59,42,95.61,47.81,7180.15,7180.15,100,189594.2311,189594.2311,0.021424148
