"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,44,164.77,82.39,21323.44,21323.44,100,513762.8665,513762.8665,0.058055204
2,10,81.08,40.54,5163.69,5163.69,100,26339.50446,26339.50446,0.002976364
3,32,145.3,72.65,16581.05,16581.05,100,282459.6321,282459.6321,0.031917938
4,24,110.96,55.48,9670.78,9670.78,100,123277.2418,123277.2418,0.013930328
5,14,97.73,48.86,7500.95,7500.95,100,53936.21524,53936.21524,0.006094792
6,32,125.81,62.9,12430.64,12430.64,100,216028.1422,216028.1422,0.02441118
7,44,144.05,72.02,16296.87,2601.29,15.96189943,403093.6761,64341.40719,0.007270579
8,28,113.41,56.71,10102.54,10102.54,100,152942.168,152942.168,0.017282465
9,15,82.86,41.43,5392.98,5392.98,100,42209.92603,42209.92603,0.004769722
10,12,71.12,35.56,3973.05,3973.05,100,24740.2985,24740.2985,0.002795654
11,112,303.05,151.52,72128.8,44424.72,61.59082086,4774655.502,2940749.517,0.332304695
12,50,186.48,93.24,27312.04,27312.04,100,748251.2599,748251.2599,0.084552392
13,44,162.33,81.16,20695.02,20695.02,100,499859.2361,499859.2361,0.056484094
14,108,277.21,138.6,60352.27,55863.69,92.56269897,3918476.599,3627047.698,0.40985639
15,24,143.54,71.77,16182.78,16182.78,100,201423.825,201423.825,0.022760892
16,48,97.71,48.86,7498.44,7498.44,100,237903.9851,237903.9851,0.02688315
17,46,140.83,70.42,15577.31,15577.31,100,409283.9385,409283.9385,0.046249085
18,26,101.15,50.58,8036.33,8036.33,100,113687.033,113687.033,0.012846635
19,56,146.73,73.37,16910.47,16910.47,100,565479.5354,565479.5354,0.063899188
20,22,111.45,55.72,9755.36,9755.36,100,112866.6455,112866.6455,0.012753931
21,36,98.1,49.05,7558.92,7558.92,100,160479.6056,160479.6056,0.018134195
22,48,149.14,74.57,17469.16,17469.16,100,477171.5998,477171.5998,0.053920391
23,30,118.31,59.15,16993.32,10993.32,64.69200839,179010.5805,115805.5398,0.013086026
24,54,134.61,67.31,14231.74,14231.74,100,466750.111,466750.111,0.052742763
25,24,118.82,59.41,11088.23,11088.23,100,140299.0581,140299.0581,0.015853794
26,22,102.55,51.28,8259.86,8259.86,100,96449.05924,96449.05924,0.010898744
27,18,89.55,44.78,6298.86,3318.31,52.68112008,59750.69085,31477.33319,0.003556939
28,52,133.61,66.8,14020.62,14020.62,100,438104.2272,438104.2272,0.049505778
29,58,156.16,78.08,19152.68,19152.68,100,657588.0341,657588.0341,0.074307448
30,28,101.1,50.05,8027.22,8027.22,100,121669.8047,121669.8047,0.013748688
31,28,87.59,43.8,6026.04,6026.04,100,95871.43848,95871.43848,0.010833473
32,24,77.88,38.94,4763.62,4763.62,100,64402.28247,64402.28247,0.007277458
33,48,152.27,76.14,18211.42,18211.42,100,495011.9279,495011.9279,0.055936348
34,28,101.45,50.73,8084.12,8084.12,100,124683.9291,124683.9291,0.014089284
35,48,148.75,74.38,17378.77,17378.77,100,475037.7924,475037.7924,0.053679271
36,48,148.95,74.47,17424.03,17424.03,100,476047.8647,476047.8647,0.053793409
37,47,142.78,71.3,16011.97,16011.97,100,429677.3499,429677.3499,0.048553541
38,30,108.35,54.17,9219.99,9219.99,100,152416.9861,152416.9861,0.017223119
39,18,87.77,43.88,6050.08,6050.08,100,57494.56865,57494.56865,0.006496886
40,18,104.71,52.36,8611.94,5166.69,59.99449601,80569.6823,48337.37484,0.005462123
41,66,151.01,75.5,17909.12,17909.12,100,741492.05,741492.05,0.083788602
42,42,147.18,73.59,17013.13,17013.13,100,396070.7964,396070.7964,0.044756
43,60,158.1,79.05,19632.46,19632.46,100,702042.5212,702042.5212,0.079330805
44,22,75.46,37.73,4472.37,4472.37,100,54769.73643,54769.73643,0.00618898
45,40,189.57,94.79,28225.1,14359.71,50.87567449,598063.5756,304268.878,0.034382383
46,46,137.29,68.65,14804.49,6730.91,45.46532842,391497.687,177995.7092,0.020113515
47,40,136.63,68.31,14660.73,8207.78,55.98479748,326699.8394,182902.2434,0.020667954
48,42,138.16,69.08,14991.94,7909.79,52.76028319,353620.7303,186571.2987,0.021082557
49,52,153.9,76.95,18601.38,18601.38,100,557282.508,557282.508,0.062972923
50,88,276.63,138.32,60102.69,35503.59,59.07154904,3001494.122,1773029.072,0.200352285
51,47,145.31,72.66,16584.43,16584.43,100,444131.6971,444131.6971,0.050186882
52,42,145.82,72.91,16700.93,7299.79,43.70888328,389498.5217,170245.4542,0.019237736
53,28,110.64,55.32,9614.18,9614.18,100,146093.1699,146093.1699,0.016508528
54,32,130.27,65.13,13327.64,13327.64,100,230379.2842,230379.2842,0.026032859
55,32,139.34,69.67,15248.18,15248.18,100,261141.3574,261141.3574,0.029508973
56,48,162.54,81.27,20749.9,20749.9,100,555896.9963,555896.9963,0.062816361
57,24,89.89,44.94,6345.92,6345.92,100,83375.49148,83375.49148,0.009421431
58,24,73.14,36.57,4201.49,4201.49,100,57655.69842,57655.69842,0.006515094
59,28,123.31,61.85,11941.9,11941.9,100,179744.9095,179744.9095,0.020311175
60,50,149.79,74.89,17621.17,17621.17,100,505941.3573,505941.3573,0.057171373
61,56,151.66,75.83,18064.07,12223.42,67.66703185,597765.3564,404490.0741,0.045707378
62,24,84.58,42.2,5618.79,5618.79,100,74374.31582,74374.31582,0.008404298
63,30,134.31,67.15,14167.82,14167.82,100,226624.5588,226624.5588,0.025608575
64,36,112.1,56.05,9868.85,9868.85,100,202082.4605,202082.4605,0.022835318
65,35,57.66,57.66,10445.61,10445.61,100,205232.8852,205232.8852,0.023191316
66,30,81.55,40.77,5222.59,5222.59,100,92466.16201,92466.16201,0.010448676
67,18,59.67,29.83,2796.38,2796.38,100,28212.94748,28212.94748,0.003188063
68,32,118.83,59.41,11089.74,11089.74,100,194571.7228,194571.7228,0.021986605
69,26,83.75,41.88,5508.89,5508.89,100,80834.68863,80834.68863,0.00913432
70,24,78.91,39.45,4890.31,4890.31,100,65909.45149,65909.45149,0.007447768
71,42,137,68.5,14741.79,14741.79,100,348356.2868,348356.2868,0.03936426
72,34,108.28,54.14,9208.15,9208.15,100,177123.1191,177123.1191,0.020014912
73,48,132.73,66.37,13837.33,13837.33,100,390033.2695,390033.2695,0.044073759
74,56,150.02,75.01,17675.76,17675.76,100,586885.1213,586885.1213,0.066318019
75,35,113.13,56.56,10051.35,10051.35,100,198325.3555,198325.3555,0.022410765
76,40,78.89,39.4,4887.44,4887.44,100,131047.9771,131047.9771,0.014808421
77,22,75.44,37.72,4469.57,4469.57,100,54743.66278,54743.66278,0.006186034
78,34,130.36,65.18,13346.65,13346.65,100,247475.8746,247475.8746,0.027964774
79,30,117.76,58.88,10892.1,4740.83,43.52539914,177508.8317,77261.4275,0.008730541
80,44,143.49,71.75,16171.22,16171.22,100,400410.7754,400410.7754,0.045246418
81,18,96.19,48.1,7267.59,7267.59,100,68469.40968,68469.40968,0.007737043
82,16,79.26,39.63,4934.42,4934.42,100,41616.55809,41616.55809,0.004702671
83,56,158.58,79.29,19752,19752,100,644977.2912,644977.2912,0.072882434
84,48,144.56,72.28,16412.33,16412.33,100,451816.195,451816.195,0.05105523
85,42,131.35,65.68,13550.39,13550.39,100,323392.753,323392.753,0.036543381
86,34,114.34,57.17,10268.14,10268.14,100,195135.6859,195135.6859,0.022050333
87,24,86.52,43.26,5879.9,5879.9,100,77789.38788,77789.38788,0.008790201
88,22,72.24,36.12,4098.99,4098.99,100,50660.89923,50660.89923,0.005724682
89,26,81.51,40.76,5218.1,5218.1,100,77054.60371,77054.60371,0.00870717
90,59,173.63,86.81,23676.91,23676.91,100,805947.7241,805947.7241,0.091072093
91,32,109.36,54.68,9392.66,9392.66,100,167446.1713,167446.1713,0.018921417
92,36,95.4,47.7,7147.65,4165.87,58.28307206,153093.6428,89227.67813,0.010082728
93,28,138.42,69.21,15047.82,15047.82,100,222170.3037,222170.3037,0.025105244
94,36,133.63,66.82,14024.92,14024.92,100,276913.8724,276913.8724,0.031291268
95,30,125.49,62.74,12367.8,12367.8,100,199631.2925,199631.2925,0.022558336
96,20,83.6,41.8,5488.52,5488.52,100,59079.95369,59079.95369,0.006676035
97,24,91.47,45.73,6570.6,6570.6,100,86075.85247,86075.85247,0.009726571
