"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"ncavalliensis",1,70,219.85,109.93,37962.6,37962.6,100,1508366.089,1508366.089,0.170445368
"ncavalliensis",2,62,168.04,84.02,22176.75,16050.47,72.37521278,812294.927,587900.1818,0.066432721
"ncavalliensis",3,66,183.14,91.57,26343.59,21640.32,82.14643486,1019833.677,837757.0074,0.094666542
"ncavalliensis",4,47,141.68,70.84,15765.05,15765.05,100,424850.1879,424850.1879,0.048008071
"ncavalliensis",5,56,190.83,95.41,28601,28601,100,892700.015,892700.015,0.100875102
"ncavalliensis",6,30,105.97,52.98,8819.41,8819.41,100,146408.2896,146408.2896,0.016544137
"ncavalliensis",7,32,109.51,54.76,9419.06,9419.06,100,167886.2557,167886.2557,0.018971147
"ncavalliensis",8,42,146.14,73.07,16774.1,4272.32,25.46974204,391039.4503,99596.73928,0.011254432
"ncavalliensis",9,94,253.97,126.99,50659.03,50659.03,100,2816042.889,2816042.889,0.318212846
"ncavalliensis",10,65,207.616,103.81,33853.22,33853.22,100,1244094.588,1244094.588,0.140582688
"ncavalliensis",11,58,182.61,91.31,26191.5,22143.82,84.54582594,861759.705,728581.8601,0.08232975
"ncavalliensis",12,58,183.8,91.9,26533.47,26533.47,100,871607.728,871607.728,0.098491673
"ncavalliensis",13,45,159.66,79.83,20021.76,12547.76,62.67061437,498181.6687,312213.5125,0.035280127
"ncavalliensis",14,35,154.79,77.39,18817.05,18817.05,100,351723.4304,351723.4304,0.039744748
"ncavalliensis",15,45,123.79,61.89,12034.94,12034.94,100,318465.9876,318465.9876,0.035986657
"ncavalliensis",16,52,159.08,79.54,19875.14,19875.14,100,590388.7264,590388.7264,0.066713926
"ncavalliensis",17,40,129.37,64.27,13145.12,8333.69,63.39759546,293045.6411,185783.8901,0.02099358
"ncavalliensis",18,40,128.54,64.69,12975.89,12975.89,100,296448.8154,296448.8154,0.033498716
"ncavalliensis",19,60,184.59,92.3,26761.26,26761.26,100,916021.502,916021.502,0.10351043
"ncavalliensis",20,54,183.07,91.54,26323.57,26323.57,100,793228.3733,793228.3733,0.089634806
"ncavalliensis",21,32,112.1,56.05,9869.64,9869.64,100,175071.4501,175071.4501,0.019783074
"ncavalliensis",22,90,234.27,117.14,43105.94,43105.94,100,2321574.397,2321574.397,0.262337907
"ncavalliensis",23,50,167.17,83.58,21947.66,14997.41,68.33261496,614098.8761,419629.8205,0.04741817
"ncavalliensis",24,54,163.21,81.61,20922.28,5226.81,24.98202873,647385.4432,161730.0174,0.018275492
"ncavalliensis",25,36,115.96,57.98,10561.32,6281.79,59.47921283,214527.5726,127599.3115,0.014418722
"ncavalliensis",26,30,109.64,54.82,9441.87,9441.87,100,155755.4074,155755.4074,0.017600361
"ncavalliensis",27,96,265.38,132.69,55314.07,55314.07,100,3118264.861,3118264.861,0.352363929
"ncavalliensis",28,50,139.93,69.96,15378.24,15378.24,100,449855.2498,449855.2498,0.050833643
"ncavalliensis",29,110,223.73,111.86,39311.54,39311.54,100,2858942.342,2858942.342,0.323060485
"ncavalliensis",30,50,135.3,67.65,14378.44,14378.44,100,424889.0836,424889.0836,0.048012466
"ncavalliensis",31,62,156.28,78.14,19181.02,19181.02,100,719434.0826,719434.0826,0.081296051
"ncavalliensis",32,38,123.82,61.91,12040.32,12040.32,100,257514.6133,257514.6133,0.029099151
"ncavalliensis",33,65,203.27,106.01,32451.86,16878.83,52.01190317,1291225.169,671590.7847,0.075889759
"ncavalliensis",34,75,267.91,133.95,56371.6,9782.81,17.35414641,2334706.291,405168.3481,0.045784023
"ncavalliensis",35,32,145.62,72.81,16655.02,16655.02,100,283629.4908,283629.4908,0.032050132
"ncavalliensis",36,108,276.87,138.44,60207.71,60207.71,100,3910956.802,3910956.802,0.441938119
"ncavalliensis",37,100,254.97,127.49,51059.54,51059.54,100,3076724.017,3076724.017,0.347669814
"ncavalliensis",38,42,119.52,59.76,11219.8,11219.8,100,274400.5556,274400.5556,0.031007263
"ncavalliensis",39,72,244.95,122.48,47124.98,19168.93,40.6767918,1892044.956,769623.1873,0.08696742
"ncavalliensis",40,54,133.28,66.64,13950.53,13950.53,100,459137.5435,459137.5435,0.051882542
"ncavalliensis",41,50,150.88,75.44,17878.27,17878.27,100,512435.1471,512435.1471,0.057905172
"ncavalliensis",42,30,121.96,60.98,11681.35,11681.35,100,189370.1975,189370.1975,0.021398832
"ncavalliensis",43,49,131.18,65.59,13515.72,13515.72,100,392725.2987,392725.2987,0.044377959
"ncavalliensis",44,56,155.17,77.58,18910.23,11385.57,60.20852205,621380.9911,374124.3111,0.042276047
"ncavalliensis",45,60,180.64,90.32,25628.01,25628.01,100,881942.6735,881942.6735,0.099659522
"ncavalliensis",46,72,237.76,118.88,44398.73,44398.73,100,1793775.133,1793775.133,0.20269659
"ncavalliensis",47,36,137.22,68.61,14788.71,14788.71,100,290622.3835,290622.3835,0.032840329
"ncavalliensis",48,18,150.4,75.2,17766.76,17766.76,100,162946.1172,162946.1172,0.018412911
"ncavalliensis",49,27,134.67,67.34,14244.22,14244.22,100,202628.3927,202628.3927,0.022897008
"ncavalliensis",50,90,233.14,116.57,42691.07,42691.07,100,2302741.613,2302741.613,0.260209802
