"species","ind","d1","altura","d2","ar","arp","prot","volume","biov","biomassa"
"nonionella sp. b",1,165.92,58,148.39,18570.44,18570.44,100,1121556.738,1121556.738,0.126735911
"nonionella sp. b",2,208.99,66,172.12,25140.39,15809.32,62.88414778,1864621.383,1172551.266,0.132498293
"nonionella sp. b",3,174.38,54,155.04,18362.27,18362.27,100,1146632.043,1146632.043,0.129569421
"nonionella sp. b",4,121.64,42,116.96,10299.62,8404.08,81.59602005,469302.5812,382932.2283,0.043271342
"nonionella sp. b",5,212.61,60,160.48,25535.29,16699.67,65.39839571,1607850.759,1051508.602,0.118820472
"nonionella sp. b",6,165.92,35,118.17,14652.6,14652.6,100,538969.1413,538969.1413,0.060903513
"nonionella sp. b",7,333.14,135,314.48,74569.82,74569.82,100,11108194.16,11108194.16,1.25522594
"nonionella sp. b",8,375.19,119,300.28,82139.44,43858.53,53.39521428,10529663.79,5622336.545,0.63532403
"nonionella sp. b",9,388.14,130,346.3,92126.57,92126.57,100,13723791.99,13723791.99,1.550788495
"nonionella sp. b",10,139.02,40,102,10737.83,10737.83,100,445479.095,445479.095,0.050339138
"nonionella sp. b",11,296.13,108,256.12,51906.28,25259.8,48.66424641,6433384.919,3130758.289,0.353775687
"nonionella sp. b",12,293.34,138,322.86,64609.52,21159.83,32.75032843,10264894.68,3361786.722,0.3798819
"nonionella sp. b",13,203.85,64,163.2,22914.53,22914.53,100,1672248.156,1672248.156,0.188964042
"nonionella sp. b",14,186.92,62,138.87,19253.61,19253.61,100,1263996.23,1263996.23,0.142831574
"nonionella sp. b",15,165.01,36,108.04,10378.66,13078.66,126.0149191,504065.788,635198.0949,0.071777385
"nonionella sp. b",16,135.24,39,97.16,9821.81,9821.81,100,402482.6434,402482.6434,0.045480539
"nonionella sp. b",17,134.79,54,112.28,11261.32,11261.32,100,641865.035,641865.035,0.072530749
"nonionella sp. b",18,127.99,38,99.58,9059.18,7258.26,80.12049656,380383.4727,304765.1272,0.034438459
"nonionella sp. b",19,327.28,117,289.48,66507.31,35065.97,52.72498617,8705901.99,4590185.62,0.518690975
