"ind","d1","altura","d2","ar","arp","prot","volume","biov","biomassa"
1,483.13,97.5,299.12,110533.79,20037.66,18.12808554,11066338.62,2006115.331,0.226691032
2,269.54,75,186.01,34593.58,34593.58,100,2953321.055,2953321.055,0.333725279
3,193.12,56,131.32,18759.65,18759.65,100,1115413.856,1115413.856,0.126041766
4,181.18,48,129.65,17237.16,17237.16,100,885551.6472,885551.6472,0.100067336
5,179.67,56,152.32,20090.24,20090.24,100,1203678.234,1203678.234,0.13601564
6,162.6,51,154.28,17306.9,17306.9,100,1004824.531,1004824.531,0.113545172
7,202.64,72.5,145.07,22543.26,11756.27,52.14982216,1673904.496,872938.2178,0.098642019
8,117.11,36,87.34,7515.9,4380.17,58.27871579,289200.8405,168542.5359,0.019045307
9,309.6,83,224.69,55200.02,21409.98,38.7861816,4534742.906,1758853.618,0.198750459
10,276.26,84,218.26,41154.03,41154.03,100,3977968.372,3977968.372,0.449510426
11,269.31,76.5,221.04,39733.11,29221.13,73.54352579,3576635.381,2630383.764,0.297233365
12,244.83,60,218.26,35105.03,35105.03,100,2518140.252,2518140.252,0.284549849
13,143.86,54,115.3,12197.62,12197.62,100,703482.0241,703482.0241,0.079493469
14,149.9,42.5,118.92,12357.73,12357.73,100,595025.1806,595025.1806,0.067237845
15,291.28,75.5,205.5,47058.52,31090.85,66.06848239,3549435.799,2345058.366,0.264991595
16,254.19,90,219.58,38653.6,10964.15,28.36514581,3945332.706,1119099.375,0.126458229
17,206.42,66,174.23,26537.82,8042.6,30.30618189,1864268.783,564988.6882,0.063843722
18,241.02,82.5,199.01,34028.62,25457.35,74.81158507,3107934.173,2325094.818,0.262735714
19,203.24,87,161.39,24491.47,2782.34,11.36044509,2241273.942,254618.6954,0.028771913
20,199.16,63.5,157.16,21960.29,14948.24,68.06941074,1561017.402,1062575.347,0.120071014
21,191.16,64,166.83,22162.1,16397.73,73.98996485,1603027.7,1186079.632,0.134026998
22,185.72,68,166.98,20644.76,8648.86,41.89372993,1656234.877,693858.5666,0.078406018
23,205.21,60,164.28,22436.87,17982.87,80.14874624,1588635.804,1273271.679,0.1438797
24,186.32,63,155.49,20514.85,20514.85,100,1433482.416,1433482.416,0.161983513
25,199.62,53,140.23,20069.54,13395.23,66.74408083,1165227.529,777720.4035,0.087882406
26,156.55,46,143.86,15671.75,15671.75,100,813656.0182,813656.0182,0.09194313
27,180.28,52,123.91,16532.82,7953.77,48.10897354,912319.8651,438907.7226,0.049596573
28,162.75,51,124.52,14069.91,8371.05,59.49611618,811746.0178,482957.3538,0.054574181
29,149.3,48,138.27,13701.19,5387.65,39.32249681,778249.5699,306027.1623,0.034581069
30,169.85,48,120.74,14496.21,14496.21,100,773121.6614,773121.6614,0.087362748
31,142.5,40,138.27,13540.07,7624.12,56.30783297,619002.9232,348547.1321,0.039385826
32,148.09,48,136,13172.12,13172.12,100,759269.1604,759269.1604,0.085797415
33,160.18,50,120.13,14257.94,2563.96,17.98268193,755648.2,135885.8123,0.015355097
34,154.13,47,126.33,14489.62,11365.44,78.43849597,718755.8855,563781.3063,0.063707288
35,98.98,40,87.95,9308.92,6313.87,67.82602063,273484.7826,185493.8451,0.020960804
36,149.3,48,128.14,13428.64,9245.09,68.84606334,721233.0939,496540.5926,0.056109087
37,138.42,39,103.66,10424.54,6921.17,66.39304948,439505.7263,291801.2543,0.032973542
38,160.93,57,148.09,17026.86,10073.87,59.16457879,1066909.253,631232.3654,0.071329257
39,124.52,40,97.16,8832.84,2491.57,28.20802822,380081.2895,107213.4374,0.012115118
40,118.47,45,107.44,8819.86,8819.86,100,449859.3831,449859.3831,0.05083411
41,106.84,38,77.67,6083.05,6083.05,100,247662.7338,247662.7338,0.027985889
42,115.3,42,113.48,8850.28,4084.2,46.1476925,431606.3308,199176.3623,0.022506929
43,133.58,40,112.88,10642.38,8176.62,76.83074651,473705.3751,363951.3759,0.041126505
44,117.72,44,108.65,8870.54,5999.43,67.63319933,442000.2775,298938.9287,0.033780099
45,303.3,110.5,232.36,47507.62,47507.62,100,6116259.982,6116259.982,0.691137378
46,138.42,42.5,98.37,10173.19,7352.45,72.27280725,454506.7399,328484.7801,0.03711878
47,144.46,40,105.02,10849.55,10849.55,100,476616.9654,476616.9654,0.053857717
48,132.22,30,102.6,9313.74,6241.5,67.0138956,319635.9725,214200.5169,0.024204658
49,192.52,64,174.23,23416.02,23416.02,100,1686042.994,1686042.994,0.190522858
50,175.44,75,123.16,16929.01,16929.01,100,1272768.574,1272768.574,0.143822849
51,388.9,110,251.16,76513.3,30169.31,39.43015136,8438611.325,3327357.218,0.375991366
52,312.47,90,293.57,63114.12,5645.42,8.944781295,6484140.118,579992.1524,0.065539113
53,211.86,59.5,153.53,22497.96,17119.67,76.09432144,1520019.169,1156648.273,0.130701255
54,146.28,55,110.46,11383.02,11383.02,100,697979.3298,697979.3298,0.078871664
56,271.24,88,175.89,35666.58,11469.63,32.15791926,3297368.146,1060364.986,0.119821243
57,366.62,110.5,257.62,68676.55,18823.21,27.40849679,8196867,2246638.028,0.253870097
58,130.71,25.5,102.6,9523.27,3989.9,41.89632343,268587.7724,112528.4018,0.012715709
59,120.89,22,87.34,7961.4,7961.4,100,182438.3465,182438.3465,0.020615533
60,138.12,40,95.8,9370.32,9370.32,100,415692.2727,415692.2727,0.046973227
61,150.5,56,110.61,12333.9,9587.84,77.7356716,732164.7242,569153.1656,0.064314308
62,117.87,38,82.51,7425.52,7425.52,100,290257.4321,290257.4321,0.03279909
63,100.79,38,97.77,6680.94,6680.94,100,294101.0252,294101.0252,0.033233416
64,113.03,56,103.81,8925.18,8925.18,100,516072.6303,516072.6303,0.058316207
65,218.72,81,177.89,29738.93,21236.45,71.40959678,2475226.424,1767549.209,0.199733061
66,154.59,58,124.67,13498.97,13498.97,100,877932.7128,877932.7128,0.099206397
67,412.84,176,267.5,83672.36,54281.69,64.8740994,15265397.06,9903288.863,1.119071642
68,234.52,74,164.86,26981.88,26981.88,100,2247070.934,2247070.934,0.253919016
69,218.05,80,158.67,24980.09,18058.15,72.29017189,2173856.044,1571484.271,0.177577723
70,175.89,56,172.27,21420.93,21420.93,100,1332688.687,1332688.687,0.150593822
71,125.72,51,87.95,7947.07,7947.07,100,442894.4863,442894.4863,0.050047077
72,133.73,40,95.2,8979.36,8979.36,100,399959.1767,399959.1767,0.045195387
73,170.45,64,121.49,15303.92,13302.7,86.92348104,1040896.128,904783.1485,0.102240496
74,296.68,94,190.31,42832.02,42832.02,100,4168382.986,4168382.986,0.471027277
75,283.89,117,205.32,40283.64,33424.1,82.97189628,5356203.804,4444143.865,0.502188257
76,268.88,113,217.92,39608.31,33507.56,84.59729789,5200246.311,4399267.863,0.497117269
77,231.45,72,155.1,37375.33,27375.33,73.24438339,2029978.138,1486844.97,0.168013482
78,132.52,42,83.11,8182.69,6051.17,73.95086457,363307.0967,268668.7391,0.030359568
79,212.01,70,142.35,23688.17,18717.79,79.01745893,1659211.461,1311066.735,0.148150541
80,226.67,80,173.93,27208.86,27208.86,100,2477127.781,2477127.781,0.279915439
81,153.98,54,128.75,14150.94,11725.88,82.86290522,840804.8231,696715.3036,0.078728829
82,193.72,78,142.95,19267.95,19267.95,100,1696457.969,1696457.969,0.191699751
83,351.72,117,229.07,61575.8,61575.8,100,7403567.213,7403567.213,0.836603095
84,206.42,66,164.86,23130.76,11579.87,50.06264386,1764009.364,883109.7255,0.099791399
85,260.82,102,184.51,32915.16,19162.19,58.21691281,3855234.969,2244398.781,0.253617062
86,114.09,42,113.48,9158.1,9158.1,100,427076.8974,427076.8974,0.048259689
87,281.23,97,196.86,39787.14,39787.14,100,4217749.118,4217749.118,0.47660565
88,137.96,44,98.98,10128.63,10128.63,100,471892.6283,471892.6283,0.053323867
89,765.38,266,502.56,294551.56,294551.56,100,80359374.32,80359374.32,9.080609298
90,194.18,55,122.7,18100.15,18100.15,100,1029204.391,1029204.391,0.116300096
