"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,154.54,52,121.95,14137.36,5671.68,40.11838137,513126.7771,205858.1573,0.023261972
2,133.43,75,122.16,12357.41,3884.79,31.43692732,640091.9948,201225.2552,0.022738454
3,223.68,92,197.29,33650.72,18163.99,53.97801295,2125781.761,1147454.754,0.129662387
4,213.59,110.78,171.54,26506.59,10976.02,41.40864593,2125231.795,880029.7091,0.099443357
5,128.13,56,103.64,10283.47,7966.52,77.46918112,389372.1452,301643.4124,0.034085706
6,126.11,62,97.23,9203.45,5667.23,61.57723462,398052.2868,245109.5906,0.027697384
7,127.49,62,118.5,11334.12,11334.12,100,490438.7573,490438.7573,0.05541958
8,106.88,36,89.35,7357.13,7357.13,100,180008.132,180008.132,0.020340919
9,132.13,40,118.44,11857.47,4531.95,38.22021055,327761.8841,125271.2822,0.014155655
10,130.54,28,105.74,9987.76,5357.33,53.63895408,202366.9416,108547.5109,0.012265869
11,109.62,28,93.06,7322.1,5825.11,79.55518226,149557.9486,118981.0986,0.013444864
12,119.3,42,98.45,7923.71,3470.1,43.79387938,258287.9093,113114.2955,0.012781915
13,136,60,119.98,11980.61,5888.09,49.14682975,512622.4698,251937.6925,0.028468959
14,136.4,59,132.4,13495.02,7141.15,52.91692787,557895.6683,295221.2484,0.033360001
15,231.19,90,212.24,35603.68,14790.96,41.54334608,2312263.979,960591.8273,0.108546876
16,100.04,40,97.47,7148.17,5014.44,70.14998244,204222.3469,143261.9405,0.016188599
17,207.32,95,191.46,30444.24,11526.16,37.85990388,1974428.823,747516.8547,0.084469405
18,181.6,75,168.26,21309.59,9963.88,46.75772739,1199931.943,561060.9065,0.063399882
19,123.16,36,105.48,9233.33,3930.4,42.56752439,244873.0127,104236.3794,0.011778711
20,181.11,66,172.2,21822.73,6944.2,31.82094999,1077750.258,342950.3707,0.038753392
21,185.87,72,153.08,21212.47,3387.53,15.9695217,1072652.06,171297.4036,0.019356607
22,244.5,82,209.14,36051.43,20542.13,56.98006986,2195474.726,1250983.033,0.141361083
23,195.54,78,180.28,26738.82,18727.04,70.03689766,1439714.522,1008331.386,0.113941447
24,88.25,40,77.37,4739.47,3834.37,80.90292796,143003.2556,115693.8208,0.013073402
25,133.58,44,120.59,11698.14,5562.3,47.54858465,371111.1759,176458.1116,0.019939767
26,204.15,88,170.6,26715.99,12704.69,47.55462927,1604758.577,763136.9921,0.08623448
27,146.88,60,143.86,15375.84,9494.37,61.74862642,663823.4538,409901.8646,0.046318911
28,134.64,54,114.54,11709.56,3874.19,33.08570091,436037.3223,144266.0043,0.016302058
29,100.49,36,87.8,6543.95,3144.75,48.05583783,166310.0466,79921.6863,0.009031151
30,226.06,100,217,37036.06,9800.4,26.46177806,2568514.841,679674.6968,0.076803241
31,174.38,72,173.17,22684.9,12148.34,53.55253935,1138414.58,609649.9157,0.06889044
32,159.74,70,133.41,15697.32,5537.83,35.27882467,781085.7715,275557.8798,0.03113804
33,115.01,36,115.01,9294.89,5686.25,61.17608708,249328.733,152529.5628,0.017235841
34,151.31,60,131.35,15178.57,8432.25,55.55365229,624377.984,346864.7742,0.039195719
35,122.37,60,114.38,10830.29,6077.76,56.11816489,439718.6895,246762.0592,0.027884113
36,138.87,64,121.95,12962.01,5021.41,38.73943933,567503.8818,219847.822,0.024842804
37,237.09,110,224.25,38537.61,20838.77,54.07385149,3062224.282,1655862.611,0.187112475
38,177.25,84,171.96,23185.99,23185.99,100,1340576.459,1340576.459,0.15148514
39,238.76,100,223.47,41120.83,17623.71,42.85835184,2793697.773,1197332.821,0.135298609
40,163.35,60,159.72,19080.46,4993.92,26.1729539,819649.7544,214526.5524,0.0242415
41,144.46,68,121.34,13029.29,4914.79,37.72108841,624107.1186,235419.998,0.02660246
42,187.68,54,177.4,24661.09,10412.28,42.22149143,941377.8869,397463.7838,0.044913408
43,133.87,36,130.23,12697.89,9908.45,78.03225575,328621.0864,256430.4466,0.02897664
44,193.26,63,154.02,22654.46,18581.37,82.02080297,981879.6657,805345.586,0.091004051
45,161.83,49,152.63,16882.36,12945.15,76.67855679,633714.4948,485923.1288,0.054909314
46,139.26,56,112,11231.02,7179.23,63.92322336,457331.4444,292341.0007,0.033034533
47,114.69,52,99.28,8431.42,5688.87,67.47226446,310019.6968,209177.3097,0.023637036
48,166.37,74,163.35,20605.24,7634.27,37.0501387,1052990.608,390134.4807,0.044085196
49,245.65,92,237.74,44383.87,24774.64,55.81901713,2813231.532,1570318.191,0.177445956
50,184.05,54,159.72,20655.98,8985.9,43.50265637,831165.4948,361579.0691,0.040858435
51,142.65,60,140.36,13733.93,13733.93,100,629020.8024,629020.8024,0.071079351
52,141.44,62,116.36,12437.59,8246.5,66.30303781,534276.7458,354241.7128,0.040029314
53,114.69,48,106.68,8785.58,8785.58,100,307502.3361,307502.3361,0.034747764
54,153.53,62,152.92,15957.69,8345.76,52.29929896,762162.9815,398605.8963,0.045042466
55,264.44,54,218.2,43577.59,19494.97,44.73622796,1631451.911,729850.0458,0.082473055
56,210.35,90,196.14,31202.09,17086.23,54.75988948,1944239.755,1064663.541,0.12030698
57,221.52,90,200.23,33364.98,26500.83,79.42708193,2090177.757,1660167.2,0.187598894
58,209.74,100,206.57,32435.1,22550.28,69.52431163,2268543.626,1577189.34,0.178222395
59,157.76,64,152.32,17992.67,8741.88,48.58578521,805253.1363,391238.5592,0.044209957
60,155.34,72,152.32,17203.34,10140.1,58.94262393,892013.3429,525776.0701,0.059412696
61,125.57,48,108.5,10270.63,3664.27,35.67716878,342417.1373,122164.74,0.013804616
62,170,82,165.77,22663.06,10530.06,46.46354023,1209949.748,562185.4881,0.06352696
63,179.82,78,164.56,21763.18,12588.81,57.84453375,1208524.606,699065.4233,0.078994393
64,105.48,40,85.98,7104.69,3155.6,44.41573102,189944.2607,84365.13192,0.00953326
65,193.88,88,177.4,25810.78,4849.3,18.7878863,1584776.129,297745.9373,0.033645291
66,187.23,70,186.47,24145.06,24145.06,100,1279620.151,1279620.151,0.144597077
67,142.04,54,129.8,14442.44,6719.32,46.52482545,521288.0128,242528.338,0.027405702
68,87.19,24,81.15,5346.57,5346.57,100,88912.95945,88912.95945,0.010047164
69,177.58,84,173.2,22807.52,7013.28,30.74985794,1352757.18,415970.9112,0.047004713
70,166.53,60,138.81,16291.84,2732.05,16.76943795,726211.4784,121781.5833,0.013761319
71,202.34,64,166.37,25903.23,15842.26,61.15939981,1128068.205,689919.7436,0.077960931
72,117.11,40,112.73,9937.49,9937.49,100,276498.0684,276498.0684,0.031244282
73,165.77,60,145.67,17923.05,9422.24,52.57051674,758622.8688,398811.9622,0.045065752
74,185.26,76,182.24,25970.47,6189.34,23.83222175,1343499.723,320185.8331,0.036180999
75,143.86,46,127.39,13889.78,5691.62,40.97703491,441399.5109,180872.4317,0.020438585
76,140.68,54,135.4,14013.79,10758.34,76.76966759,538571.5476,413459.5868,0.046720933
77,115.15,32,98.68,8444.39,8444.39,100,190388.9259,190388.9259,0.021513949
78,102.45,36,90.82,7070.94,7070.94,100,175385.8627,175385.8627,0.019818602
79,158.56,64,140.23,11015.77,11015.77,100,745097.6052,745097.6052,0.084196029
80,130.56,50,118.17,15943.51,6538.5,41.0104174,403911.3003,165645.7102,0.018717965
