"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,36,150.05,75.02,17683.15,17683.15,100,212198.8994,212198.8994,0.023978476
2,48,171.49,85.74,23097.4,13975.2,60.50551144,369562.1328,223605.4585,0.025267417
3,32,129.77,64.89,13226.81,13226.81,100,141080.5728,141080.5728,0.015942105
4,30,158.59,79.29,19753.05,13923,70.48531746,197533.8278,139232.3456,0.015733255
5,48,173.33,86.67,23596.95,23596.95,100,377535.1028,377535.1028,0.042661467
6,38,135.97,67.99,14520.39,14520.39,100,183924.0063,183924.0063,0.020783413
7,30,134.21,67.1,14146.52,5814.22,41.10000198,141468.4627,58143.54096,0.00657022
8,42,195.31,97.65,29959.13,29959.13,100,419437.1339,419437.1339,0.047396396
9,48,170.22,85.11,22755.98,22755.98,100,364108.6835,364108.6835,0.041144281
10,24,144.52,72.26,16402.86,16402.86,100,131230.7994,131230.7994,0.01482908
11,32,156.57,78.28,19252.18,19252.18,100,205369.3877,205369.3877,0.023206741
12,52,200.03,100.02,31425.43,31425.43,100,544706.1018,544706.1018,0.061551789
13,36,142.79,71.39,16012.4,16012.4,100,192161.648,192161.648,0.021714266
14,32,123.99,62,12074.54,12074.54,100,128792.9008,128792.9008,0.014553598
15,64,191.49,95.75,28800.36,28800.36,100,614385.2758,614385.2758,0.069425536
16,40,158.51,79.25,19732.6,19732.6,100,263112.784,263112.784,0.029731745
17,52,174.75,87.38,23984.52,23984.52,100,415725.1888,415725.1888,0.046976946
18,36,172.52,86.26,23375.5,23375.5,100,280511.084,280511.084,0.031697752
19,56,169.55,84.77,22577.86,22577.86,100,421456.0009,421456.0009,0.047624528
20,45,169.82,84.91,22649.19,22649.19,100,339749.4901,339749.4901,0.038391692
21,36,163.05,81.52,20879.6,20879.6,100,250560.5731,250560.5731,0.028313345
22,26,130.8,65.4,13437.54,13437.54,100,116454.8184,116454.8184,0.013159394
23,53,175.64,87.82,24230,24230,100,428046.8971,428046.8971,0.048369299
24,40,174.14,87.07,23818.09,23818.09,100,317559.9305,317559.9305,0.035884272
25,44,151.37,75.68,17995.2,17995.2,100,263937.3944,263937.3944,0.029824926
26,46,160.06,80.03,20120.55,20120.55,100,308526.2237,308526.2237,0.034863463
27,38,118.42,59.21,11014.77,11014.77,100,139509.0357,139509.0357,0.015764521
28,40,135.81,67.9,14485.48,14485.48,100,193148.8454,193148.8454,0.02182582
