"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"pdenticulata",1,42,219.57,109.79,37865.11,37865.11,100,1590322.398,1590322.398,0.179706431
"pdenticulata",2,48,244.03,122.02,46772.82,46772.82,100,2245006.272,2245006.272,0.253685709
"pdenticulata",3,40,173.33,86.67,23596.57,23596.57,100,943837.7571,943837.7571,0.106653667
"pdenticulata",4,56,248.88,124.44,48649.75,48649.75,100,2724318.657,2724318.657,0.307848008
"pdenticulata",5,54,232.19,116.1,42342.57,42342.57,100,2286497.15,2286497.15,0.258374178
"pdenticulata",6,38,195.44,97.72,29998.8,29998.8,100,1139988.279,1139988.279,0.128818675
"pdenticulata",7,44,184.6,92.3,26764.83,26764.83,100,1177622.111,1177622.111,0.133071299
"pdenticulata",8,34,165.65,82.83,21551.56,21551.56,100,732743.0011,732743.0011,0.082799959
"pdenticulata",9,47,253.98,129.99,50661.69,50661.69,100,2381150.124,2381150.124,0.269069964
"pdenticulata",10,9,219.1,109.6,37735.56,37735.56,100,339326.0065,339326.0065,0.038343839
"pdenticulata",11,44,232.23,116.11,42357.06,18218.27,43.01117689,1863713.72,801605.2046,0.090581388
"pdenticulata",12,38,178.07,89.04,24905.41,24905.41,100,946356.9926,946356.9926,0.10693834
"pdenticulata",13,38,125.37,62.69,12345.42,5712.8,46.27465084,469094.9199,217072.0363,0.02452914
"pdenticulata",14,52,239.33,119.66,44984.93,44984.93,100,2339308.542,2339308.542,0.264341865
"pdenticulata",15,40,181.28,90.64,25809.51,19781.14,76.64283437,1032403.951,791263.6499,0.089412792
"pdenticulata",16,40,142.3,71.15,15904.14,15904.14,100,636150.2071,636150.2071,0.071884973
"pdenticulata",17,50,238.03,119.01,44499.05,44499.05,100,2224965.488,2224965.488,0.2514211
"pdenticulata",18,36,199.91,99.59,37387.27,20283.09,54.25132672,1129955.708,613015.9632,0.069270804
"pdenticulata",19,16,104.28,52.14,8541,8541,100,136650.7152,136650.7152,0.015441531
"pdenticulata",20,23,120.87,60.44,11475.18,11475.18,100,263909.3407,263909.3407,0.029821755
"pdenticulata",21,40,209.3,104.65,34404.59,34404.59,100,1376221.472,1376221.472,0.155513026
"pdenticulata",22,27,173.69,86.85,23694.2,17696.9,74.68874239,639739.6611,477813.5074,0.053992926
"pdenticulata",23,50,202.38,101.1,32167.48,32167.48,100,1608403.72,1608403.72,0.18174962
"pdenticulata",24,63,278.79,139.39,61043.99,61043.99,100,3845783.348,3845783.348,0.434573518
"pdenticulogranulata",1,51,160.43,153.98,74487.39,74487.39,100,1030934.859,1030934.859,0.116495639
"pdenticulogranulata",2,24,109.99,55,9501.77,9501.77,100,228038.1595,228038.1595,0.025768312
"pdenticulogranulata",3,24,119.21,59.6,11161.19,11161.19,100,267871.4935,267871.4935,0.030269479
"pdenticulogranulata",4,36,193.48,96.74,29399.58,29399.58,100,1058435.846,1058435.846,0.119603251
"pdenticulogranulata",5,40,224.04,112.02,39423.52,39423.52,100,1576888.554,1576888.554,0.178188407
"pdenticulogranulata",6,42,219.11,109.56,37707,37707,100,1583665.915,1583665.915,0.178954248
"pdenticulogranulata",7,30,172.74,86.37,23434.8,23434.8,100,703067.4093,703067.4093,0.079446617
"pdenticulogranulata",8,45,289.43,144.71,65790.32,33815.17,51.39839721,2960666.464,1521735.109,0.171956067
"pdenticulogranulata",9,44,189.62,91.81,28239.81,28239.81,100,1242541.327,1242541.327,0.14040717
"pdenticulogranulata",10,40,142.69,71.34,15990.01,15990.01,100,639641.9648,639641.9648,0.072279542
"pdenticulogranulata",11,29,240.26,120.13,45335.5,45335.5,100,1314773.145,1314773.145,0.148569365
"pdenticulogranulata",12,56,257.99,128.99,52274.77,27162.49,51.9609938,2927410.684,1521111.684,0.17188562
"pdenticulogranulata",13,48,245.45,122.72,47316.09,47316.09,100,2271209.477,2271209.477,0.256646671
