"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,32,131.76,65.88,13635.9,11013.26,80.76665273,235318.2449,190058.6697,0.02147663
2,53,132.02,66.01,13689.48,3768.89,27.5312868,440708.3226,121332.6722,0.013710592
3,77,189.8,94.9,28291.89,12687.61,44.84539562,1328328.892,595694.3468,0.067313461
4,44,135.08,67.54,14330.31,2276.83,15.88821177,359880.9636,57178.64961,0.006461187
5,42,107.96,53.98,9154.28,4962.52,54.20983409,231028.4776,125240.1544,0.014152137
6,70,163.21,81.61,20921.07,4978.63,23.7972054,911920.7502,217011.654,0.024522317
7,60,147.04,73.52,16980.41,16980.41,100,622524.5292,622524.5292,0.070345272
8,40,112.78,56.39,9990.37,7695.44,77.02857852,233305.065,179711.5752,0.020307408
9,36,105.48,52.74,8737.91,2156.38,24.67844141,181719.5737,44845.55852,0.005067548
10,82,191.72,95.86,28868.73,21800.56,75.51617269,1472305.482,1111828.75,0.125636649
11,203,406.18,203.09,129574.28,89016.31,68.69905818,17532163.49,12044431.2,1.361020725
12,60,109.83,54.91,9473.65,9473.65,100,397264.5793,397264.5793,0.044890897
13,129,289.52,144.76,65832.68,14569.55,22.13118166,5370265.234,1188503.154,0.134300856
14,55,158.55,79.27,19742.72,9875.75,50.02223604,629989.2971,315134.7332,0.035610225
15,60,152.49,76.24,18262.07,7949.99,43.53279776,660916.0983,287715.2684,0.032511825
16,42,143.26,71.63,16118.57,2550.26,15.82187502,377292.6954,59694.77871,0.00674551
17,30,106.31,53.16,8876.54,5683.3,64.02607322,147308.601,94315.91271,0.010657698
18,63,163.54,81.77,21005.14,21005.14,100,792604.9342,792604.9342,0.089564358
19,52,146.24,73.12,16797.34,16797.34,100,510334.6397,510334.6397,0.057667814
20,68,151.05,75.53,17919.88,17919.88,100,773987.5343,773987.5343,0.087460591
21,68,171.09,85.55,22990.89,17377.31,75.58345936,946387.88,715312.6987,0.080830335
22,99,247.41,123.71,48075.98,35298.8,73.42294426,2887980.119,2120440.033,0.239609724
23,84.33333333,196.93,98.46,30458.7,30458.7,100,1598266.44,1598266.44,0.180604108
