"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,24,189.14,94.57,28097.98,28097.98,100,168580.7188,168580.7188,0.019049621
2,18,243.06,121.53,46398.93,46398.93,100,208799.4654,208799.4654,0.02359434
3,20,248.27,124.14,48412.16,48412.16,100,338899.8642,338899.8642,0.038295685
4,26,142.92,71.46,16043.39,16043.39,100,128341.1373,128341.1373,0.014502549
5,56,284.35,142.17,63503.17,63503.17,100,1015981.459,1015981.459,0.114805905
6,22,266.59,133.3,55820,55820,100,279113.0715,279113.0715,0.031539777
7,20,191.65,95.82,28847.42,28847.42,100,115377.785,115377.785,0.01303769
8,54,286.96,143.48,64672.45,64672.45,100,873104.8029,873104.8029,0.098660843
9,38,216.7,108.35,36881.38,36881.38,100,442577.1116,442577.1116,0.050011214
10,36,258.09,129.05,52316.28,21780.35,41.63206941,470877.9998,196036.2557,0.022152097
11,22,201.75,100.87,31967.26,16931.36,52.9646895,239737.0615,126975.9902,0.014348287
12,16,158.89,79.45,19828.73,12133.52,61.19161439,59492.04949,36404.14552,0.004113668
13,32,194.84,97.42,29817.22,20141,67.54821543,268341.9879,181260.224,0.020482405
14,70,370.83,185.42,108004.02,108004.02,100,2268205.091,2268205.091,0.256307175
15,46,236.61,118.3,43969.56,15577.78,35.42855557,681476.7761,241437.3783,0.027282424
16,70,383.5,191.75,115507.27,115507.27,100,2021429.813,2021429.813,0.228421569
17,53,270.99,135.49,57675.44,43348.15,75.15876775,259523.6091,195054.7466,0.022041186
18,36,280.95,140.47,61992.53,61992.53,100,557904.0923,557904.0923,0.063043162
19,53,291.92,145.96,66928.52,66928.52,100,736224.5026,736224.5026,0.083193369
20,24,106.15,53.08,8849.75,8849.75,100,61959.76204,61959.76204,0.007001453
21,64,320.52,160.26,80687.88,80687.88,100,1290981.837,1290981.837,0.145880948
22,56,324.6,162.3,82752.96,82752.96,100,1655072.063,1655072.063,0.187023143
23,24,143.63,71.82,16203.43,16203.43,100,97228.12815,97228.12815,0.010986778
24,44,289.21,144.6,65691.13,65691.13,100,788256.7615,788256.7615,0.089073014
25,140,400.83,200.41,126182.91,126182.91,100,3533024.753,3533024.753,0.399231797
26,48,296.81,148.41,69190.94,69190.94,100,830342.8474,830342.8474,0.093828742
27,80,287.06,143.53,64721.32,64721.32,100,1294390.265,1294390.265,0.1462661
28,35,148.44,74.22,17304.74,17304.74,100,173058.0368,173058.0368,0.019555558
29,72,312.5,156.25,76700.58,76700.58,100,1227184.63,1227184.63,0.138671863
31,28,163.76,81.88,21063.18,21063.18,100,147436.0139,147436.0139,0.01666027
32,35,186.85,93.43,27421,27421,100,246811.3229,246811.3229,0.027889679
33,32,333.83,166.92,87528.18,87528.18,100,525191.7257,525191.7257,0.059346665
34,54,269.44,134.72,57018.44,57018.44,100,627200.9482,627200.9482,0.070873707
35,52,241.24,120.62,45708.25,45708.25,100,594198.9408,594198.9408,0.06714448
36,48,298.94,149.47,70187.94,70187.94,100,561497.6317,561497.6317,0.063449232
37,32,240.13,120.07,45289.31,45289.31,100,362333.8269,362333.8269,0.040943722
38,35,215.53,107.76,36482.88,36482.88,100,310087.2888,310087.2888,0.035039864
39,36,245.95,122.97,47509.63,47509.63,100,285035.8388,285035.8388,0.03220905
40,22,165.47,82.74,21505.36,21505.36,100,139795.8447,139795.8447,0.01579693
41,40,163.17,81.59,20911.67,20911.67,100,209133.5642,209133.5642,0.023632093
42,25,134.89,67.44,14290.06,14290.06,100,78586.45266,78586.45266,0.008880269
43,30,197,98.5,30481.87,30481.87,100,228603.88,228603.88,0.025832238
44,35,134.27,67.13,14159.29,14159.29,100,106180.418,106180.418,0.011998387
