"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,318.33,91,239.39,63546.89,63546.89,100,3630977.759,3630977.759,0.410300487
2,179.16,60,141.43,20916.08,20916.08,100,796035.5585,796035.5585,0.089952018
3,143.1,40,103.4,12629.37,12629.37,100,309898.0091,309898.0091,0.035018475
4,132.97,48,99.43,11324.15,7584.42,66.97562289,332285.1768,222550.067,0.025148158
5,195.07,60,138.06,22773.76,22773.76,100,846073.7593,846073.7593,0.095606335
6,147.47,40,114.85,14060.08,14060.08,100,354726.222,354726.222,0.040084063
7,137.09,36,105.34,12016.96,12016.96,100,272207.5794,272207.5794,0.030759456
8,108.97,42,80.06,6994.38,6994.38,100,191853.8194,191853.8194,0.021679482
9,222.44,72,179.38,32588.26,26143.84,80.22471896,1504243.089,1206774.791,0.136365551
10,137.35,48,98.8,11203.62,11203.62,100,341055.8224,341055.8224,0.038539308
11,111.78,40,72.91,6888.55,6888.55,100,170690.6834,170690.6834,0.019288047
12,98.98,40,70.14,6176.09,6176.09,100,145402.4836,145402.4836,0.016430481
13,292.68,96,225.38,54514.87,40111.9,73.57974072,3315723.263,2439700.58,0.275686166
14,172.43,66,134.29,18456.87,18456.87,100,800200.945,800200.945,0.090422707
15,105.51,44,81.99,7007.48,7007.48,100,199299.316,199299.316,0.022520823
16,128.62,46,86.39,9233.9,9233.9,100,267626.0803,267626.0803,0.030241747
17,168.49,60,145.17,18771.66,18771.66,100,768423.9279,768423.9279,0.086831904
18,173.13,48,133.68,19057.46,19057.46,100,581672.6255,581672.6255,0.065729007
19,143.51,48,112.52,12787.07,12787.07,100,405837.1016,405837.1016,0.045859592
20,99.45,36,76.31,5698.08,5698.08,100,143049.836,143049.836,0.016164631
21,272.47,84,254.88,59025.71,31460.11,53.29899462,3054445.346,1627988.661,0.183962719
22,251.58,64,191.4,37468.85,37468.85,100,1613602.814,1613602.814,0.182337118
23,135.15,42,109.44,11827.84,11827.84,100,325267.0322,325267.0322,0.036755175
24,164.73,48,131.17,16686.63,16686.63,100,543059.0765,543059.0765,0.061365676
25,402.31,95,317.26,104507.65,64658.14,61.86928899,6348898.372,3928018.282,0.443866066
26,329.14,90,264.28,70367.94,28531.75,40.54651877,4099077.172,1662033.095,0.18780974
27,240.61,54,191.98,36416.25,36416.25,100,1306056.734,1306056.734,0.147584411
28,159.02,44,122.79,15128.42,15128.42,100,449848.2624,449848.2624,0.050832854
29,514.12,120,449.78,187041.2,187041.2,100,14529293.85,14529293.85,1.641810205
30,434.72,108,373.73,131439.95,76056.93,57.86439359,9187343.617,5316200.671,0.600730676
31,159.53,60,113.85,15478.93,4544.73,29.36075039,570591.4673,167529.9365,0.018930883
32,222.65,76,172.53,34570.21,14507.31,41.96477256,1528619.996,641481.9048,0.072487455
33,388.99,100,331.86,124127.67,104127.67,83.88755706,6759148.188,5670084.293,0.640719525
34,282.98,90,276.36,57976.42,39158.37,67.54189031,3685293.304,2489116.761,0.281270194
35,319.73,75,222.99,58704.62,58704.62,100,2799810.649,2799810.649,0.316378603
36,156.14,48,126.52,14406.39,5717.7,39.68863817,496493.1008,197051.3503,0.022266803
37,289.23,108,232.04,51474.68,24763.23,48.10759387,3795146.737,1825753.779,0.206310177
38,140.89,40,98.16,11344.2,11344.2,100,289649.8664,289649.8664,0.032730435
39,141.27,40,104.23,12243.55,12243.55,100,308390.717,308390.717,0.034848151
40,95.31,30,71.11,4914.7,4914.7,100,106460.6284,106460.6284,0.012030051
41,168.44,60,146.46,20660.35,14234.65,68.89839717,775022.1867,533977.8643,0.060339499
42,151,40,107.04,14137.81,10519.83,74.40919067,338517.9182,251888.4432,0.028463394
43,105.17,20,73.18,6342.32,6342.32,100,80595.89031,80595.89031,0.009107336
44,184.33,56,135.37,21169.87,10838.34,51.19700782,731652.9051,374584.3951,0.042328037
45,130,54,85.83,9527.18,9527.18,100,315482.1901,315482.1901,0.035649487
46,116.51,42,82.7,7748.58,4542.34,58.6215797,211893.0072,124215.0281,0.014036298
47,105.64,36,85.66,6956.72,6956.72,100,170571.9387,170571.9387,0.019274629
48,149.32,40,105.2,11605.19,11605.19,100,328997.3007,328997.3007,0.037176695
