"species","ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
"rchitinosa",1,70,322.84,161.42,81859.47,81859.47,100,1637172.927,1637172.927,0.185000541
"rchitinosa",2,60,322.33,161.17,81600.5,81600.5,100,1020066.059,1020066.059,0.115267465
"rchitinosa",3,28,145.49,72.25,16625.82,16625.82,100,147593.79,147593.79,0.016678098
"rchitinosa",4,18,182.35,91.18,26115.97,14464.74,55.38656998,104474.1965,57864.67397,0.006538708
"rchitinosa",5,33,239.72,119.86,45132.57,45132.57,100,496467.8211,496467.8211,0.056100864
"rchitinosa",6,38,169.94,84.97,22680.67,6730.59,29.6754461,283524.8454,84137.26266,0.009507511
"rchitinosa",7,45,233.42,116.71,42791.55,18133.81,42.37708146,534904.2196,226676.7969,0.025614478
"rchitinosa",8,24,128.69,64.35,13008.05,13008.05,100,97568.1878,97568.1878,0.011025205
"rchitinosa",9,80,336.18,168.09,88765.9,88765.9,100,1775266.766,1775266.766,0.200605145
"rchitinosa",10,51,260.61,130.31,53343.16,53343.16,100,666830.3766,666830.3766,0.075351833
"rchitinosa",11,66,215.86,107.93,36594.58,36594.58,100,658728.9221,658728.9221,0.074436368
"rchitinosa",12,36,245.27,122.63,47246.58,47246.58,100,425192.7382,425192.7382,0.048046779
"rchitinosa",13,22,101.45,50.72,8083.32,8083.32,100,56572.63435,56572.63435,0.006392708
"rchitinosa",14,34,144.01,72.01,16289.23,16289.23,100,154760.135,154760.135,0.017487895
"rchitinosa",15,16,79.09,39.54,4912.69,2318.07,47.18535059,19646.40959,9270.227244,0.001047536
"rchitinosa",16,25,215.21,107.6,36375.28,36375.28,100,254608.2404,254608.2404,0.028770731
"rchitinosa",17,14,131.46,65.72,13572.41,13572.41,100,61060.09787,61060.09787,0.006899791
"rchitinosa",18,18,111.93,55.97,9839.8,9839.8,100,44286.66738,44286.66738,0.005004393
"rchitinosa",19,12,64.16,32.08,3232.82,3232.82,100,9699.287815,9699.287815,0.00109602
"rchitinosa",20,36,267.78,133.89,56319.51,56319.51,100,506860.754,506860.754,0.057275265
"rchitinosa",21,45,245.95,122.97,47509.36,47509.36,100,593824.6642,593824.6642,0.067102187
"rchitinosa",22,18,124.1,62.05,12095.56,12095.56,100,72574.60734,72574.60734,0.008200931
"rchitinosa",23,28,131.66,65.83,13613.44,13613.44,100,122529.3395,122529.3395,0.013845815
"rchitinosa",24,36,206.78,103.39,33582.82,33582.82,100,402984.3583,402984.3583,0.045537232
"rchitinosa",25,48,228.67,114.34,41070.09,41070.09,100,657152.601,657152.601,0.074258244
"rchitinosa",26,30,144.01,72,16287.5,16287.5,100,122145.1224,122145.1224,0.013802399
"rchitinosa",27,64,251.22,125.61,49566.38,49566.38,100,793082.3534,793082.3534,0.089618306
"rchitinosa",28,54,228.79,114.4,41112.7,41112.7,100,657842.4646,657842.4646,0.074336198
"rchitinosa",29,48,236.16,118.08,43802.75,43802.75,100,525634.4339,525634.4339,0.059396691
"rchitinosa",30,48,234.54,117.27,43205.79,43205.79,100,345631.8135,345631.8135,0.039056395
"rchitinosa",31,30,126.38,63.19,12543.99,6249.72,49.82242492,94082.28288,46874.07475,0.00529677
"rchitinosa",32,50,194.33,97.17,29661.28,29661.28,100,370786.8225,370786.8225,0.041898911
"rchitinosa",33,55,280.25,140.13,61686.56,61686.56,100,616896.2308,616896.2308,0.069709274
"rchitinosa",34,70,280.44,140.22,61771.04,61771.04,100,864764.4625,864764.4625,0.097718384
"rchitinosa",35,21,172,86,23234.27,23234.27,100,104558.4867,104558.4867,0.011815109
"rchitinosa",36,24,123.97,61.98,12070.24,4415.79,36.584111,66376.70748,24283.32834,0.002744016
"rchitinosa",37,40,252.29,126.14,49990.56,49990.56,100,374901.1645,374901.1645,0.042363832
"rchitinosa",38,40,244.98,122.49,47135.9,47135.9,100,471358.2818,471358.2818,0.053263486
"rchitinosa",39,26,170.64,85.32,22870.09,22870.09,100,182953.8501,182953.8501,0.020673785
"rchitinosa",40,16,90.18,45.09,6387.53,6387.53,100,25548.78989,25548.78989,0.002887013
"rchitinosa",41,53,142.31,71.16,15906.08,15906.08,100,214761.0507,214761.0507,0.024267999
"rchitinosa",42,30,132.73,66.36,13835.75,13835.75,100,138344.7323,138344.7323,0.015632955
"rchitinosa",43,20,95.7,47.85,7193.35,7193.35,100,43158.36736,43158.36736,0.004876896
"rchitinosa",44,20,95.03,47.51,7092.27,7092.27,100,42547.21952,42547.21952,0.004807836
"rchitinosa",45,60,285.45,142.73,63997.6,63997.6,100,960000.9513,960000.9513,0.108480107
"rchitinosa",46,28,137.09,68.55,14761.16,14761.16,100,103338.6613,103338.6613,0.011677269
"rchitinosa",47,80,269.49,134.74,57038.59,57038.59,100,1368844.768,1368844.768,0.154679459
"rchitinosa",48,47,192.56,96.28,29120.95,29120.95,100,291220.5622,291220.5622,0.032907924
"rchitinosa",49,39,137.29,68.65,14803.99,14803.99,100,96237.49555,96237.49555,0.010874837
"rchitinosa",50,28,99.87,49.93,7832.81,7832.81,100,62656.04704,62656.04704,0.007080133
"rchitinosa",51,34,160.91,80.45,20335.55,4517.39,22.21425041,172830.7025,38393.04506,0.004338414
"rchitinosa",52,21,101.2,50.6,8043.29,8043.29,100,48261.64901,48261.64901,0.005453566
"rchitinosa",53,53,322.98,161.49,81931.02,81931.02,100,1106050.383,1106050.383,0.124983693
"rchitinosa",54,59,197.81,98.9,30731.29,11172.63,36.35587702,399471.5073,145231.3699,0.016411145
"rchitinosa",55,26,190.73,95.37,28572.09,28572.09,100,200019.1042,200019.1042,0.022602159
"rchitinosa",56,85,285.02,142.51,63802.85,63802.85,100,1148452.554,1148452.554,0.129775139
"rchitinosa",57,53,213,106.5,35632.74,23579.92,66.17487176,463225.4806,306538.8678,0.034638892
"rchitinosa",58,48,213.86,106.93,35919.9,35919.9,100,431052.5836,431052.5836,0.048708942
"rchitinosa",59,36,181.54,90.77,25883.04,25883.04,100,232957.691,232957.691,0.026324219
"rchitinosa",60,48,235.25,117.63,43467.53,43467.53,100,521635.7079,521635.7079,0.058944835
"rchitinosa",61,70,282.74,141.37,62788.18,62788.18,100,722041.6153,722041.6153,0.081590703
"rchitinosa",62,66,240.71,120.36,45508.63,45508.63,100,819193.9495,819193.9495,0.092568916
"rchitinosa",63,50,178.63,89.32,25061.79,25061.79,100,250638.2223,250638.2223,0.028322119
"rchitinosa",64,74,274.44,137.22,59153.72,59153.72,100,1449274.955,1449274.955,0.16376807
"rchitinosa",65,38,178.87,89.43,25128.36,25128.36,100,238693.141,238693.141,0.026972325
"rchitinosa",66,42,192.46,96.23,29090.32,29090.32,100,407285.4355,407285.4355,0.046023254
"rchitinosa",67,119,280.2,140.1,61661.64,61661.64,100,1572411.907,1572411.907,0.177682545
"rchitinosa",68,48,240.7,120.35,45503.63,32093.98,70.53059283,546038.5541,385124.2293,0.043519038
"rchitinosa",69,52,216.45,108.22,36796.16,36796.16,100,551894.6588,551894.6588,0.062364096
"rchitinosa",70,48,226.25,113.13,40204.45,40204.45,100,482488.1962,482488.1962,0.054521166
"rchitinosa",71,40,161.17,80.58,20401.21,20401.21,100,203987.8962,203987.8962,0.023050632
"rchitinosa",72,42,225.57,112.78,39961.47,39961.47,100,359630.538,359630.538,0.040638251
"rfidicularis",1,24,133.55,66.77,14007.71,14007.71,100,140059.5173,140059.5173,0.015826725
"rfidicularis",2,38,155.94,77.97,19099.38,19099.38,100,229184.9986,229184.9986,0.025897905
"rfidicularis",3,30,163.31,81.66,20947.18,20947.18,100,157119.4273,157119.4273,0.017754495
"rfidicularis",4,18,110.77,55.38,9636.67,9636.67,100,33722.81499,33722.81499,0.003810678
"rfidicularis",5,13,100.14,56.02,9857.8,5245.21,53.20872811,49295.36494,26229.4367,0.002963926
"rfidicularis",6,13,87.72,43.86,6043.83,6043.83,100,30217.40266,30217.40266,0.003414567
"rfidicularis",7,27,105.88,67.69,14393.65,8487.19,58.96482129,86367.46076,50926.41889,0.005754685
"rfidicularis",8,25,93.64,46.82,6886.31,6886.31,100,44763.70738,44763.70738,0.005058299
"rfidicularis",9,18,114.92,57.46,10372.73,10372.73,100,51862.22206,51862.22206,0.005860431
"rfidicularis",10,23,119.08,59.54,11137.73,11137.73,100,44547.9296,44547.9296,0.005033916
"rfidicularis",11,20,112.84,56.42,9999.62,7014.45,70.14716559,50001.84629,35074.87792,0.003963461
"rfidicularis",12,22,95.44,46.72,7153.96,7153.96,100,37715.35765,37715.35765,0.004261835
"rfidicularis",13,25,114.12,57.06,10229.4,10229.4,100,61371.20602,61371.20602,0.006934946
"rfidicularis",14,21,113.88,56.94,10186.14,10186.14,100,50927.78674,50927.78674,0.00575484
"rfidicularis",15,24,91.12,45.56,6521.24,6521.24,100,26084.18639,26084.18639,0.002947513
"rfidicularis",16,30,128.05,64.03,12878.5,12878.5,100,96600.22541,96600.22541,0.010915825
"rfidicularis",17,24,109.69,54.85,9450.05,9450.05,100,56709.31311,56709.31311,0.006408152
"rfidicularis",18,24,90.15,45.08,6383.51,6383.51,100,25537.45879,25537.45879,0.002885733
"rfidicularis",19,24,111.59,55.8,9780.61,6591.91,67.397739,78254.30841,52741.63453,0.005959805
"rfidicularis",21,27,122.12,61.06,11713.2,11713.2,100,93702.99227,93702.99227,0.010588438
"rtrumbulli",1,16,128.13,64.06,12894.06,12894.06,100,51568.40901,51568.40901,0.00582723
"rtrumbulli",2,38,194.48,97.24,29706.25,29706.25,100,282204.1385,282204.1385,0.031889068
"rtrumbulli",3,39,177.48,88.74,24738.11,24738.11,100,173175.6241,173175.6241,0.019568846
"rtrumbulli",4,40,173.07,86.53,23524.33,15878.54,67.49837296,235224.8933,158772.9758,0.017941346
"rtrumbulli",5,34,135.53,67.7,14426.65,14426.65,100,151187.717,151187.717,0.017084212
"rtrumbulli",6,28,190.14,95.07,28394.11,28394.11,100,170368.0337,170368.0337,0.019251588
"rtrumbulli",7,36,175.4,87.7,24162.02,19912.3,82.41156989,217466.1015,179217.2282,0.020251547
"rtrumbulli",8,42,257.17,128.59,51945.06,33457.28,64.40897363,623369.4454,401505.8618,0.045370162
"rtrumbulli",9,36,192.08,96.04,28977.26,13608.49,46.96265278,347724.6043,163300.6986,0.018452979
"rtrumbulli",10,36,176.29,88.14,24408.05,24408.05,100,292871.5672,292871.5672,0.033094487
"rtrumbulli",11,28,138.14,69.07,14986.77,14986.77,100,164862.3438,164862.3438,0.018629445
"rtrumbulli",12,22,129.91,64.96,13255.33,9699.66,73.17554523,79541.38625,58204.84307,0.006577147
"rtrumbulli",13,32,170.58,85.29,22853.95,22853.95,100,274237.8198,274237.8198,0.030988874
"rtrumbulli",14,32,137.22,68.61,14787.92,14787.92,100,118308.1596,118308.1596,0.013368822
"rtrumbulli",15,26,126.51,63.25,12569.4,12569.74,100.002705,100545.1021,100547.8218,0.011361904
"rtrumbulli",16,38,163.84,81.92,21082.4,21082.4,100,115955.7928,115955.7928,0.013103005
"rtrumbulli",17,51,264.87,132.43,55099.42,39714.21,72.07736488,633607.7361,456687.7599,0.051605717
"rtrumbulli",18,46,184.06,92.03,26607.22,26607.22,100,266077.8464,266077.8464,0.030066797
"rtrumbulli",19,24,152.48,76.24,18260.92,13224.32,72.41869522,109563.7526,79344.64004,0.008965944
"rtrumbulli",20,38,130,65,13273.7,13273.7,100,79639.37378,79639.37378,0.008999249
"rtrumbulli",21,44,176.74,88.37,24532.37,18328.22,74.71035208,294402.0493,219948.8076,0.024854215
"rtrumbulli",22,44,160.17,80.08,20148.39,20148.39,100,241757.1057,241757.1057,0.027318553
"rtrumbulli",23,36,176.49,88.25,24465.51,24465.51,100,293603.0393,293603.0393,0.033177143
"rtrumbulli",24,55,183,91.5,26300.83,26300.83,100,355079.6878,355079.6878,0.040124005
"rtrumbulli",25,48,195.84,97.92,30122.69,30122.69,100,361471.3894,361471.3894,0.040846267
"rtrumbulli",26,16,167.01,83.5,21905.94,21905.94,100,87615.87753,87615.87753,0.009900594
"rtrumbulli",27,54,233.06,116.53,42659.36,42659.36,100,725227.5388,725227.5388,0.081950712
"rtrumbulli",28,42,172.68,86.34,23418.51,23418.51,100,281031.6333,281031.6333,0.031756575
"rtrumbulli",29,44,177.36,88.68,24704.61,24704.61,100,247059.3199,247059.3199,0.027917703
"rtrumbulli",31,54,217.61,108.8,37191,37191,100,576420.4255,576420.4255,0.065135508
"rtrumbulli",32,30,214.35,107.17,36085.67,27171.07,75.29601085,360824.7623,271686.6522,0.030700592
"rtrumbulli",33,39,151.74,75.87,18084.88,18084.88,100,217005.7727,217005.7727,0.024521652
"rtrumbulli",34,48,195.41,97.7,29989.26,24747.74,82.52200955,359848.9553,296954.5893,0.033555869
"rtrumbulli",35,44,199.41,99.7,31230.38,31230.38,100,374732.5647,374732.5647,0.04234478
"rtrumbulli",36,40,220.69,110.34,38250.48,38850.48,101.5686078,382486.2541,388485.9632,0.043898914
"rtrumbulli",37,62,220.56,110.28,38206.86,38206.86,100,592209.1126,592209.1126,0.06691963
"rtrumbulli",38,54,254.03,127.02,50684.63,50684.63,100,582897.1473,582897.1473,0.065867378
"rtrumbulli",39,10,87.07,43.51,5947.42,5947.42,100,14868.5305,14868.5305,0.001680144
"rtrumbulli",40,46,214.99,107.49,36300.38,36300.38,100,471877.588,471877.588,0.053322167
"rtrumbulli",41,38,170.68,85.34,22879.56,14531.41,63.51262874,217359.5644,138050.7732,0.015599737
"rtrumbulli",42,46,195.49,97.75,30015.37,30015.37,100,345208.3128,345208.3128,0.039008539
"rtrumbulli",43,46,225.98,112.99,40106.62,40106.62,100,461240.8145,461240.8145,0.052120212
"rtrumbulli",44,31,132.34,66.17,13755.19,13755.19,100,103165.243,103165.243,0.011657672
"rtrumbulli",45,20,105.63,52.82,8763.74,8763.74,100,43824.46982,43824.46982,0.004952165
"rtrumbulli",46,34,115.16,57.8,10496.83,10496.83,100,89212.24642,89212.24642,0.010080984
"rtrumbulli",47,32,97.24,48.62,7426.78,7426.78,100,59411.39758,59411.39758,0.006713488
"rtrumbulli",48,45,215.78,107.89,36567.93,17136.29,46.86152593,274266.9787,128525.6913,0.014523403
"rtrumbulli",49,28,85.28,42.64,5711.76,5711.76,100,34271.68955,34271.68955,0.003872701
"rtrumbulli",50,24,95.57,47.78,7173.26,4995.13,69.63542378,43032.18655,29965.64546,0.003386118
"rtrumbulli",51,30,196.41,98.21,30299.55,30299.55,100,151506.5117,151506.5117,0.017120236
"rtrumbulli",52,36,196.01,98.01,30175.55,20724.35,68.67927842,181068.0821,124356.2522,0.014052257
"rtrumbulli",53,26,133.61,66.81,14020.91,7595.14,54.1700931,70113.68943,37980.65084,0.004291814
"rtrumbulli",54,30,119.99,59.99,11307.53,11307.53,100,56529.81979,56529.81979,0.00638787
"rtrumbulli",55,40,153.06,76.53,18399.8,18399.8,100,137998.5626,137998.5626,0.015593838
"rtrumbulli",56,63,192.04,96.02,28965.93,28965.93,100,521369.6917,521369.6917,0.058914775
"rtrumbulli",57,39,179.08,89.99,25441.5,25441.5,100,330736.1973,330736.1973,0.03737319
"rtrumbulli",58,48,121.74,60.87,11640.68,11640.68,100,192061.546,192061.546,0.021702955
"rtrumbulli",59,39,161.21,80.61,20412.45,20412.45,100,285795.7398,285795.7398,0.032294919
"rtrumbulli",60,34,176.65,88.33,24509.13,24509.13,100,232857.3437,232857.3437,0.02631288
"rtrumbulli",61,47,175.98,87.99,24322.4,24322.4,100,364844.4694,364844.4694,0.041227425
"rtrumbulli",62,42,175.09,87.54,24076.34,24076.34,100,252785.5568,252785.5568,0.028564768
"rtrumbulli",63,26,111.64,55.82,9788.93,9788.93,100,63627.21198,63627.21198,0.007189875
"rtrumbulli",64,24,129.52,64.76,13175.56,13175.56,100,79052.35337,79052.35337,0.008932916
"rtrumbulli",65,30,134.48,67.24,14204.63,14204.63,100,120732.504,120732.504,0.013642773
"rtrumbulli",66,21,96.38,48.19,7295.14,7295.14,100,43773.87322,43773.87322,0.004946448
"rtrumbulli",67,20,108.11,54.06,9180.1,9180.1,100,64268.77106,64268.77106,0.007262371
"rtrumbulli",68,35,193.23,96.62,29326.41,29326.41,100,322609.1079,322609.1079,0.036454829
"rtrumbulli",69,42,193.81,96.91,29501.45,29501.45,100,309796.3945,309796.3945,0.035006993
"rtrumbulli",70,53,200.68,100.34,31630.31,31630.31,100,411188.9341,411188.9341,0.04646435
"rtrumbulli",71,35,133.92,66.96,14085.76,9364.36,66.48104185,133814.8674,88961.51798,0.010052652
"rtrumbulli",72,35,118.05,59.02,10944.25,10944.25,100,98489.69499,98489.69499,0.011129336
"rtrumbulli",73,30,146.76,73.38,16916.14,16916.14,100,126872.2234,126872.2234,0.014336561
"rtrumbulli",74,48,193.64,96.82,29449.15,24514.32,83.24287798,353395.7118,294176.7612,0.033241974
"rtrumbulli",75,26,104.99,52.5,8657.57,8657.57,100,56283.59589,56283.59589,0.006360046
"rtrumbulli",76,32,155.11,77.55,18895.65,11260.19,59.59144036,226722.5529,135107.2349,0.015267118
"rtrumbulli",77,34,153.74,76.87,18562.64,18562.64,100,157791.1207,157791.1207,0.017830397
"rtrumbulli",78,27,135.82,67.91,14489.21,9566.86,66.02747838,115906.3743,76530.05622,0.008647896
"rtrumbulli",79,59,199.08,99.54,31127.22,31127.22,100,513604.8188,513604.8188,0.058037345
"rtrumbulli",80,40,147.21,73.6,17019.51,17019.51,100,238250.3444,238250.3444,0.026922289
"rtrumbulli",81,28,140.96,70.48,15606.51,15606.51,100,124845.1428,124845.1428,0.014107501
"rtrumbulli",82,24,127.1,63.55,12688.25,12688.25,100,76125.86368,76125.86368,0.008602223
"rtrumbulli",83,48,157.7,78.85,19531.52,19531.52,100,156258.3575,156258.3575,0.017657194
"rtrumbulli",84,24,144.09,72.05,16307.02,12746.35,78.16480264,97851.86184,76485.71469,0.008642886
"rtrumbulli",85,10,132.64,66.32,13817.68,13817.68,100,20726.70026,20726.70026,0.002342117
"rtrumbulli",86,24,90.55,45.27,6439.39,4037.69,62.70298895,38629.76909,24222.01984,0.002737088
"rtrumbulli",87,50,189.5,94.75,28203.65,28203.65,100,423057.666,423057.666,0.047805516
"rtrumbulli",88,44,171.76,85.88,23169.95,23169.95,100,231704.2204,231704.2204,0.026182577
"rtrumbulli",89,30,142.26,71.13,15895.54,15895.54,100,79474.07731,79474.07731,0.008980571
"rtrumbulli",90,28,124.43,62.21,12159.69,12159.69,100,97265.82223,97265.82223,0.010991038
"rtrumbulli",91,59,233.33,116.61,42721.68,42721.68,100,640785.569,640785.569,0.072408769
"rtrumbulli",92,52,142.23,71.11,15887.21,15887.21,100,206516.4174,206516.4174,0.023336355
"rtrumbulli",93,39,212.4,106.2,35433.51,35433.51,100,389754.9068,389754.9068,0.044042304
"rtrumbulli",94,39,193.92,96.96,29534.73,29534.73,100,295348.7155,295348.7155,0.033374405
"rtrumbulli",95,28,136.04,68.02,14535.69,14535.69,100,116282.1666,116282.1666,0.013139885
"rtrumbulli",96,52,222.1,111.05,38742.46,38742.46,100,561765.418,561765.418,0.063479492
"rtrumbulli",97,48,200.96,100.48,31717.61,31717.61,100,459914.5272,459914.5272,0.051970342
"rtrumbulli",98,48,162.35,81.18,20702.27,20702.27,100,248444.4004,248444.4004,0.028074217
"rtrumbulli",99,26,109.89,54.94,9483.69,9483.69,100,66378.16204,66378.16204,0.007500732
"rtrumbulli",100,36,116.54,58.27,10666.78,10666.78,100,128003.2967,128003.2967,0.014464373
"rtrumbulli",101,19,83.09,41.55,5422.52,5422.52,100,27118.26706,27118.26706,0.003064364
"rtrumbulli",102,36,143.98,71.99,16280.4,16280.4,100,146533.4347,146533.4347,0.016558278
"rtrumbulli",103,36,145.95,72.98,16730.34,16730.34,100,200788.5007,200788.5007,0.022689101
"rtrumbulli",104,42,173.99,86.99,23775.73,23775.73,100,249619.1118,249619.1118,0.02820696
"rtrumbulli",105,42,181.94,90.97,25998.28,25998.28,100,272982.9742,272982.9742,0.030847076
"rtrumbulli",106,28,156.93,78.46,19341.2,19341.2,100,135376.8861,135376.8861,0.015297588
"rtrumbulli",107,50,223.89,111.95,39370.36,39370.36,100,393729.6027,393729.6027,0.044491445
"rtrumbulli",108,39,169.68,84.84,22611.83,22611.83,100,226126.3603,226126.3603,0.025552279
"rtrumbulli",109,32,135.34,67.67,14385.04,14385.04,100,115088.575,115088.575,0.013005009
"rtrumbulli",110,50,151.99,75.99,18142.26,18142.26,100,181410.6426,181410.6426,0.020499403
"rtrumbulli",111,23,140.71,70.36,15550.41,15550.41,100,93315.28455,93315.28455,0.010544627
"rtrumbulli",112,40,176.04,88.02,24340.19,24340.19,100,243395.5318,243395.5318,0.027503695
"rtrumbulli",113,40,145.12,72.56,16539.23,16539.23,100,165403.3955,165403.3955,0.018690584
"rtrumbulli",114,47,166.59,83.3,21797.76,10649.76,48.85713027,261589.9902,127805.3623,0.014442006
"rtrumbulli",115,35,130.13,65.07,13300.74,13300.74,100,119716.4957,119716.4957,0.013527964
"rtrumbulli",116,28,115.66,57.83,10506.66,10506.66,100,84051.65018,84051.65018,0.009497836
"rtrumbulli",117,64,203.37,101.69,32483.76,32483.76,100,519788.121,519788.121,0.058736058
"rtrumbulli",118,59,194.9,97.45,29834.31,29834.31,100,447512.1374,447512.1374,0.050568872
"rtrumbulli",119,36,129.1,64.55,13089.19,10218.77,78.07030076,117810.7377,91975.19724,0.010393197
"rtrumbulli",120,48,191.37,95.68,28762.56,28762.56,100,345122.6417,345122.6417,0.038998859
"rtrumbulli",121,47,170.34,85.17,22788.52,22788.52,100,319044.4564,319044.4564,0.036052024
"rtrumbulli",122,39,170.69,85.35,22883.64,22883.64,100,228853.1653,228853.1653,0.025860408
"rtrumbulli",123,48,191.92,95.96,28930.06,28930.06,100,231430.364,231430.364,0.026151631
"rtrumbulli",124,39,134.58,67.29,14225.79,14225.79,100,135137.0813,135137.0813,0.01527049
"rtrumbulli",125,24,112.19,56.09,9885.42,9885.42,100,59302.36358,59302.36358,0.006701167
"rtrumbulli",126,27,140.04,70.02,15402.49,15402.49,100,92415.61032,92415.61032,0.010442964
"rtrumbulli",127,40,165.46,82.73,21502.78,21502.78,100,161263.9097,161263.9097,0.018222822
"rtrumbulli",128,30,120.95,60.47,11488.95,7360.43,64.06529753,57438.06679,36797.86838,0.004158159
"rtrumbulli",129,38,200.59,100.29,31601.11,31601.11,100,300184.8297,300184.8297,0.033920886
"rtrumbulli",130,40,176.75,88.37,24535.82,24535.82,100,245335.0411,245335.0411,0.02772286
"rtrumbulli",131,62,237.13,118.57,44164.97,44164.97,100,596256.7121,596256.7121,0.067377008
"rtrumbulli",132,18,98.03,49.02,7548.16,6115.53,81.02014266,41520.17507,33639.70508,0.003801287
"rtrumbulli",133,40,177.88,88.94,24850.02,24850.02,100,186382.6088,186382.6088,0.021061235
"rtrumbulli",134,34,129.81,64.91,13235.46,13235.46,100,86037.23554,86037.23554,0.009722208
"rtrumbulli",135,44,188.15,94.08,27804.8,22847.22,82.17005697,333676.5882,274182.2426,0.030982593
"rtrumbulli",136,64,211.39,105.7,35097.14,27821.73,79.27064712,701988.2502,556470.6287,0.062881181
"rtrumbulli",137,34,203.26,101.63,32448.69,32448.69,100,210914.8122,210914.8122,0.023833374
