"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,45,161.17,80.58,20401.29,12653.27,62.02191136,506685.7048,314256.1587,0.035510946
2,45,175.55,87.77,24202.92,15396.44,63.61397716,592246.4192,376751.5018,0.04257292
3,45,157.28,78.64,19428.29,19428.29,100,484851.7835,484851.7835,0.054788252
6,35,132.85,66.43,13861.89,10294.99,74.26829963,265063.6149,196858.2397,0.022244981
18,65,156.58,78.29,19255.41,15677.43,81.41831309,769608.0997,626601.9321,0.070806018
19,60,149.47,74.74,17546.98,10904.71,62.14579375,639571.8037,397466.974,0.044913768
21,44,178.46,89.23,25065.98,25065.98,100,594895.683,594895.683,0.067223212
22,42,132.28,66.14,13743.59,7765.92,56.50576014,327393.1981,184996.0152,0.02090455
23,38,127.03,63.52,12673.9,12673.9,100,269568.6018,269568.6018,0.030461252
26,79,221.61,110.8,38571.65,16491.46,42.75539159,1781598.597,761729.4568,0.086075429
30,40,134.95,67.48,14303.84,14303.84,100,319618.3314,319618.3314,0.036116871
31,36,128.73,64.37,13016.09,13016.09,100,258738.2541,258738.2541,0.029237423
32,28,93.44,46.72,6857.83,6857.83,100,107496.7689,107496.7689,0.012147135
33,30,106.59,53.3,8923.64,8923.64,100,148010.9543,148010.9543,0.016725238
34,66,174.53,87.27,23924.69,21214.23,88.67086679,940108.2364,833602.122,0.09419704
35,38,139.1,69.55,15195.67,8590.13,56.5301168,317464.789,179463.216,0.020279343
36,32,125.19,62.59,12308.69,1574.51,12.79185681,214072.7194,27383.87573,0.003094378
37,24,101.24,50.62,8050.67,8050.67,100,103837.8456,103837.8456,0.011733677
38,56,155.53,77.77,18999.52,18999.52,100,623977.3981,623977.3981,0.070509446
39,40,113,56.5,10029.39,10029.39,100,234085.3046,234085.3046,0.026451639
40,42,120.79,60.4,11459.33,11459.33,100,279474.0719,279474.0719,0.03158057
41,36,117.76,58.88,10890.6,10890.6,100,220475.0222,220475.0222,0.024913678
42,36,137.24,68.62,14792.86,14792.86,100,290699.9852,290699.9852,0.032849098
43,48,154.3,77.15,18698.72,14308.63,76.52197584,506685.2995,387725.6025,0.043812993
44,44,120.1,60.05,11328.84,11328.84,100,293831.2393,293831.2393,0.03320293
45,32,111.13,55.56,9698.97,9698.97,100,172322.4861,172322.4861,0.019472441
46,72,203.35,101.67,32476.88,8827.7,27.18149034,1364495.478,370890.2067,0.041910593
47,60,139.19,69.6,15217.19,4485.04,29.47350989,569648.6597,167895.4541,0.018972186
48,36,102.01,51,8172.34,8172.34,100,171512.1094,171512.1094,0.019380868
