"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,167.63,66,132.93,13863.17,6350.59,45.8090754134877,385023.565982612,176375.735700674,0.0199304581341762
2,106.84,56,103.21,7783.82,7783.82,100,161663.624370352,161663.624370352,0.0182679895538498
3,120.28,52,134.34,11662.89,11662.89,100,219973.686801275,219973.686801275,0.0248570266085441
4,104.57,58,109.4,8452.46,8452.46,100,173708.492071865,173708.492071865,0.0196290596041207
5,128.9,63,131.92,12188.91,12188.91,100,280461.166575614,280461.166575614,0.0316921118230443
6,136.15,75,156.25,15144.29,15144.29,100,417702.968595801,417702.968595801,0.0472004354513255
7,123.31,80,132.55,12324.5,5409.19,43.8897318349629,342323.444575575,150244.841832428,0.0169776671270643
8,96.41,53,91.57,8090.21,8090.21,100,122495.403711436,122495.403711436,0.0138419806193922
2,331.95,160,307.35,67283.3,27660.68,41.110765970159,4273606.19076774,1756912.23957275,0.198531083071721
3,361.63,206,345.61,80803.72,10801.16,13.3671568586199,6740414.41131361,901001.767281309,0.101813199702788
4,195.99,116,193.12,26455.39,26455.39,100,1149443.90459967,1149443.90459967,0.129887161219763
5,176.52,106,166.07,21630.26,11987.95,55.42212622502,813503.81962154,450861.113756009,0.050947305854429
9,213.07,102,199.16,32392.04,7988.84,24.6629727550349,1133165.18243116,279472.220212539,0.0315803608840169
13,365.88,176,349.58,85772.43,85772.43,100,5893408.47039162,5893408.47039162,0.665955157154254
