"ind","d_one","altura","d_two","ar","arp","prot","volume","biov","biomassa"
1,185.41,51,124.82,16212.5,10585.72,65.29356978,126622.345,82676.24918,0.009342416
2,160.63,44,117.56,13502.15,13502.15,100,87823.88621,87823.88621,0.009924099
3,140.53,42,128.44,12201.75,2558.66,20.96961501,76460.85865,16033.54769,0.001811791
4,203.55,50,129.65,18834.66,8007.12,42.51268672,142754.1283,60688.61534,0.006857814
5,243,60,161.58,26699.66,20676.14,77.43971272,253103.9584,196002.9783,0.022148337
6,168.34,48.5,109.56,12749.45,9579.1,75.13343713,96531.83889,72527.68848,0.008195629
7,170.91,61.5,159.27,20301.03,20301.03,100,168327.6608,168327.6608,0.019021026
8,207.17,56,163.65,23186.64,13666.69,58.94208907,197697.3741,116526.9623,0.013167547
9,196.9,68,186.02,25076.64,25076.64,100,249462.0427,249462.0427,0.028189211
10,129.65,42,95.2,9017.79,9017.79,100,54829.66481,54829.66481,0.006195752
11,219.72,57.5,134.64,21472.25,21472.25,100,185198.1577,185198.1577,0.020927392
12,177.86,56,123.16,15591.02,15591.02,100,131095.8694,131095.8694,0.014813833
13,272.14,55.5,228.41,34969,14775.32,42.25262375,354174.7157,149648.11,0.016910236
14,131.16,34,111.22,9802.65,2857.7,29.15232106,50858.39388,14826.40227,0.001675383
15,263.99,64,163.96,29367.99,29367.99,100,300857.3419,300857.3419,0.03399688
16,148.09,48,141.44,15613.16,15613.16,100,100358.7148,100358.7148,0.011340535
17,125.57,40,100.79,9015.33,9015.33,100,52604.73822,52604.73822,0.005944335
18,229.39,62.5,117.6,27448.02,5769.22,21.018711,188150.4729,39546.80416,0.004468789
19,231.96,55,143.86,22474.38,8377.15,37.27422069,199351.8233,74306.83856,0.008396673
20,159.57,56,130.41,14582.11,3894.5,26.70738323,120743.9965,32247.56187,0.003643974
21,123.91,33,77.67,6862.67,2303.19,33.56113583,34461.45126,11565.65446,0.001306919
22,140.23,48,119.53,11233.71,2004.29,17.84174596,82580.05599,14733.7238,0.001664911
23,118.92,52,95.35,8771.16,8771.16,100,61518.54416,61518.54416,0.006951595
24,84.92,41,80.09,4701.4,4701.4,100,28078.94586,28078.94586,0.003172921
25,295.05,80.5,198.41,38913.78,21786.65,55.98697942,505634.848,283089.6783,0.031989134
26,271.66,67,145.64,28743.34,13098.62,45.57097401,293979.1833,133969.1772,0.015138517
27,182.09,76.5,168.79,20076.96,20076.96,100,237204.6292,237204.6292,0.026804123
28,229.54,66.5,158.97,24481.03,5496.28,22.45117955,259153.4577,58183.00808,0.00657468
29,183.3,73.5,166.22,18564.9,5767.42,31.06625945,226989.2823,70517.07936,0.00796843
