"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,18,113.81,56.9,10172.29,10172.29,100,183114.7099,183114.7099,0.020691962
2,18,110.49,55.25,9588.79,9588.79,100,172587.1009,172587.1009,0.019502342
3,18,97.5,48.75,7466.45,7466.45,100,134391.4433,134391.4433,0.015186233
4,28,109.24,54.62,9372.07,9372.07,100,262428.6798,262428.6798,0.029654441
5,30,108.85,54.43,9306.07,9306.07,100,279169.522,279169.522,0.031546156
6,32,163.74,81.87,21057.15,21057.15,100,673828.587,673828.587,0.07614263
7,28,108.45,54.23,9237.71,9237.71,100,258646.7499,258646.7499,0.029227083
8,26,103.86,51.93,8472.13,5797.95,68.43556461,220272.2895,150744.585,0.017034138
9,16,104.59,52.3,8591.57,8591.57,100,137464.3839,137464.3839,0.015533475
10,20,120.9,60.45,11480.49,11480.49,100,229600.3146,229600.3146,0.025944836
11,21,102.07,51.03,8181.82,8181.82,100,171832.5384,171832.5384,0.019417077
12,24,94.42,47.21,7001.88,7001.88,100,168046.3621,168046.3621,0.018989239
13,22,146.35,73.17,16820.94,16820.94,100,370082.0454,370082.0454,0.041819271
14,28,148.27,74.14,17267.15,17267.15,100,483453.2542,483453.2542,0.054630218
15,22,114.01,57.01,10209.09,10209.09,100,224594.157,224594.157,0.02537914
16,24,125.21,62.61,12313.78,12313.78,100,295514.7443,295514.7443,0.033393166
17,22,95.37,47.69,7143.92,7143.92,100,157157.8676,157157.8676,0.017758839
18,28,137.01,68.51,14744.02,8834.59,59.91981834,412812.1256,247356.2757,0.027951259
19,20,94.2,47.1,6969.74,6969.74,100,139386.8112,139386.8112,0.01575071
20,20,110.02,55.01,9507.29,9507.29,100,190135.4769,190135.4769,0.021485309
21,14,99.33,49.66,7748.88,7748.88,100,108487.2718,108487.2718,0.012259062
22,16,101.91,50.95,8156.34,8156.34,100,130509.9031,130509.9031,0.014747619
23,12,73.71,36.86,4267.63,4267.63,100,51206.36527,51206.36527,0.005786319
24,20,128.09,64.04,12885.67,3584.34,27.81648141,257721.3089,71688.99998,0.008100857
25,44,210.29,105.14,34730.42,23360.61,67.26267635,1528198.609,1027907.284,0.116153523
26,18,150.08,75.04,17690.9,1256.93,7.104952264,318425.6387,22623.98962,0.002556511
27,24,115.05,57.52,10395.04,10395.04,100,249502.1941,249502.1941,0.028193748
29,20,114.47,57.24,10291.38,10291.38,100,205827.4259,205827.4259,0.023258499
30,20,76.89,38.45,4643.46,4643.46,100,92866.6114,92866.6114,0.010493927
31,22,123.06,61.53,11893.98,6258.6,52.61989679,261665.4506,137688.0901,0.015558754
32,28,135.5,67.75,14419.84,13320.63,92.37709988,403762.9857,372984.5366,0.042147253
33,32,103.91,51.95,8479.37,8479.37,100,271365.4478,271365.4478,0.030664296
34,32,112.87,56.43,10005.36,10005.36,100,320181.9976,320181.9976,0.036180566
35,23,89.36,44.68,6272.25,6272.25,100,144246.086,144246.086,0.016299808
36,22,136.44,68.22,14620.7,11850.02,81.04960775,321659.2046,260703.5236,0.029459498
37,44,181.87,90.93,25977.73,25977.73,100,1143048.588,1143048.588,0.12916449
38,26,99.83,49.92,7827.5,7827.5,100,203509.8207,203509.8207,0.02299661
39,22,122.09,61.05,11707.61,11707.61,100,257556.6394,257556.6394,0.0291039
40,35,143.37,71.68,16142.81,10179.97,63.06194523,565033.889,356321.3616,0.040264314
41,27,104.08,52.04,8507.21,6430.71,75.59129256,229714.3959,173644.0811,0.019621781
42,26,89.4,44.7,6276.69,6276.69,100,163206.8065,163206.8065,0.018442369
