"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,32,116.71,58.35,10697.77,3995.64,37.3502141100435,188297.303799582,70329.4461325828,0.00794722741298185
2,29,107.35,53.67,9050.11,2670.33,29.5060502027047,143984.319616309,42484.0856300108,0.00480070167619122
3,42,208.8,104.4,34240.39,10747.15,31.387346931504,757860.721586922,237872.373942087,0.0268795782554558
4,34,112.36,56.18,9915.26,1827.47,18.4308833051277,189142.530872463,34860.6391454688,0.00393925222343797
5,34,119.98,59.99,11305.74,7626.21,67.4543196641706,212780.913554169,143529.917613171,0.0162188806902884
6,22,110.32,55.16,9558.94,4048.25,42.3504070535017,110720.872335454,46890.740127253,0.00529865363437959
7,30,99.22,49.61,7732.67,4977.51,64.3698748297807,130116.22730905,83755.6526520684,0.00946438874968373
8,30,115.03,57.51,10391.59,6012.42,57.8585182825727,169994.724812983,98356.428935329,0.0111142764696922
9,40,167.26,83.63,21972.51,10763.83,48.9877123733247,472954.850668381,231689.761901113,0.0261809430948258
10,32,179.12,89.56,25197.59,25197.59,100,420336.397825702,420336.397825702,0.0474980129543043
11,36,107,53.5,8992.51,8992.51,100,186285.448807911,186285.448807911,0.0210502557152939
12,40,114.82,57.41,10355.15,10355.15,100,240598.335147049,240598.335147049,0.0271876118716165
