"species","ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
"tagglutinans",1,143.25,68,135.85,14416.52,14416.52,100,346443.0176,346443.0176,0.039148061
"tagglutinans",2,275.47,140,258.48,53760.69,53760.69,100,2609744.052,2609744.052,0.294901078
"tagglutinans",3,452.93,199,306.32,94281.45,44993.56,47.72260079,7228166.431,3449469.01,0.389789998
"tagglutinans",4,167.58,66,139.63,16730.01,16730.01,100,404309.0721,404309.0721,0.045686925
"tagglutinans",5,339.62,120,315.52,63995.27,44693.22,69.83831774,3366433.374,2351060.436,0.265669829
"tagglutinans",6,205.81,87,179.67,25288.9,25288.9,100,842228.4737,842228.4737,0.095171818
"tagglutinans",7,200.98,87,170,23670.3,23670.3,100,778197.1619,778197.1619,0.087936279
"tagglutinans",8,180.28,72,140.08,17702.12,17702.12,100,476019.5677,476019.5677,0.053790211
"tagglutinans",9,181.48,83,149.3,19047.41,19047.41,100,588755.9341,588755.9341,0.066529421
"tagglutinans",10,385.96,130,292.41,78145.36,35752.49,45.75126405,3841019.372,1757314.915,0.198576585
"tagglutinans",11,355.88,150,256.04,65187.04,65187.04,100,3578254.995,3578254.995,0.404342814
"tagglutinans",12,396.04,140,256.36,70572.01,23205.44,32.88193152,3721225.404,1223610.789,0.138268019
"tagglutinans",13,140.23,59,133.58,14103.61,14103.61,100,289336.3587,289336.3587,0.032695009
"tagglutinans",14,609.5,306,449.96,188158.84,188158.84,100,21970385.2,21970385.2,2.482653527
"tagglutinans",15,333.83,120,254.22,54738.76,54738.76,100,2666152.272,2666152.272,0.301275207
"tagglutinans",16,159.57,74,151.87,15666.91,15666.91,100,469487.0142,469487.0142,0.053052033
"tagglutinans",17,123.31,66,116.51,9777.19,9777.19,100,248241.3145,248241.3145,0.028051269
"tagglutinans",18,518.59,163,303.46,96749.43,32495.77,33.58755705,6715553.644,2255590.411,0.254881716
"tagglutinans",19,160.03,80,144.76,17449.78,17449.78,100,485186.3715,485186.3715,0.05482606
"tagglutinans",20,464.69,180,369.88,115056.82,12040.48,10.46481208,8099632.372,847611.307,0.095780078
"tagglutinans",21,128.9,60,127.69,11805.73,11805.73,100,258541.1531,258541.1531,0.02921515
"tagglutinans",22,172.72,74,149,18791.91,14142.48,75.25834255,498573.5607,375218.1982,0.042399656
"tagglutinans",23,477.18,129,266.25,89126.93,56220.19,63.07879111,4290720.115,2706534.379,0.305838385
"tagglutinans",24,231.5,102,220.47,32105.06,32105.06,100,1362916.646,1362916.646,0.154009581
"tagglutinans",25,317.68,112,236.11,47086.82,47086.82,100,2199332.564,2199332.564,0.24852458
"tagglutinans",26,239.46,118,231.2,39659.02,18043.59,45.49681258,1710296.638,778130.4558,0.087928742
"tagglutinans",27,182.09,69,144.16,18160.32,15132.7,83.32837747,474185.8465,395131.3721,0.044649845
"tagglutinans",28,136.15,62,119.68,12355.7,12355.7,100,264484.084,264484.084,0.029886701
"tagglutinans",29,262.63,104,203.4,36781.02,17847.33,48.52320572,1454444.817,705743.2505,0.079748987
"tagglutinans",30,214.88,79,189.34,26229.13,26229.13,100,841461.1821,841461.1821,0.095085114
"tagglutinans",31,493.34,168,314.93,103513.66,48757.51,47.1024887,6833422.465,3218712.044,0.363714461
"tagglutinans",32,380.96,120,224.88,60216.23,10964.95,18.20929341,2691411.374,490086.9939,0.05537983
"tagglutinans",33,387.76,168,280.69,72148.47,72148.47,100,4787048.81,4787048.81,0.540936516
"tagglutinans",34,116.66,50,114.24,9271.14,9271.14,100,174453.1427,174453.1427,0.019713205
"tagglutinans",35,148.39,72,133.73,14531.35,14531.35,100,374054.2578,374054.2578,0.042268131
"tagglutinans",36,138.72,62,137.51,13399.66,13399.66,100,309623.3309,309623.3309,0.034987436
"tagglutinans",37,134.94,64,113.64,10931.87,10931.87,100,256933.3808,256933.3808,0.029033472
"tagglutinans",38,173.32,60,138.57,16377.75,13757.2,83.99932836,377257.4062,316893.6873,0.035808987
"tagglutinans",39,230.9,90,188.13,29978.17,29978.17,100,1023512.438,1023512.438,0.115656905
"tagglutinans",40,143.56,70,142.8,15051.82,15051.82,100,375688.8655,375688.8655,0.042452842
"tagglutinans",41,468.38,261,369.96,114942.83,114942.83,100,11840287.48,11840287.48,1.337952485
"tagglutinans",42,476.98,159,273.66,89946.79,89946.79,100,5433469.617,5433469.617,0.613982067
"tagglutinans",43,365.06,165,341.17,86158.46,39926.04,46.34024331,5380066.65,2493135.976,0.281724365
"tagglutinans",44,233.63,117,222.64,36648.51,19027.79,51.91968241,1593258.671,827214.842,0.093475277
"tagglutinans",45,644.11,270,398.56,177864.94,51503.72,28.95664542,18146218.79,5254536.231,0.593762594
"tagglutinans",46,306.21,135,246.62,52093.03,52093.03,100,2669009.122,2669009.122,0.301598031
"tagglutinans",47,414.72,175,327.87,95688.67,95688.67,100,6229645.532,6229645.532,0.703949945
"tagglutinans",48,195.99,70,143.56,19977.32,10415.04,52.13432032,515625.0753,268817.6284,0.030376392
"tagglutinans",49,651.12,201,415.37,184126.26,184126.26,100,14231833.23,14231833.23,1.608197155
"tagglutinans",50,354.09,135,251.32,63562.64,43321.68,68.15588528,3145162.639,2143613.44,0.242228319
"tagglutinans",51,378.09,138,233.36,56511.47,56511.47,100,3187640.384,3187640.384,0.360203363
"tagglutinans",52,204,85,197.2,28430.72,28430.72,100,895209.3931,895209.3931,0.101158661
"tagglutinans",53,416.22,148,296.39,80690.52,80690.52,100,4779878.24,4779878.24,0.540126241
"tagglutinans",54,338.53,165,246.95,56126.68,35815.4,63.8117202,3611260.043,2304407.154,0.260398008
"tagglutinans",55,197.96,86,168.04,23129.02,23129.02,100,748957.5376,748957.5376,0.084632202
"tagglutinans",56,316.24,117,197.26,46493.78,46493.78,100,1910778.379,1910778.379,0.215917957
"tagglutinans",57,236.13,106,267.38,42287.68,27909.81,65.99986095,1752082.606,1156372.083,0.130670045
"tagglutinans",58,267.47,99,207.63,36940.96,36940.96,100,1439358.587,1439358.587,0.16264752
"tagglutinans",59,195.99,96,192.36,27733.78,27733.78,100,947520.3389,947520.3389,0.107069798
