"ind","altura","d1","raio","ar","arp","prot","volume","biov","biomassa"
1,68,166.46,83.23,21762.68,21762.68,100,986568.660933816,986568.660933816,0.111482258685521
2,70,174.89,87.45,24023.04,10650.23,44.3333982709932,1121054.22012316,497001.432240976,0.0561611618432303
3,66,117.35,58.67,10815.06,10815.06,100,475892.374364756,475892.374364756,0.0537758383032174
4,60,156.91,78.45,19335.97,9004.61,46.5692178876984,773483.613669445,360205.269375367,0.0407031954394165
5,80,128.36,64.18,12939.69,12939.69,100,690157.204967155,690157.204967155,0.0779877641612885
6,80,125.16,62.58,12303.24,12303.24,100,656175.057995759,656175.057995759,0.0741477815535208
7,66,120.95,60.48,11490.03,6362.91,55.3776621993154,505538.578930905,279955.446527576,0.0316349654576161
8,103,157.19,78.6,19406.99,19406.99,100,1332556.63170681,1332556.63170681,0.15057889938287
9,53,110.58,55.29,9604.5,4089.21,42.5759800093706,339334.223982403,144474.871367701,0.0163256604645502
10,76,114.37,57.18,10273.3,5932.53,57.7470725083469,520518.844308324,300584.394442337,0.0339660365719841
11,113,138.22,69.11,15005.21,15005.21,100,1130365.36783078,1130365.36783078,0.127731286564878
12,86,162.8,81.4,20817.05,11112.81,53.3832123187483,1193454.52300401,637104.361942936,0.0719927928995517
13,60,97.88,48.94,7524.48,4886.39,64.9399028238496,300980.108287281,195456.189840878,0.0220865494520192
14,68,140.68,70.34,15542.88,15542.88,100,704648.049897868,704648.049897868,0.0796252296384591
15,78,117.94,58.97,10925.39,8051.86,73.6986048095308,568087.812136636,418672.791637689,0.0473100254550589
16,77,134.47,67.23,14201.68,14201.68,100,729021.199107985,729021.199107985,0.0823793954992023
