"ind","altura","ar","arp","prot","volume","biov","biomassa"
1,75,43685.98,43685.98,100,3276448.5,3276448.5,0.3702386805
2,52,28299.5,28299.5,100,1471574,1471574,0.166287862
3,62,45275.54,45275.54,100,2807083.48,2807083.48,0.31720043324
4,52,19863.38,13637.42,68.6560897490759,1032895.76,709145.84,0.08013347992
5,57,24527.06,24527.06,100,1398042.42,1398042.42,0.15797879346
6,96,37009.81,16359.92,44.2042798922772,3552941.76,1570552.32,0.17747241216
7,62,34869.08,19941.43,57.1894354539896,2161882.96,1236368.66,0.13970965858
8,75,33808.22,33808.22,100,2535616.5,2535616.5,0.2865246645
9,72,44457.48,44457.48,100,3200938.56,3200938.56,0.36170605728
10,50,29268.85,29268.85,100,1463442.5,1463442.5,0.1653690025
11,67,33191.77,33191.77,100,2223848.59,2223848.59,0.25129489067
12,54,34532.59,34532.59,100,1864759.86,1864759.86,0.21071786418
13,54.6666666666667,37781.57,37781.57,100,2065392.49333333,2065392.49333333,0.233389351746667
