"ind","altura","d1","d2","ar","arp","prot","volume","biov","biomassa"
1,170.91,24,105.32,12635.96,12635.96,100,303263.04,303263.04,0.034268724
2,162.55,30,152.62,18770.33,18770.33,100,563109.9,563109.9,0.063631419
3,141.59,32,122.4,12343.61,3930.4,31.84157633,394995.52,125772.8,0.014212326
4,175.14,36,174.99,22844.58,13519.26,59.17928892,822404.88,486693.36,0.05499635
5,214.43,42,155.04,25188.46,25188.46,100,1057915.32,1057915.32,0.119544431
6,171.96,30,95.05,12102.18,12102.18,100,363065.4,363065.4,0.04102639
7,127.82,30,98.77,9653.45,9653.45,100,289603.5,289603.5,0.032725196
8,225.46,30,154.44,24371.13,13432.62,55.11693549,731133.9,402978.6,0.045536582
9,223.98,42,134.55,21662.96,21662.96,100,909844.32,909844.32,0.102812408
10,167.17,30,141.26,15207.8,4280.27,28.14522811,456234,128408.1,0.014510115
11,150.81,34,90.21,8900.37,8900.37,100,302612.58,302612.58,0.034195222
12,214.43,48,176.2,25506.91,13888.85,54.45132319,1224331.68,666664.8,0.075333122
13,195.54,36,177.4,25054.64,15259.26,60.90392837,901967.04,549333.36,0.06207467
14,251.16,39,158.04,28769.51,13664.53,47.49656842,1122010.89,532916.67,0.060219584
15,142.35,30,92.63,9589.56,5092.5,53.10462628,287686.8,152775,0.017263575
16,169.24,26,118.47,14668.09,7189.76,49.0163341,381370.34,186933.76,0.021123515
17,147.48,36,134.79,14686.93,14686.93,100,528729.48,528729.48,0.059746431
18,119.08,36,104.57,9326.54,9326.54,100,335755.44,335755.44,0.037940365
19,267.12,53,232.57,42525.36,18320.97,43.08245715,2253844.08,971011.41,0.109724289
20,214.28,35,142.04,23242.2,23242.2,100,813477,813477,0.091922901
21,222.74,42,170.6,26910.7,26910.7,100,1130249.4,1130249.4,0.127718182
22,230.75,42,151.72,24604.44,24604.44,100,1033386.48,1033386.48,0.116772672
23,179.67,28,118.92,16079.75,16079.75,100,450233,450233,0.050876329
24,227.57,35,158.97,25174.21,13518.73,53.70071196,881097.35,473155.55,0.053466577
25,159.12,35,128.14,13093.73,5465.26,41.7395196,458280.55,191284.1,0.021615103
26,150.05,28,117.72,12438.45,12438.45,100,348276.6,348276.6,0.039355256
27,162.75,20,99.58,12067.19,12067.19,100,241343.8,241343.8,0.027271849
